time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2015-03-30,NI.SHF,108008.92571787241,109088.90588614524,105619.87867896582,107376.21006373275,33342.0,3280519380.0,98360,2,98440,3,17093.0,NI1507
2015-03-31,NI.SHF,106907.12776842233,107125.30558019462,102369.02928355869,103678.09615419243,52800.0,5066160000.0,95040,4,95060,2,27444.0,NI1507
2015-04-01,NI.SHF,102478.11818944484,102685.38711062851,99565.44440228476,100907.23794468434,79476.0,7380936120.0,92450,3,92500,33,35480.0,NI1507
2015-04-02,NI.SHF,101310.86689646308,105379.8830860163,100961.78239762742,104899.89190011726,101424.0,9566311680.0,96160,6,96170,56,40362.0,NI1507
2015-04-03,NI.SHF,104725.34965069943,106688.94995665005,104354.44737068654,106143.50542721932,75141.0,7253360730.0,97300,4,97320,13,40499.0,NI1507
2015-04-07,NI.SHF,106361.68323899161,106885.3099872451,104670.80519775636,105183.52305542123,37844.0,3662920760.0,96410,3,96440,1,41771.0,NI1507
2015-04-08,NI.SHF,103089.01606240725,104321.72069892069,101779.94919177351,102489.02708003345,91544.0,8646330800.0,93950,1,94000,12,47551.0,NI1507
2015-04-09,NI.SHF,103034.47160946418,103918.09174714195,102412.66484591315,102870.83825063496,80487.0,7606021500.0,94300,17,94310,6,49542.0,NI1507
2015-04-10,NI.SHF,103089.01606240725,103601.73392007213,101649.04250471013,103132.65162476171,68861.0,6478442880.0,94540,13,94550,120,52814.0,NI1507
2015-04-13,NI.SHF,102849.02046945773,104365.35626127516,102216.30481531809,103885.36507537612,90107.0,8534935040.0,95230,68,95260,45,56429.0,NI1507
2015-04-14,NI.SHF,103394.46499888846,103710.82282595828,101245.4135529314,101561.77138000121,99575.0,9334160500.0,93100,5,93130,18,63845.0,NI1507
2015-04-15,NI.SHF,101125.41575645664,103634.46059183798,101059.96241292494,103339.92054594538,110053.0,10341680410.0,94730,6,94770,2,66129.0,NI1507
2015-04-16,NI.SHF,103209.01385888201,104616.26074481328,102827.20268828051,104070.81621538255,97960.0,9315016400.0,95400,131,95420,4,65812.0,NI1507
2015-04-17,NI.SHF,105030.79858718063,105445.33642954798,103645.36948242658,104561.71629187021,84351.0,8089260900.0,95840,7,95850,40,63642.0,NI1507
2015-04-20,NI.SHF,104703.5318695222,105325.33863307323,103852.63840361027,104081.72510597117,74052.0,7102327320.0,95400,106,95410,1,58205.0,NI1507
2015-04-21,NI.SHF,103994.45398126225,105598.06089778859,103525.37168595183,104594.44296363606,70465.0,6758298150.0,95860,12,95890,2,55276.0,NI1507
2015-04-22,NI.SHF,104627.1696354019,105510.78977307967,104452.62738598407,105085.34304012371,61951.0,5963403260.0,96310,1,96330,7,55258.0,NI1507
2015-04-23,NI.SHF,104856.25633776281,105270.79418013015,104288.99402715485,104572.62518245883,50533.0,4858242620.0,95840,45,95860,8,55323.0,NI1507
2015-04-24,NI.SHF,104550.80740128159,106798.0388625362,104398.08293304099,106721.67662841588,59090.0,5711639400.0,97820,17,97830,85,56908.0,NI1507
2015-04-27,NI.SHF,106907.12776842233,110714.3305838488,106896.21887783371,110714.3305838488,120952.0,12106085680.0,101490,2092,0,0,58145.0,NI1507
