time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2015-03-30,NI1507,99010,100000,96820,98430,33342.0,3280519380.0,98360,2,98440,3,17093.0,98390,101080.0,1.0
2015-03-31,NI1507,98000,98200,93840,95040,52800.0,5066160000.0,95040,4,95060,2,27444.0,95950,98430.0,1.0
2015-04-01,NI1507,93940,94130,91270,92500,79476.0,7380936120.0,92450,3,92500,33,35480.0,92870,95040.0,1.0
2015-04-02,NI1507,92870,96600,92550,96160,101424.0,9566311680.0,96160,6,96170,56,40362.0,94320,92500.0,1.0
2015-04-03,NI1507,96000,97800,95660,97300,75141.0,7253360730.0,97300,4,97320,13,40499.0,96530,96160.0,1.0
2015-04-07,NI1507,97500,97980,95950,96420,37844.0,3662920760.0,96410,3,96440,1,41771.0,96790,97300.0,1.0
2015-04-08,NI1507,94500,95630,93300,93950,91544.0,8646330800.0,93950,1,94000,12,47551.0,94450,96420.0,1.0
2015-04-09,NI1507,94450,95260,93880,94300,80487.0,7606021500.0,94300,17,94310,6,49542.0,94500,93950.0,1.0
2015-04-10,NI1507,94500,94970,93180,94540,68861.0,6478442880.0,94540,13,94550,120,52814.0,94080,94300.0,1.0
2015-04-13,NI1507,94280,95670,93700,95230,90107.0,8534935040.0,95230,68,95260,45,56429.0,94720,94540.0,1.0
2015-04-14,NI1507,94780,95070,92810,93100,99575.0,9334160500.0,93100,5,93130,18,63845.0,93740,95230.0,1.0
2015-04-15,NI1507,92700,95000,92640,94730,110053.0,10341680410.0,94730,6,94770,2,66129.0,93970,93100.0,1.0
2015-04-16,NI1507,94610,95900,94260,95400,97960.0,9315016400.0,95400,131,95420,4,65812.0,95090,94730.0,1.0
2015-04-17,NI1507,96280,96660,95010,95850,84351.0,8089260900.0,95840,7,95850,40,63642.0,95900,95400.0,1.0
2015-04-20,NI1507,95980,96550,95200,95410,74052.0,7102327320.0,95400,106,95410,1,58205.0,95910,95850.0,1.0
2015-04-21,NI1507,95330,96800,94900,95880,70465.0,6758298150.0,95860,12,95890,2,55276.0,95910,95410.0,1.0
2015-04-22,NI1507,95910,96720,95750,96330,61951.0,5963403260.0,96310,1,96330,7,55258.0,96260,95880.0,1.0
2015-04-23,NI1507,96120,96500,95600,95860,50533.0,4858242620.0,95840,45,95860,8,55323.0,96140,96330.0,1.0
2015-04-24,NI1507,95840,97900,95700,97830,59090.0,5711639400.0,97820,17,97830,85,56908.0,96660,95860.0,1.0
2015-04-27,NI1507,98000,101490,97990,101490,120952.0,12106085680.0,101490,2092,0,0,58145.0,100090,97830.0,1.0
2015-04-28,NI1507,102490,104530,101420,102650,142861.0,14730397710.0,102640,2,102650,4,55979.0,103110,101490.0,1.0
2015-04-29,NI1507,102350,104400,100500,101020,158817.0,16269213480.0,101020,1,101030,76,55667.0,102440,102650.0,1.0
2015-04-30,NI1507,101190,106980,101160,106010,276375.0,28762346250.0,106010,7,106030,8,62985.0,104070,101020.0,1.0
2015-05-04,NI1507,106010,108900,105450,107580,139422.0,14918154000.0,107580,13,107620,10,64351.0,107000,106010.0,1.0
2015-05-05,NI1507,107850,109230,106160,107960,259133.0,27983772670.0,107940,17,107960,162,66813.0,107990,107580.0,1.0
2015-05-06,NI1507,110000,113380,109690,113380,304512.0,34135795200.0,113380,2297,0,0,67091.0,112100,107960.0,1.0
2015-05-07,NI1507,114580,115300,111050,112500,484526.0,54732056960.0,112460,5,112480,1,61839.0,112960,113380.0,1.0
2015-05-08,NI1507,113700,114100,110000,112300,439208.0,49107846480.0,112290,7,112300,66,59278.0,111810,112500.0,1.0
2015-05-11,NI1507,111810,114430,111060,113880,364027.0,40971238850.0,113860,3,113880,4,64027.0,112550,112300.0,1.0
2015-05-12,NI1507,113300,115060,111270,111600,435848.0,49368502960.0,111600,29,111620,26,63268.0,113270,113880.0,1.0
2015-05-13,NI1507,112280,113650,110780,111750,376307.0,42217882330.0,111740,6,111750,1,61934.0,112190,111600.0,1.0
2015-05-14,NI1507,112100,112100,107060,109400,380271.0,41746150380.0,109400,8,109410,21,60692.0,109780,111750.0,1.0
