time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2007-06-11,OI.CZC,9003.232776411287,9082.048955598726,8859.74691173672,8859.74691173672,25033.0,1111965860.0,0,0,0,0,12571.0,RO0709
2007-06-12,OI.CZC,8807.202792278427,8841.558562693464,8671.80063828975,8756.679600491607,42730.0,1856191200.0,0,0,0,0,15036.0,RO0709
2007-06-13,OI.CZC,8791.035370906644,8861.767839408192,8538.419411972545,8590.963531430838,65432.0,2807032800.0,0,0,0,0,18832.0,RO0709
2007-06-14,OI.CZC,8669.779710618277,8708.17733637626,8601.068169788203,8655.633216917968,53755.0,2302326650.0,0,0,0,0,16430.0,RO0709
2007-06-15,OI.CZC,8689.988987333005,8736.470323776879,8647.549506232077,8702.114553361842,34897.0,1501966880.0,0,0,0,0,15220.0,RO0709
2007-06-18,OI.CZC,8839.537635021992,8859.74691173672,8760.721455834553,8839.537635021992,25303.0,1103969890.0,0,0,0,0,14906.0,RO0709
2007-06-19,OI.CZC,8793.056298578118,8799.119081592535,8708.17733637626,8742.533106791298,18395.0,796687450.0,0,0,0,0,13440.0,RO0709
2007-06-20,OI.CZC,8605.110025131147,8694.030842675951,8605.110025131147,8681.905276647114,9581.0,410737470.0,0,0,0,0,13212.0,RO0709
2007-06-21,OI.CZC,8681.905276647114,8718.281974733623,8661.695999932386,8675.842493632696,4633.0,199033680.0,0,0,0,0,13061.0,RO0709
2007-06-22,OI.CZC,8627.34022951735,8657.65414458944,8609.151880474094,8651.591361575021,5321.0,227579170.0,0,0,0,0,13241.0,RO0709
2007-06-25,OI.CZC,8615.214663488512,8675.842493632696,8609.151880474094,8665.73785527533,5660.0,242474400.0,0,0,0,0,12931.0,RO0709
2007-06-26,OI.CZC,8669.779710618277,8687.968059661533,8592.98445910231,8613.193735817038,7093.0,302942030.0,0,0,0,0,12531.0,RO0709
