time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2007-06-11,RO0709,8910,8988,8768,8768,25033.0,1111965860.0,0,0,0,0,12571.0,8884,8940.0,1.0
2007-06-12,RO0709,8716,8750,8582,8666,42730.0,1856191200.0,0,0,0,0,15036.0,8688,8768.0,1.0
2007-06-13,RO0709,8700,8770,8450,8502,65432.0,2807032800.0,0,0,0,0,18832.0,8580,8666.0,1.0
2007-06-14,RO0709,8580,8618,8512,8566,53755.0,2302326650.0,0,0,0,0,16430.0,8566,8502.0,1.0
2007-06-15,RO0709,8600,8646,8558,8612,34897.0,1501966880.0,0,0,0,0,15220.0,8608,8566.0,1.0
2007-06-18,RO0709,8748,8768,8670,8748,25303.0,1103969890.0,0,0,0,0,14906.0,8726,8612.0,1.0
2007-06-19,RO0709,8702,8708,8618,8652,18395.0,796687450.0,0,0,0,0,13440.0,8662,8748.0,1.0
2007-06-20,RO0709,8516,8604,8516,8592,9581.0,410737470.0,0,0,0,0,13212.0,8574,8652.0,1.0
2007-06-21,RO0709,8592,8628,8572,8586,4633.0,199033680.0,0,0,0,0,13061.0,8592,8592.0,1.0
2007-06-22,RO0709,8538,8568,8520,8562,5321.0,227579170.0,0,0,0,0,13241.0,8554,8586.0,1.0
2007-06-25,RO0709,8526,8586,8520,8576,5660.0,242474400.0,0,0,0,0,12931.0,8568,8562.0,1.0
2007-06-26,RO0709,8580,8598,8504,8524,7093.0,302942030.0,0,0,0,0,12531.0,8542,8576.0,1.0
2007-06-27,RO0709,8532,8548,8342,8416,22379.0,940813160.0,0,0,0,0,14792.0,8408,8524.0,1.0
2007-06-28,RO0709,8406,8466,8406,8458,8657.0,365671680.0,0,0,0,0,12626.0,8448,8416.0,1.0
2007-06-29,RO0709,8510,8592,8462,8578,10921.0,466654330.0,0,0,0,0,10650.0,8546,8458.0,1.0
2007-07-02,RO0709,8700,8886,8576,8774,24511.0,1074317130.0,0,0,0,0,7790.0,8766,8578.0,1.0
2007-07-03,RO0709,8770,8770,8720,8726,6833.0,298670430.0,0,0,0,0,6687.0,8742,8774.0,1.0
2007-07-04,RO0709,8672,8770,8650,8762,7696.0,335237760.0,0,0,0,0,7207.0,8712,8726.0,1.0
2007-07-05,RO0709,8768,8820,8738,8748,9515.0,417518200.0,0,0,0,0,6888.0,8776,8762.0,1.0
2007-07-06,RO0709,8740,8836,8730,8832,9179.0,403784210.0,0,0,0,0,7066.0,8798,8748.0,1.0
2007-07-09,RO0709,8828,8868,8790,8804,7855.0,346641150.0,0,0,0,0,6026.0,8826,8832.0,1.0
2007-07-10,RO0709,8832,8838,8736,8750,4826.0,212054440.0,0,0,0,0,5221.0,8788,8804.0,1.0
2007-07-11,RO0709,8800,8850,8772,8836,5802.0,255636120.0,0,0,0,0,5185.0,8812,8750.0,1.0
2007-07-12,RO0709,8830,8912,8824,8896,8112.0,360416160.0,0,0,0,0,5761.0,8886,8836.0,1.0
2007-07-13,RO0709,8910,8944,8854,8872,4539.0,201849330.0,0,0,0,0,5215.0,8894,8896.0,1.0
2007-07-16,RO0709,8790,8822,8760,8816,2714.0,119307440.0,0,0,0,0,4581.0,8792,8872.0,1.0
2007-07-17,RO0709,8700,8832,8700,8822,2618.0,115192000.0,0,0,0,0,4329.0,8800,8816.0,1.0
2007-07-18,RO0709,8800,8876,8800,8870,1850.0,81936500.0,0,0,0,0,4294.0,8858,8822.0,1.0
2007-07-19,RO0709,8870,8900,8834,8842,1497.0,66302130.0,0,0,0,0,4062.0,8858,8870.0,1.0
2007-07-20,RO0709,8850,8898,8842,8870,2038.0,90446440.0,0,0,0,0,4060.0,8876,8842.0,1.0
2007-07-23,RO0709,8820,8890,8820,8860,1135.0,50348600.0,0,0,0,0,3658.0,8872,8870.0,1.0
2007-07-24,RO0709,8852,8870,8840,8862,589.0,26080920.0,0,0,0,0,3650.0,8856,8860.0,1.0
2007-07-25,RO0709,8870,8890,8862,8886,543.0,24103770.0,0,0,0,0,3525.0,8878,8862.0,1.0
2007-07-26,RO0709,8898,8900,8874,8900,706.0,31381700.0,0,0,0,0,3496.0,8890,8886.0,1.0
2007-07-27,RO0709,8890,9074,8888,9020,4985.0,224524400.0,0,0,0,0,5278.0,9008,8900.0,1.0
2007-07-30,RO0709,9040,9248,9040,9206,6790.0,310778300.0,0,0,0,0,5301.0,9154,9020.0,1.0
2007-07-31,RO0709,9250,9268,9166,9188,4496.0,206950880.0,0,0,0,0,5182.0,9206,9206.0,1.0
2007-08-01,RO0709,9254,9254,9122,9150,1566.0,71910720.0,0,0,0,0,4840.0,9184,9188.0,1.0
2007-08-02,RO0709,9154,9218,9140,9174,1047.0,48088710.0,0,0,0,0,4672.0,9186,9150.0,1.0
2007-08-03,RO0709,9166,9194,9132,9140,1425.0,65151000.0,0,0,0,0,4694.0,9144,9174.0,1.0
2007-08-06,RO0709,9100,9178,9100,9132,1560.0,71338800.0,0,0,0,0,4749.0,9146,9140.0,1.0
2007-08-07,RO0709,9104,9158,9102,9126,495.0,22601700.0,0,0,0,0,4518.0,9132,9132.0,1.0
2007-08-08,RO0709,9148,9220,9148,9170,1491.0,68466720.0,0,0,0,0,4635.0,9184,9126.0,1.0
2007-08-09,RO0709,9248,9248,9136,9180,2048.0,93880320.0,0,0,0,0,5196.0,9168,9170.0,1.0
2007-08-10,RO0709,9060,9180,9058,9180,642.0,29339400.0,0,0,0,0,4866.0,9140,9180.0,1.0
2007-08-13,RO0709,9150,9220,9150,9220,437.0,20093260.0,0,0,0,0,4731.0,9196,9180.0,1.0
2007-08-14,RO0709,9210,9250,9200,9212,157.0,7240840.0,0,0,0,0,4643.0,9224,9220.0,1.0
2007-08-15,RO0709,9190,9210,9180,9190,200.0,9198000.0,0,0,0,0,4550.0,9198,9212.0,1.0
2007-08-16,RO0801,9212,9228,9102,9124,1969.0,90101440.0,0,0,0,0,4943.0,9152,9246.0,0.9939433268440406
2007-08-17,RO0801,8854,9050,8832,8874,3208.0,143044720.0,0,0,0,0,5227.0,8918,9124.0,0.9939433268440406
2007-08-20,RO0801,8978,9146,8966,9138,2896.0,131739040.0,0,0,0,0,5525.0,9098,8874.0,0.9939433268440406
2007-08-21,RO0801,9246,9246,9100,9162,2066.0,94416200.0,0,0,0,0,5459.0,9140,9138.0,0.9939433268440406
2007-08-22,RO0801,9124,9146,9048,9094,1714.0,77901300.0,0,0,0,0,5665.0,9090,9162.0,0.9939433268440406
2007-08-23,RO0801,9148,9172,9120,9134,684.0,31272480.0,0,0,0,0,5663.0,9144,9094.0,0.9939433268440406
2007-08-24,RO0801,9130,9184,9130,9160,643.0,29475120.0,0,0,0,0,5490.0,9168,9134.0,0.9939433268440406
2007-08-27,RO0801,9130,9198,9120,9120,717.0,32824260.0,0,0,0,0,5523.0,9156,9160.0,0.9939433268440406
2007-08-28,RO0801,9158,9160,9118,9136,1111.0,50750480.0,0,0,0,0,5260.0,9136,9120.0,0.9939433268440406
2007-08-29,RO0801,9100,9100,8980,9002,2174.0,98134360.0,0,0,0,0,5704.0,9028,9136.0,0.9939433268440406
2007-08-30,RO0801,9030,9152,9030,9096,1759.0,80104860.0,0,0,0,0,5689.0,9108,9002.0,0.9939433268440406
2007-08-31,RO0801,9120,9226,9120,9184,1305.0,59886450.0,0,0,0,0,5456.0,9178,9096.0,0.9939433268440406
2007-09-03,RO0801,9170,9186,9138,9144,644.0,29475880.0,0,0,0,0,5138.0,9154,9184.0,0.9939433268440406
2007-09-04,RO0801,9180,9230,9104,9116,771.0,35273250.0,0,0,0,0,4887.0,9150,9144.0,0.9939433268440406
2007-09-05,RO0801,9176,9188,9118,9142,360.0,16462800.0,0,0,0,0,4757.0,9146,9116.0,0.9939433268440406
2007-09-06,RO0801,9120,9142,9102,9124,262.0,11952440.0,0,0,0,0,4705.0,9124,9142.0,0.9939433268440406
2007-09-07,RO0801,9096,9130,9096,9118,154.0,7020860.0,0,0,0,0,4643.0,9118,9124.0,0.9939433268440406
2007-09-10,RO0801,9122,9330,9122,9304,3008.0,139420800.0,0,0,0,0,4035.0,9270,9118.0,0.9939433268440406
2007-09-11,RO0801,9340,9340,9264,9268,1738.0,80851760.0,0,0,0,0,3780.0,9304,9304.0,0.9939433268440406
2007-09-12,RO0801,9310,9310,9242,9266,502.0,23222520.0,0,0,0,0,3578.0,9252,9268.0,0.9939433268440406
2007-09-13,RO0801,9290,9330,9252,9280,1322.0,61525880.0,0,0,0,0,3521.0,9308,9266.0,0.9939433268440406
2007-09-14,RO0801,9290,9390,9260,9328,1020.0,47603400.0,0,0,0,0,3588.0,9334,9280.0,0.9939433268440406
2007-09-17,RO0801,9390,9436,9336,9436,1884.0,88623360.0,0,0,0,0,3650.0,9408,9328.0,0.9939433268440406
2007-09-18,RO0801,9430,9480,9400,9410,1276.0,60214440.0,0,0,0,0,3412.0,9438,9436.0,0.9939433268440406
