time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2007-10-30,P0805,8700,8700,8550,8572,9323.0,802523840.0,0,0,0,0,2143.0,8608,8424.0,1.0
2007-10-31,P0805,8502,8554,8500,8516,2571.0,219306300.0,0,0,0,0,1887.0,8530,8572.0,1.0
2007-11-01,P0805,8700,8700,8550,8598,1611.0,138642660.0,0,0,0,0,1763.0,8606,8516.0,1.0
2007-11-02,P0805,8550,8564,8520,8540,1652.0,141080800.0,0,0,0,0,1681.0,8540,8598.0,1.0
2007-11-05,P0805,8550,8628,8550,8600,2214.0,190359720.0,0,0,0,0,1820.0,8598,8540.0,1.0
2007-11-06,P0805,8596,8670,8596,8666,1863.0,160739640.0,0,0,0,0,1694.0,8628,8600.0,1.0
2007-11-07,P0805,8730,8878,8730,8816,2092.0,184430720.0,0,0,0,0,1433.0,8816,8666.0,1.0
2007-11-08,P0805,8760,8898,8760,8860,2245.0,198592700.0,0,0,0,0,1377.0,8846,8816.0,1.0
2007-11-09,P0805,8860,8948,8860,8910,2382.0,212045640.0,0,0,0,0,1249.0,8902,8860.0,1.0
2007-11-12,P0805,8910,8930,8820,8836,1203.0,106489560.0,0,0,0,0,1087.0,8852,8910.0,1.0
2007-11-13,P0805,8780,8970,8762,8948,1421.0,125730080.0,0,0,0,0,1072.0,8848,8836.0,1.0
2007-11-14,P0805,8950,8960,8872,8900,1749.0,155730960.0,0,0,0,0,1368.0,8904,8948.0,1.0
2007-11-15,P0805,8944,8970,8882,8900,1682.0,150135320.0,0,0,0,0,1348.0,8926,8900.0,1.0
2007-11-16,P0805,8900,8900,8702,8724,1837.0,162023400.0,0,0,0,0,1198.0,8820,8900.0,1.0
2007-11-19,P0805,8748,8798,8658,8722,4230.0,368010000.0,0,0,0,0,1132.0,8700,8724.0,1.0
2007-11-20,P0805,8688,8688,8360,8420,3689.0,315188160.0,0,0,0,0,1027.0,8544,8722.0,1.0
2007-11-21,P0805,8500,8692,8490,8690,3559.0,306145180.0,0,0,0,0,952.0,8602,8420.0,1.0
2007-11-22,P0805,8620,8776,8620,8736,2774.0,242669520.0,0,0,0,0,991.0,8748,8690.0,1.0
2007-11-23,P0805,8760,8776,8648,8710,5758.0,501291480.0,0,0,0,0,1013.0,8706,8736.0,1.0
2007-11-26,P0805,8770,8866,8764,8804,5838.0,514211040.0,0,0,0,0,1110.0,8808,8710.0,1.0
2007-11-27,P0805,8760,8760,8670,8700,4818.0,420129600.0,0,0,0,0,1062.0,8720,8804.0,1.0
2007-11-28,P0805,8632,8656,8550,8550,7124.0,611809120.0,0,0,0,0,1308.0,8588,8700.0,1.0
2007-11-29,P0805,8576,8600,8400,8522,7044.0,600430560.0,0,0,0,0,1373.0,8524,8550.0,1.0
2007-11-30,P0805,8500,8546,8460,8500,3038.0,258594560.0,0,0,0,0,1299.0,8512,8522.0,1.0
2007-12-03,P0805,8500,8600,8498,8510,2254.0,192491600.0,0,0,0,0,1275.0,8540,8500.0,1.0
2007-12-04,P0805,8510,8600,8510,8570,3608.0,309133440.0,0,0,0,0,1314.0,8568,8510.0,1.0
2007-12-05,P0805,8586,8636,8530,8576,6206.0,531233600.0,0,0,0,0,1360.0,8560,8570.0,1.0
2007-12-06,P0805,8552,8552,8472,8480,6639.0,564846120.0,0,0,0,0,1323.0,8508,8576.0,1.0
2007-12-07,P0805,8520,8560,8428,8558,6981.0,594781200.0,0,0,0,0,1578.0,8520,8480.0,1.0
2007-12-10,P0805,8532,8566,8492,8522,7201.0,613381180.0,0,0,0,0,1588.0,8518,8558.0,1.0
2007-12-11,P0805,8502,8608,8502,8576,9296.0,794064320.0,0,0,0,0,1705.0,8542,8522.0,1.0
2007-12-12,P0805,8588,8588,8500,8518,7831.0,668297540.0,0,0,0,0,1739.0,8534,8576.0,1.0
2007-12-13,P0805,8592,8874,8560,8710,7870.0,684217800.0,0,0,0,0,1598.0,8694,8518.0,1.0
2007-12-14,P0805,8650,8728,8650,8712,7203.0,626805060.0,0,0,0,0,1614.0,8702,8710.0,1.0
2007-12-17,P0805,8748,8798,8722,8786,3598.0,315760480.0,0,0,0,0,1690.0,8776,8712.0,1.0
2007-12-18,P0805,8786,8786,8680,8680,8755.0,764311500.0,0,0,0,0,1647.0,8730,8786.0,1.0
2007-12-19,P0805,8650,8816,8650,8786,7804.0,680977040.0,0,0,0,0,1715.0,8726,8680.0,1.0
2007-12-20,P0805,8808,8808,8742,8750,8741.0,765012320.0,0,0,0,0,2043.0,8752,8786.0,1.0
2007-12-21,P0805,8752,8840,8710,8818,7924.0,694617840.0,0,0,0,0,2030.0,8766,8750.0,1.0
2007-12-24,P0805,8798,9034,8770,8996,9405.0,840995100.0,0,0,0,0,3004.0,8942,8818.0,1.0
2007-12-25,P0805,9044,9044,8956,9016,8534.0,767547960.0,0,0,0,0,3018.0,8994,8996.0,1.0
2007-12-26,P0805,9040,9248,9020,9246,11332.0,1040050960.0,0,0,0,0,3785.0,9178,9016.0,1.0
2007-12-27,P0805,9258,9486,9258,9300,9356.0,877218560.0,0,0,0,0,4237.0,9376,9246.0,1.0
2007-12-28,P0805,9300,9410,9208,9298,9347.0,874318380.0,0,0,0,0,5169.0,9354,9300.0,1.0
2008-01-02,P0805,9300,9360,9244,9296,12549.0,1165551120.0,0,0,0,0,6345.0,9288,9298.0,1.0
2008-01-03,P0805,9380,9536,9380,9424,13512.0,1281207840.0,0,0,0,0,7177.0,9482,9296.0,1.0
2008-01-04,P0805,9450,9496,9410,9434,13427.0,1269388580.0,0,0,0,0,7566.0,9454,9424.0,1.0
2008-01-07,P0805,9420,9514,9404,9448,13860.0,1313096400.0,0,0,0,0,7735.0,9474,9434.0,1.0
2008-01-08,P0805,9470,9504,9408,9470,15421.0,1456976080.0,0,0,0,0,7779.0,9448,9448.0,1.0
2008-01-09,P0805,9530,9580,9450,9576,12041.0,1145099100.0,0,0,0,0,7947.0,9510,9470.0,1.0
2008-01-10,P0805,9510,9670,9510,9630,13616.0,1307952960.0,0,0,0,0,7987.0,9606,9576.0,1.0
2008-01-11,P0805,9630,9880,9630,9842,14054.0,1368859600.0,0,0,0,0,8234.0,9740,9630.0,1.0
2008-01-14,P0805,9988,10128,9950,10128,6274.0,630787960.0,0,0,0,0,8558.0,10054,9842.0,1.0
2008-01-15,P0805,10280,10296,10080,10252,12753.0,1299530700.0,0,0,0,0,8588.0,10190,10128.0,1.0
2008-01-16,P0805,10244,10248,9968,10070,11520.0,1165132800.0,0,0,0,0,9194.0,10114,10252.0,1.0
2008-01-17,P0805,10020,10246,9968,10244,11795.0,1193182200.0,0,0,0,0,9732.0,10116,10070.0,1.0
2008-01-18,P0805,10180,10198,9882,9930,12483.0,1246302720.0,0,0,0,0,8997.0,9984,10244.0,1.0
