time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2011-03-25,PB1109,18935,19135,18860,18950,12429.0,1180444275.0,18950,8,18960,16,4247.0,18995,18935.0,1.0
2011-03-28,PB1109,18900,19035,18500,18605,8480.0,796060000.0,18590,11,18605,1,4131.0,18775,18950.0,1.0
2011-03-29,PB1109,18530,18735,18485,18675,5309.0,494666075.0,18670,26,18680,16,3984.0,18635,18605.0,1.0
2011-03-30,PB1109,18800,18850,18695,18760,4043.0,379132325.0,18760,3,18765,3,3660.0,18755,18675.0,1.0
2011-03-31,PB1109,18700,18720,18580,18665,1528.0,142486000.0,18665,4,18670,1,3388.0,18650,18760.0,1.0
2011-04-01,PB1109,18780,18780,18570,18640,1275.0,118989375.0,18635,1,18640,1,3358.0,18665,18665.0,1.0
2011-04-06,PB1109,18675,19360,18675,19220,7700.0,734580000.0,19215,2,19220,12,4681.0,19080,18640.0,1.0
2011-04-07,PB1109,19200,19300,19035,19075,5213.0,498753775.0,19070,63,19075,17,4322.0,19135,19220.0,1.0
2011-04-08,PB1109,19090,19250,19005,19175,4217.0,403672325.0,19180,1,19190,6,4694.0,19145,19075.0,1.0
2011-04-11,PB1109,19250,19440,19145,19210,6969.0,671985825.0,19205,20,19235,6,5121.0,19285,19175.0,1.0
2011-04-12,PB1109,19000,19125,18790,18800,4628.0,438618700.0,18805,2,18830,22,4577.0,18955,19210.0,1.0
2011-04-13,PB1109,18610,18745,18540,18715,2783.0,259445175.0,18710,18,18715,5,4388.0,18645,18800.0,1.0
2011-04-14,PB1109,18555,18690,18540,18580,1923.0,178887075.0,18555,3,18580,6,4287.0,18605,18715.0,1.0
2011-04-15,PB1109,18605,18780,18505,18580,4996.0,465877000.0,18575,1,18580,5,4409.0,18650,18580.0,1.0
2011-04-18,PB1109,18575,18650,18525,18580,1667.0,154905975.0,18580,2,18585,3,4449.0,18585,18580.0,1.0
2011-04-19,PB1109,18300,18350,17950,17980,4195.0,380696250.0,17970,12,17980,18,5106.0,18150,18580.0,1.0
2011-04-20,PB1109,18065,18180,18065,18165,1465.0,132729000.0,18165,3,18170,1,4754.0,18120,17980.0,1.0
2011-04-21,PB1109,18300,18300,18140,18180,1252.0,113932000.0,18180,1,18195,4,4625.0,18200,18165.0,1.0
2011-04-22,PB1109,18235,18235,17880,17975,1710.0,153729000.0,17975,1,17980,3,4753.0,17980,18180.0,1.0
2011-04-25,PB1109,17980,18050,17760,17760,1051.0,93828025.0,17760,8,17765,1,4757.0,17855,17975.0,1.0
2011-04-26,PB1109,17695,17695,17420,17645,1753.0,153738100.0,17640,2,17655,1,4484.0,17540,17760.0,1.0
2011-04-27,PB1109,17620,17790,17420,17550,1487.0,131190575.0,17535,1,17590,1,4388.0,17645,17645.0,1.0
2011-04-28,PB1109,17555,17850,17555,17755,1639.0,145420275.0,17760,7,17765,4,4296.0,17745,17550.0,1.0
2011-04-29,PB1109,17665,17725,17530,17550,774.0,68112000.0,17550,38,17580,2,4260.0,17600,17755.0,1.0
2011-05-03,PB1109,17550,17650,17460,17530,951.0,83426475.0,17515,1,17530,1,4356.0,17545,17550.0,1.0
2011-05-04,PB1109,17590,17595,17440,17480,570.0,49875000.0,17465,2,17485,2,4273.0,17500,17530.0,1.0
2011-05-05,PB1109,17310,17310,16450,16715,2035.0,172771500.0,16705,1,16715,17,4324.0,16980,17480.0,1.0
2011-05-06,PB1109,16220,16440,16190,16255,3270.0,266505000.0,16250,1,16255,3,4475.0,16300,16715.0,1.0
2011-05-09,PB1109,16330,16640,16330,16620,1623.0,134059800.0,16595,1,16635,1,4334.0,16520,16255.0,1.0
2011-05-10,PB1109,16505,16710,16465,16645,1380.0,114264000.0,16630,1,16645,2,4302.0,16560,16620.0,1.0
2011-05-11,PB1109,16690,17200,16595,16675,1819.0,152341250.0,16660,4,16675,2,4304.0,16750,16645.0,1.0
2011-05-12,PB1109,16450,16500,16220,16220,2212.0,180831000.0,16220,14,16230,4,4401.0,16350,16675.0,1.0
2011-05-13,PB1109,16475,16740,16340,16705,1918.0,158954250.0,16705,2,16720,3,4340.0,16575,16220.0,1.0
2011-05-16,PB1109,16575,16655,16460,16555,1436.0,118900800.0,16555,1,16570,1,4351.0,16560,16705.0,1.0
2011-05-17,PB1109,16505,16610,16230,16570,1966.0,162047550.0,16570,1,16585,1,4414.0,16485,16555.0,1.0
2011-05-18,PB1109,16735,16855,16620,16710,2609.0,218047175.0,16705,4,16715,1,4287.0,16715,16570.0,1.0
2011-05-19,PB1109,17180,17180,16925,16945,2770.0,235796250.0,16935,3,16945,2,3933.0,17025,16710.0,1.0
2011-05-20,PB1109,16995,16995,16850,16935,1196.0,101181600.0,16920,2,16940,4,3959.0,16920,16945.0,1.0
2011-05-23,PB1109,17000,17075,16565,16610,1801.0,151013850.0,16600,21,16620,3,3883.0,16770,16935.0,1.0
2011-05-24,PB1109,16605,16800,16525,16760,1302.0,108619350.0,16760,3,16770,1,3742.0,16685,16610.0,1.0
2011-05-25,PB1109,16870,17095,16790,17090,1367.0,115614025.0,17090,19,17095,7,3717.0,16915,16760.0,1.0
2011-05-26,PB1109,17050,17230,17050,17205,1566.0,134284500.0,17205,3,17220,6,3729.0,17150,17090.0,1.0
2011-05-27,PB1109,17100,17340,17040,17315,1790.0,153850500.0,17295,1,17300,9,3814.0,17190,17205.0,1.0
2011-05-30,PB1109,17230,17370,17030,17040,1567.0,134526950.0,17035,1,17040,3,3756.0,17170,17315.0,1.0
2011-05-31,PB1109,17115,17180,16895,17095,2142.0,182177100.0,17030,1,17095,2,4046.0,17010,17040.0,1.0
2011-06-01,PB1109,17085,17085,16910,16955,1268.0,107653200.0,16955,1,16975,1,4165.0,16980,17095.0,1.0
2011-06-02,PB1109,16840,16900,16780,16880,992.0,83501600.0,16870,17,16880,58,4084.0,16835,16955.0,1.0
2011-06-03,PB1109,16710,16980,16675,16890,1767.0,148958100.0,16880,1,16890,2,4288.0,16860,16880.0,1.0
2011-06-07,PB1109,16890,17165,16845,17030,2259.0,192184425.0,17020,1,17030,2,4142.0,17015,16890.0,1.0
2011-06-08,PB1109,17100,17180,16865,17020,2019.0,172119750.0,17010,4,17020,15,4109.0,17050,17030.0,1.0
2011-06-09,PB1109,17105,17130,16985,16985,1036.0,88370800.0,16980,1,17005,1,4075.0,17060,17020.0,1.0
2011-06-10,PB1109,17080,17150,16990,17070,1456.0,124342400.0,17070,1,17075,3,4218.0,17080,16985.0,1.0
2011-06-13,PB1109,16970,17025,16835,16940,1328.0,112548000.0,16940,136,16950,1,4255.0,16950,17070.0,1.0
2011-06-14,PB1109,16965,16975,16820,16940,1001.0,84584500.0,16940,1,16950,5,4523.0,16900,16940.0,1.0
2011-06-15,PB1109,17030,17070,16955,16980,1169.0,99423450.0,16980,2,16985,1,4703.0,17010,16940.0,1.0
2011-06-16,PB1109,16835,16870,16680,16695,1405.0,117914625.0,16680,23,16695,1,4694.0,16785,16980.0,1.0
2011-06-17,PB1109,16720,16780,16600,16620,943.0,78693350.0,16620,4,16640,9,4698.0,16690,16695.0,1.0
2011-06-20,PB1109,16550,16630,16455,16470,1043.0,86177875.0,16470,8,16485,1,4805.0,16525,16620.0,1.0
2011-06-21,PB1109,16535,16890,16530,16850,1732.0,144795200.0,16840,2,16870,6,4517.0,16720,16470.0,1.0
2011-06-22,PB1109,16800,16850,16685,16720,1089.0,91285425.0,16720,3,16730,1,4440.0,16765,16850.0,1.0
2011-06-23,PB1109,16905,16910,16715,16855,1680.0,141204000.0,16860,1,16865,1,4405.0,16810,16720.0,1.0
2011-06-24,PB1109,16875,17045,16860,17030,2090.0,177493250.0,17010,3,17030,5,4408.0,16985,16855.0,1.0
2011-06-27,PB1109,16910,16965,16750,16770,1396.0,117647900.0,16765,2,16770,6,4291.0,16855,17030.0,1.0
2011-06-28,PB1109,16850,16955,16820,16865,842.0,71170050.0,16865,1,16870,86,4330.0,16905,16770.0,1.0
