time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2020-03-31,PG.DCE,2533.696518025887,2653.603966409828,2506.5870079564743,2653.603966409828,89839.0,4515308140.0,2545,2458,0,0,18891.0,PG2011
2020-04-01,PG.DCE,2655.6893133382446,2754.743292438022,2637.9638644467054,2735.975170082275,199435.0,10362642600.0,2625,2,2626,47,21955.0,PG2011
2020-04-02,PG.DCE,2756.8286393664384,2897.5895570345433,2718.2497211907357,2897.5895570345433,206057.0,11073503180.0,2779,1547,0,0,26486.0,PG2011
2020-04-03,PG.DCE,2909.058965140833,2997.686209598529,2848.5839042167586,2997.686209598529,323535.0,18143842800.0,2875,1510,0,0,35752.0,PG2011
2020-04-07,PG.DCE,3044.606515487897,3193.7088208696673,3037.30780123844,3147.8311884445075,430450.0,25870045000.0,3019,1,3020,96,48247.0,PG2011
2020-04-08,PG.DCE,3113.4229641256375,3142.6178211234665,3014.3689850258597,3064.4173113078527,494076.0,29180128560.0,2938,9,2939,36,49156.0,PG2011
2020-04-09,PG.DCE,3107.166923340388,3173.898025049712,3090.4841479130573,3146.788514980299,457508.0,27496230800.0,3018,23,3020,130,45765.0,PG2011
2020-04-10,PG.DCE,3055.033250129979,3150.959208837132,3037.30780123844,3149.9165353729236,310584.0,18454901280.0,3021,15,3022,21,46292.0,PG2011
2020-04-13,PG.DCE,3206.220902440166,3313.6162692536086,3206.220902440166,3272.9520041494893,400984.0,25077539360.0,3138,2,3139,2,57076.0,PG2011
2020-04-14,PG.DCE,3280.250718398947,3301.1041876831105,3218.732984010664,3293.8054734336533,327672.0,20472946560.0,3158,38,3159,94,59068.0,PG2011
2020-04-15,PG.DCE,3248.9705144727013,3478.358676598502,3240.629126759036,3381.3900444271408,803635.0,52220202300.0,3244,1,3245,19,82717.0,PG2011
2020-04-16,PG.DCE,3388.688758676598,3453.334513457505,3313.6162692536086,3404.3288606397205,738801.0,47859528780.0,3263,2,3265,91,82774.0,PG2011
2020-04-17,PG.DCE,3436.6517380301743,3472.1026358132526,3261.4825960431995,3324.0430038956906,727177.0,46524784460.0,3189,48,3190,382,74000.0,PG2011
2020-04-20,PG.DCE,3219.775657474872,3363.6645955356016,3211.4342697612065,3358.4512282145606,500458.0,31568890640.0,3222,10,3223,67,75752.0,PG2011
2020-04-21,PG.DCE,3336.5550854661888,3405.3715341039288,3265.653289900032,3378.262024034516,767821.0,49109831160.0,3239,4,3240,32,91434.0,PG2011
2020-04-22,PG.DCE,3317.7869631104413,3357.4085547503523,3195.794167798084,3262.5252695074078,995470.0,62336331400.0,3129,14,3130,77,81566.0,PG2011
2020-04-23,PG.DCE,3304.232208075735,3492.956105097416,3281.2933918631547,3492.956105097416,744746.0,48780863000.0,3350,578,0,0,94323.0,PG2011
2020-04-24,PG.DCE,3492.956105097416,3569.0712679846138,3456.46253385013,3545.0897783078253,784376.0,52819879840.0,3399,1,3400,14,97404.0,PG2011
2020-04-27,PG.DCE,3524.2363090236618,3747.368430364213,3512.766900917372,3728.600308008466,887455.0,62530079300.0,3574,2,3576,86,118378.0,PG2011
2020-04-28,PG.DCE,3704.6188183316776,3815.142205537745,3437.6944114943826,3500.254819346874,1270395.0,86996649600.0,3357,51,3358,4,75027.0,PG2011
2020-04-29,PG.DCE,3500.254819346874,3617.03424733819,3408.499554496553,3460.6332277069628,949175.0,63651675500.0,3319,1,3320,57,69018.0,PG2011
2020-04-30,PG.DCE,3503.382839739498,3541.961757915201,3456.46253385013,3538.8337375225765,602578.0,40420932240.0,3394,7,3395,9,55701.0,PG2011
2020-05-06,PG.DCE,3649.357124728644,3674.3812878696403,3521.1082886310373,3586.796716876153,371491.0,25499142240.0,3440,1,3441,86,64990.0,PG2011
2020-05-07,PG.DCE,3560.7298802709483,3617.03424733819,3533.6203702015355,3558.6445333425318,414782.0,28395975720.0,3413,7,3415,37,65440.0,PG2011
2020-05-08,PG.DCE,3595.1381045898183,3610.778206552941,3498.169472418457,3601.394145375067,423534.0,28944313560.0,3453,257,3454,39,73205.0,PG2011
2020-05-11,PG.DCE,3602.4368188392755,3656.655838978101,3467.93194195642,3490.870758169,582185.0,39670085900.0,3348,103,3349,7,65663.0,PG2011
2020-05-12,PG.DCE,3492.956105097416,3499.2121458826655,3411.627574889178,3484.6147173837508,472577.0,31379112800.0,3342,11,3343,31,68509.0,PG2011
2020-05-13,PG.DCE,3496.0841254900406,3498.169472418457,3345.9391466440625,3361.579248607185,565841.0,36870199560.0,3225,3,3226,87,74462.0,PG2011
