time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2014-03-03,PP.DCE,5140.005543919579,5185.177619567339,5094.83346827182,5109.250088159402,22363.0,1191053380.0,10632,50,10635,6,9164.0,PP1405
2014-03-04,PP.DCE,5115.20376858841,5125.12656930342,5088.412206657878,5113.219208445406,19969.0,1027604740.0,10305,3,10308,1,12517.0,PP1409
2014-03-05,PP.DCE,5139.514630340187,5140.010770375938,5091.389046872382,5109.746228195153,8828.0,454774420.0,10298,2,10299,1,11617.0,PP1409
2014-03-06,PP.DCE,5095.358167158386,5105.2809678733975,4996.626300044022,5043.759603440327,35537.0,1804213490.0,10165,110,10166,54,16144.0,PP1409
2014-03-07,PP.DCE,5060.628364655846,5060.628364655846,5025.402422117556,5048.224863762082,22665.0,1151835300.0,10172,5,10176,49,18923.0,PP1409
2014-03-10,PP.DCE,4973.803858399496,5035.821362868318,4961.400357505732,4999.603140258526,39680.0,1997292800.0,10077,2,10080,20,23268.0,PP1409
2014-03-11,PP.DCE,5009.029800937787,5135.049370018432,4986.20735929326,5050.705563940835,34706.0,1764279510.0,10178,6,10190,11,19642.0,PP1409
2014-03-12,PP.DCE,5006.052960723284,5057.1553844055925,4991.664899686517,5056.163104334091,23107.0,1171293830.0,10186,1,10191,7,24658.0,PP1409
2014-03-13,PP.DCE,5060.628364655846,5078.489405942867,5043.263463404576,5065.093624977601,12901.0,657821990.0,10208,1,10209,3,24972.0,PP1409
2014-03-14,PP.DCE,5060.628364655846,5065.589765013352,5020.9371617958,5046.24030361908,22764.0,1156752660.0,10171,3,10175,39,26012.0,PP1409
2014-03-17,PP.DCE,5043.263463404576,5105.2809678733975,5030.859962510812,5046.24030361908,13060.0,664884600.0,10171,3,10174,2,26322.0,PP1409
2014-03-18,PP.DCE,5023.417861974553,5105.2809678733975,5023.417861974553,5102.304127658894,28443.0,1455854955.0,10283,10,10284,10,25906.0,PP1409
2014-03-19,PP.DCE,5110.242368230903,5134.05708994693,5067.5743251563545,5067.5743251563545,18105.0,930415950.0,10216,2,10218,58,24335.0,PP1409
2014-03-20,PP.DCE,5070.551165370858,5090.39676680088,5058.147664477094,5080.473966085869,12559.0,642392850.0,10233,16,10240,50,21901.0,PP1409
2014-03-21,PP.DCE,5063.60520487035,5107.7616680521505,5061.620644727347,5102.800267694644,11884.0,608876740.0,10285,4,10287,11,22044.0,PP1409
2014-03-24,PP.DCE,5100.319567515892,5122.1497290889165,5080.97010612162,5115.20376858841,12417.0,638854650.0,10308,16,10311,1,23742.0,PP1409
2014-03-25,PP.DCE,5117.684468767162,5177.717413092982,5105.2809678733975,5162.833212020464,26464.0,1372290720.0,10406,28,10410,23,22585.0,PP1409
2014-03-26,PP.DCE,5154.398831412705,5239.238777526052,5152.414271269702,5222.866156346284,59410.0,3118727950.0,10526,5,10527,31,26345.0,PP1409
2014-03-27,PP.DCE,5224.354576453535,5224.354576453535,5196.570734451503,5205.501255095013,23114.0,1213485000.0,10491,5,10492,189,25841.0,PP1409
2014-03-28,PP.DCE,5209.470375381018,5271.48787984984,5205.501255095013,5269.007179671086,37613.0,1985214140.0,10619,4,10620,57,29211.0,PP1409
2014-03-31,PP.DCE,5268.014899599585,5283.891380743604,5240.727197633304,5250.153858312565,20699.0,1097253990.0,10582,4,10588,1,29017.0,PP1409
2014-04-01,PP.DCE,5254.12297859857,5320.6057433891465,5236.758077347299,5311.179082709885,50014.0,2667496690.0,10705,73,10706,12,35867.0,PP1409
2014-04-02,PP.DCE,5299.271721851871,5312.171362781387,5283.891380743604,5294.806461530116,24210.0,1292450850.0,10671,24,10672,37,38138.0,PP1409
2014-04-03,PP.DCE,5298.775581816121,5311.179082709885,5262.061219170579,5301.256281994874,35068.0,1869825760.0,10685,29,10686,1,40253.0,PP1409
2014-04-04,PP.DCE,5301.256281994874,5374.188867250208,5301.256281994874,5367.2429067497005,47299.0,2552017545.0,10817,109,10818,3,43914.0,PP1409
2014-04-08,PP.DCE,5363.273786463696,5377.165707464712,5321.101883424897,5336.482224533164,35997.0,1936818585.0,10756,12,10757,3,45333.0,PP1409
2014-04-09,PP.DCE,5353.350985748684,5353.350985748684,5288.852781101109,5325.071003710902,43156.0,2309493340.0,10729,9,10734,8,46295.0,PP1409
2014-04-10,PP.DCE,5333.505384318661,5360.7930862849435,5299.7678618876225,5299.7678618876225,37681.0,2025165345.0,10680,87,10682,2,47248.0,PP1409
2014-04-11,PP.DCE,5293.814181458616,5318.621183246144,5268.511039635337,5309.194522566883,31274.0,1671595300.0,10701,4,10702,16,47866.0,PP1409
2014-04-14,PP.DCE,5333.505384318661,5345.412745176674,5298.775581816121,5337.4745046046655,36856.0,1978982920.0,10754,19,10755,20,51122.0,PP1409
2014-04-15,PP.DCE,5341.44362489067,5371.212027035705,5322.590303532149,5354.839405855936,44721.0,2410909110.0,10795,36,10797,136,54126.0,PP1409
2014-04-16,PP.DCE,5349.87800549843,5361.289226320693,5331.520824175659,5344.420465105174,27144.0,1462111560.0,10771,8,10775,10,54496.0,PP1409
2014-04-17,PP.DCE,5343.428185033673,5407.926389681247,5338.466784676168,5395.522888787483,57008.0,3093824160.0,10875,17,10876,9,56892.0,PP1409
2014-04-18,PP.DCE,5400.9804291807395,5401.47656921649,5354.343265820185,5395.026748751732,40289.0,2184872470.0,10874,2,10875,1,54055.0,PP1409
2014-04-21,PP.DCE,5395.522888787483,5426.779711039769,5375.181147321709,5401.47656921649,27426.0,1492797180.0,10887,6,10888,3,54848.0,PP1409
2014-04-22,PP.DCE,5402.964989323741,5477.385994686328,5388.576928286974,5445.13689236254,72924.0,3999516780.0,10976,4,10977,9,61594.0,PP1409
2014-04-23,PP.DCE,5450.098292720047,5450.594432755796,5391.553768501478,5420.329890575012,45331.0,2474392635.0,10922,5,10925,8,61632.0,PP1409
2014-04-24,PP.DCE,5419.833750539261,5432.237251433025,5365.754486642449,5404.453409430993,62719.0,3411600005.0,10892,1,10893,10,60562.0,PP1409
2014-04-25,PP.DCE,5407.926389681247,5417.353050360508,5301.256281994874,5310.1868026383845,63330.0,3414120300.0,10703,5,10704,142,61109.0,PP1409
2014-04-28,PP.DCE,5313.659782888638,5322.590303532149,5288.852781101109,5311.675222745636,33722.0,1803452560.0,10705,15,10706,15,58525.0,PP1409
2014-04-29,PP.DCE,5308.698382531133,5343.428185033673,5286.8682209581075,5337.4745046046655,45105.0,2418755625.0,10758,1,10759,29,59016.0,PP1409
