time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2014-03-03,PP1405,10696,10790,10602,10632,22363.0,1191053380.0,10632,50,10635,6,9164.0,10652,10657.0,1.0
2014-03-04,PP1409,10310,10330,10256,10306,19969.0,1027604740.0,10305,3,10308,1,12517.0,10292,10298.0,1.032433482229559
2014-03-05,PP1409,10359,10360,10262,10299,8828.0,454774420.0,10298,2,10299,1,11617.0,10303,10306.0,1.032433482229559
2014-03-06,PP1409,10270,10290,10071,10166,35537.0,1804213490.0,10165,110,10166,54,16144.0,10154,10299.0,1.032433482229559
2014-03-07,PP1409,10200,10200,10129,10175,22665.0,1151835300.0,10172,5,10176,49,18923.0,10164,10166.0,1.032433482229559
2014-03-10,PP1409,10025,10150,10000,10077,39680.0,1997292800.0,10077,2,10080,20,23268.0,10067,10175.0,1.032433482229559
2014-03-11,PP1409,10096,10350,10050,10180,34706.0,1764279510.0,10178,6,10190,11,19642.0,10167,10077.0,1.032433482229559
2014-03-12,PP1409,10090,10193,10061,10191,23107.0,1171293830.0,10186,1,10191,7,24658.0,10138,10180.0,1.032433482229559
2014-03-13,PP1409,10200,10236,10165,10209,12901.0,657821990.0,10208,1,10209,3,24972.0,10198,10191.0,1.032433482229559
2014-03-14,PP1409,10200,10210,10120,10171,22764.0,1156752660.0,10171,3,10175,39,26012.0,10163,10209.0,1.032433482229559
2014-03-17,PP1409,10165,10290,10140,10171,13060.0,664884600.0,10171,3,10174,2,26322.0,10182,10171.0,1.032433482229559
2014-03-18,PP1409,10125,10290,10125,10284,28443.0,1455854955.0,10283,10,10284,10,25906.0,10237,10171.0,1.032433482229559
2014-03-19,PP1409,10300,10348,10214,10214,18105.0,930415950.0,10216,2,10218,58,24335.0,10278,10284.0,1.032433482229559
2014-03-20,PP1409,10220,10260,10195,10240,12559.0,642392850.0,10233,16,10240,50,21901.0,10230,10214.0,1.032433482229559
2014-03-21,PP1409,10206,10295,10202,10285,11884.0,608876740.0,10285,4,10287,11,22044.0,10247,10240.0,1.032433482229559
2014-03-24,PP1409,10280,10324,10241,10310,12417.0,638854650.0,10308,16,10311,1,23742.0,10290,10285.0,1.032433482229559
2014-03-25,PP1409,10315,10436,10290,10406,26464.0,1372290720.0,10406,28,10410,23,22585.0,10371,10310.0,1.032433482229559
2014-03-26,PP1409,10389,10560,10385,10527,59410.0,3118727950.0,10526,5,10527,31,26345.0,10499,10406.0,1.032433482229559
2014-03-27,PP1409,10530,10530,10474,10492,23114.0,1213485000.0,10491,5,10492,189,25841.0,10500,10527.0,1.032433482229559
2014-03-28,PP1409,10500,10625,10492,10620,37613.0,1985214140.0,10619,4,10620,57,29211.0,10556,10492.0,1.032433482229559
2014-03-31,PP1409,10618,10650,10563,10582,20699.0,1097253990.0,10582,4,10588,1,29017.0,10602,10620.0,1.032433482229559
