time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2009-03-30,RB.SHF,3075.483013304085,3101.4730105996123,3056.4236819540315,3070.2850138449794,72584.0,2575280320.0,0,0,0,0,24190.0,RB0909
2009-03-31,RB.SHF,3065.0870143858738,3089.344345195033,3059.0226816835843,3074.6166800609008,35296.0,1252655040.0,0,0,0,0,22357.0,RB0909
2009-04-01,RB.SHF,3084.1463457359273,3085.0126789791116,3069.418680601795,3072.884013574532,14050.0,498634500.0,0,0,0,0,21038.0,RB0909
2009-04-02,RB.SHF,3071.1513470881637,3073.7503468177165,2994.0476884447653,3008.7753535788975,117723.0,4097937630.0,0,0,0,0,34444.0,RB0909
2009-04-03,RB.SHF,3015.7060195243716,3015.7060195243716,2976.7210235810803,2987.1170224992916,76188.0,2633057280.0,0,0,0,0,37519.0,RB0909
2009-04-07,RB.SHF,2954.19635925829,3047.760349522189,2954.19635925829,3024.3693519562144,121289.0,4223282980.0,0,0,0,0,50241.0,RB0909
2009-04-08,RB.SHF,3014.8396862811874,3024.3693519562144,2994.0476884447653,3000.112021147055,73644.0,2554710360.0,0,0,0,0,45955.0,RB0909
2009-04-09,RB.SHF,3011.3743533084503,3020.037685740293,2997.5130214175024,3004.4436873629766,43844.0,1522263680.0,0,0,0,0,47416.0,RB0909
2009-04-10,RB.SHF,3017.43868601074,3031.300017901688,3006.176353849345,3018.3050192539245,60489.0,2108041650.0,0,0,0,0,50082.0,RB0909
2009-04-13,RB.SHF,3019.1713524971087,3026.1020184425824,3000.9783543902395,3005.310020606161,54910.0,1911417100.0,0,0,0,0,54715.0,RB0909
2009-04-14,RB.SHF,3010.508020065266,3118.7996754632973,3005.310020606161,3084.1463457359273,270323.0,9618092340.0,0,0,0,0,75320.0,RB0909
2009-04-15,RB.SHF,3092.80967816777,3110.136343031455,3075.483013304085,3085.879012222296,127803.0,4557454980.0,0,0,0,0,75748.0,RB0909
2009-04-16,RB.SHF,3103.205677085981,3143.0570062724564,3092.80967816777,3115.33434249056,125232.0,4504595040.0,0,0,0,0,84664.0,RB0909
2009-04-17,RB.SHF,3113.6016760041916,3160.3836711361414,3102.3393438427966,3136.1263403269822,169625.0,6143817500.0,0,0,0,0,109946.0,RB0909
2009-04-20,RB.SHF,3136.1263403269822,3160.3836711361414,3125.7303414087714,3138.725340056535,129598.0,4706999360.0,0,0,0,0,118914.0,RB0909
2009-04-21,RB.SHF,3101.4730105996123,3110.136343031455,3020.037685740293,3052.9583489812944,166224.0,5882667360.0,0,0,0,0,119777.0,RB0909
2009-04-22,RB.SHF,3075.483013304085,3089.344345195033,3039.0970170903465,3054.691015467663,84262.0,2979504320.0,0,0,0,0,116474.0,RB0909
2009-04-23,RB.SHF,3057.290015197216,3059.0226816835843,3021.7703522266615,3043.4286833062674,65193.0,2286318510.0,0,0,0,0,116493.0,RB0909
2009-04-24,RB.SHF,3043.4286833062674,3051.225682494926,3029.5673514153195,3033.0326843880566,50722.0,1778313320.0,0,0,0,0,123024.0,RB0909
2009-04-27,RB.SHF,3040.829683576715,3049.4930160085573,3025.2356851993986,3031.300017901688,51236.0,1795821800.0,0,0,0,0,127254.0,RB0909
2009-04-28,RB.SHF,3028.7010181721353,3045.161349792636,3028.7010181721353,3038.2306838471623,48274.0,1692969180.0,0,0,0,0,131267.0,RB0909
2009-04-29,RB.SHF,3038.2306838471623,3049.4930160085573,3034.765350874425,3049.4930160085573,51347.0,1802793170.0,0,0,0,0,137527.0,RB0909
2009-04-30,RB.SHF,3063.3543478995052,3097.141344383691,3052.09201573811,3078.0820130336374,123456.0,4374046080.0,0,0,0,0,148800.0,RB0909
2009-05-04,RB.SHF,3095.4086778973224,3170.779670054352,3093.6760114109543,3149.98767221793,287166.0,10406895840.0,0,0,0,0,163051.0,RB0909
2009-05-05,RB.SHF,3149.98767221793,3156.9183381634043,3092.80967816777,3098.8740108700595,87977.0,3156614760.0,0,0,0,0,154972.0,RB0909
2009-05-06,RB.SHF,3099.7403441132437,3117.0670089769287,3095.4086778973224,3113.6016760041916,51894.0,1863513540.0,0,0,0,0,156731.0,RB0909
2009-05-07,RB.SHF,3143.0570062724564,3144.789672758825,3111.0026762746393,3112.7353427610074,75210.0,2713576800.0,0,0,0,0,159545.0,RB0909
2009-05-08,RB.SHF,3117.933342220113,3132.661007354245,3109.2700097882707,3130.9283408678766,51810.0,1866196200.0,0,0,0,0,161577.0,RB0909
2009-05-11,RB.SHF,3131.794674111061,3186.3736684316686,3123.997674922403,3152.586671947483,167541.0,6113571090.0,0,0,0,0,169577.0,RB0909
2009-05-12,RB.SHF,3157.7846714065886,3170.779670054352,3144.789672758825,3157.7846714065886,96817.0,3530915990.0,0,0,0,0,169723.0,RB0909
2009-05-13,RB.SHF,3166.448003838431,3168.1806703247994,3148.2550057315616,3152.586671947483,59318.0,2162734280.0,0,0,0,0,170250.0,RB0909
2009-05-14,RB.SHF,3132.661007354245,3136.1263403269822,3110.136343031455,3113.6016760041916,69786.0,2510900280.0,0,0,0,0,168150.0,RB0909
2009-05-15,RB.SHF,3118.7996754632973,3134.3936738406137,3115.33434249056,3122.2650084360343,66146.0,2385224760.0,0,0,0,0,169039.0,RB0909
2009-05-18,RB.SHF,3114.468009247376,3129.1956743815085,3102.3393438427966,3125.7303414087714,52373.0,1883333080.0,0,0,0,0,168375.0,RB0909
2009-05-19,RB.SHF,3144.789672758825,3144.789672758825,3128.3293411383243,3134.3936738406137,47810.0,1729287700.0,0,0,0,0,167745.0,RB0909
2009-05-20,RB.SHF,3132.661007354245,3156.9183381634043,3129.1956743815085,3134.3936738406137,59387.0,2152184880.0,0,0,0,0,168740.0,RB0909
2009-05-21,RB.SHF,3136.1263403269822,3155.1856716770358,3134.3936738406137,3139.5916732997193,58814.0,2134360060.0,0,0,0,0,170924.0,RB0909
2009-05-22,RB.SHF,3135.260007083798,3142.190673029272,3125.7303414087714,3134.3936738406137,30111.0,1089114870.0,0,0,0,0,170021.0,RB0909
2009-05-25,RB.SHF,3143.9233395156407,3143.9233395156407,3118.7996754632973,3126.5966746519557,47905.0,1727933350.0,0,0,0,0,176578.0,RB0909
2009-05-26,RB.SHF,3126.5966746519557,3136.1263403269822,3115.33434249056,3119.6660087064815,57097.0,2058917820.0,0,0,0,0,171483.0,RB0909
2009-05-27,RB.SHF,3143.0570062724564,3143.0570062724564,3123.997674922403,3127.46300789514,23259.0,839649900.0,0,0,0,0,168363.0,RB0909
2009-06-01,RB.SHF,3144.789672758825,3168.1806703247994,3137.859006813351,3159.517337892957,96504.0,3515640720.0,0,0,0,0,172995.0,RB0909
2009-06-02,RB.SHF,3170.779670054352,3189.8390014044057,3163.8490041088785,3166.448003838431,99564.0,3647029320.0,0,0,0,0,171860.0,RB0909
2009-06-03,RB.SHF,3169.913336811168,3181.1756689725635,3167.314337081615,3179.443002486195,52733.0,1932664450.0,0,0,0,0,172337.0,RB0909
2009-06-04,RB.SHF,3162.11633762251,3215.8289986999334,3157.7846714065886,3205.432999781722,185477.0,6849665610.0,0,0,0,0,182156.0,RB0909
2009-06-05,RB.SHF,3223.6259978885914,3273.0069927500936,3222.759664645407,3253.94766140004,133893.0,5026343220.0,0,0,0,0,173062.0,RB0909
2009-06-08,RB.SHF,3253.0813281568558,3286.0019913978576,3246.150662211382,3281.6703251819363,146889.0,5537715300.0,0,0,0,0,174721.0,RB0909
2009-06-09,RB.SHF,3289.4673243705943,3298.130656802437,3264.3436603182513,3273.873325993278,107338.0,4059523160.0,0,0,0,0,172991.0,RB0909
2009-06-10,RB.SHF,3285.1356581546734,3303.3286562615426,3269.5416597773565,3298.9969900456213,119105.0,4522416850.0,0,0,0,0,175288.0,RB0909
2009-06-11,RB.SHF,3300.72965653199,3413.352978145942,3298.130656802437,3359.6403170685185,317076.0,12267670440.0,0,0,0,0,189683.0,RB0909
2009-06-12,RB.SHF,3368.303649500361,3402.956979227731,3322.3879876115957,3347.511651663939,294421.0,11461809530.0,0,0,0,0,178049.0,RB0909
2009-06-15,RB.SHF,3339.7146524752807,3358.773983825334,3311.991988693385,3334.5166530161755,183011.0,7045923500.0,0,0,0,0,173911.0,RB0909
2009-06-16,RB.SHF,3317.1899881524905,3363.1056500412556,3316.3236549093062,3348.3779849071234,179123.0,6921312720.0,0,0,0,0,171703.0,RB0909
2009-06-17,RB.SHF,3344.9126519343863,3359.6403170685185,3327.5859870707013,3337.1156527457283,106261.0,4098486770.0,0,0,0,0,168457.0,RB0909
2009-06-18,RB.SHF,3337.1156527457283,3348.3779849071234,3318.056321395675,3328.4523203138856,94419.0,3630410550.0,0,0,0,0,162270.0,RB0909
2009-06-19,RB.SHF,3337.1156527457283,3396.026313282257,3331.9176532866227,3384.763981120862,278391.0,10832193810.0,0,0,0,0,173622.0,RB0909
