time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2009-03-30,RB0909,3550,3580,3528,3544,72584.0,2575280320.0,0,0,0,0,24190.0,3548,3561.0,1.0
2009-03-31,RB0909,3538,3566,3531,3549,35296.0,1252655040.0,0,0,0,0,22357.0,3549,3544.0,1.0
2009-04-01,RB0909,3560,3561,3543,3547,14050.0,498634500.0,0,0,0,0,21038.0,3549,3549.0,1.0
2009-04-02,RB0909,3545,3548,3456,3473,117723.0,4097937630.0,0,0,0,0,34444.0,3481,3547.0,1.0
2009-04-03,RB0909,3481,3481,3436,3448,76188.0,2633057280.0,0,0,0,0,37519.0,3456,3473.0,1.0
2009-04-07,RB0909,3410,3518,3410,3491,121289.0,4223282980.0,0,0,0,0,50241.0,3482,3448.0,1.0
2009-04-08,RB0909,3480,3491,3456,3463,73644.0,2554710360.0,0,0,0,0,45955.0,3469,3491.0,1.0
2009-04-09,RB0909,3476,3486,3460,3468,43844.0,1522263680.0,0,0,0,0,47416.0,3472,3463.0,1.0
2009-04-10,RB0909,3483,3499,3470,3484,60489.0,2108041650.0,0,0,0,0,50082.0,3485,3468.0,1.0
2009-04-13,RB0909,3485,3493,3464,3469,54910.0,1911417100.0,0,0,0,0,54715.0,3481,3484.0,1.0
2009-04-14,RB0909,3475,3600,3469,3560,270323.0,9618092340.0,0,0,0,0,75320.0,3558,3469.0,1.0
2009-04-15,RB0909,3570,3590,3550,3562,127803.0,4557454980.0,0,0,0,0,75748.0,3566,3560.0,1.0
2009-04-16,RB0909,3582,3628,3570,3596,125232.0,4504595040.0,0,0,0,0,84664.0,3597,3562.0,1.0
2009-04-17,RB0909,3594,3648,3581,3620,169625.0,6143817500.0,0,0,0,0,109946.0,3622,3596.0,1.0
2009-04-20,RB0909,3620,3648,3608,3623,129598.0,4706999360.0,0,0,0,0,118914.0,3632,3620.0,1.0
2009-04-21,RB0909,3580,3590,3486,3524,166224.0,5882667360.0,0,0,0,0,119777.0,3539,3623.0,1.0
2009-04-22,RB0909,3550,3566,3508,3526,84262.0,2979504320.0,0,0,0,0,116474.0,3536,3524.0,1.0
2009-04-23,RB0909,3529,3531,3488,3513,65193.0,2286318510.0,0,0,0,0,116493.0,3507,3526.0,1.0
2009-04-24,RB0909,3513,3522,3497,3501,50722.0,1778313320.0,0,0,0,0,123024.0,3506,3513.0,1.0
