time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2012-12-31,RM1305,2399,2399,2336,2340,118597.0,2804819050.0,2339,110,2340,99,19645.0,2365,2398.0,1.0
2013-01-04,RM1305,2322,2380,2316,2370,96941.0,2289746420.0,2369,5,2370,137,19246.0,2362,2340.0,1.0
2013-01-07,RM1305,2365,2457,2360,2455,203030.0,4949871400.0,2455,25,2456,666,32269.0,2438,2370.0,1.0
2013-01-08,RM1305,2470,2500,2438,2480,449791.0,11145820980.0,2479,110,2480,505,38813.0,2478,2455.0,1.0
2013-01-09,RM1305,2488,2514,2472,2478,348402.0,8703081960.0,2478,820,2479,350,47050.0,2498,2480.0,1.0
2013-01-10,RM1305,2473,2490,2459,2462,295543.0,7311733820.0,2462,125,2464,350,48330.0,2474,2478.0,1.0
2013-01-11,RM1305,2465,2525,2463,2509,810735.0,20333233800.0,2508,1516,2509,172,82807.0,2508,2462.0,1.0
2013-01-14,RM1305,2527,2548,2505,2541,649880.0,16428966400.0,2540,208,2541,4,75426.0,2528,2509.0,1.0
2013-01-15,RM1305,2549,2618,2542,2562,837167.0,21632395280.0,2561,57,2562,55,89096.0,2584,2541.0,1.0
2013-01-16,RM1305,2565,2595,2542,2586,535434.0,13771362480.0,2585,122,2586,114,96140.0,2572,2562.0,1.0
2013-01-17,RM1305,2602,2612,2565,2571,407703.0,10535045520.0,2571,214,2572,237,81341.0,2584,2586.0,1.0
2013-01-18,RM1305,2580,2612,2561,2573,473696.0,12245041600.0,2573,2,2575,78,73940.0,2585,2571.0,1.0
2013-01-21,RM1305,2575,2591,2562,2573,284420.0,7326659200.0,2572,6,2573,114,68709.0,2576,2573.0,1.0
2013-01-22,RM1305,2574,2595,2574,2591,271763.0,7027791180.0,2590,53,2591,255,73367.0,2586,2573.0,1.0
2013-01-23,RM1305,2591,2604,2573,2576,205813.0,5330556700.0,2575,49,2576,68,66345.0,2590,2591.0,1.0
2013-01-24,RM1305,2569,2569,2486,2493,385763.0,9713512340.0,2493,22,2494,32,76022.0,2518,2576.0,1.0
2013-01-25,RM1305,2500,2518,2493,2504,297785.0,7468447800.0,2504,634,2505,478,67805.0,2508,2493.0,1.0
2013-01-28,RM1305,2513,2524,2484,2521,277468.0,6956122760.0,2520,7,2521,175,65179.0,2507,2504.0,1.0
2013-01-29,RM1305,2521,2528,2506,2515,187622.0,4720569520.0,2515,547,2516,302,62766.0,2516,2521.0,1.0
2013-01-30,RM1305,2518,2538,2516,2531,150737.0,3812138730.0,2531,126,2532,136,59562.0,2529,2515.0,1.0
2013-01-31,RM1305,2542,2550,2533,2537,87179.0,2213474810.0,2537,196,2538,355,56105.0,2539,2531.0,1.0
2013-02-01,RM1305,2530,2532,2477,2521,319802.0,7995050000.0,2520,71,2521,78,59018.0,2500,2537.0,1.0
2013-02-04,RM1305,2521,2579,2520,2561,248182.0,6355941020.0,2561,210,2562,229,53798.0,2561,2521.0,1.0
2013-02-05,RM1305,2558,2614,2549,2586,493112.0,12776531920.0,2586,15,2587,476,59120.0,2591,2561.0,1.0
2013-02-06,RM1305,2600,2609,2576,2579,154408.0,4000711280.0,2579,58,2580,18,53869.0,2591,2586.0,1.0
2013-02-07,RM1305,2576,2586,2563,2567,86485.0,2225259050.0,2565,177,2566,2,43013.0,2573,2579.0,1.0
2013-02-08,RM1305,2572,2602,2572,2586,68615.0,1775756200.0,2586,1,2587,41,36888.0,2588,2567.0,1.0
2013-02-18,RM1309,2442,2478,2428,2473,89314.0,2195338120.0,2473,45,2474,117,51289.0,2458,2477.0,1.0440048445700445
2013-02-19,RM1309,2508,2557,2488,2541,486269.0,12331781840.0,2541,359,2542,97,121953.0,2536,2473.0,1.0440048445700445
2013-02-20,RM1309,2556,2562,2543,2544,325842.0,8315487840.0,2544,971,2545,1,130761.0,2552,2541.0,1.0440048445700445
2013-02-21,RM1309,2535,2584,2517,2582,771507.0,19688858640.0,2582,175,2583,348,191218.0,2552,2544.0,1.0440048445700445
2013-02-22,RM1309,2580,2639,2565,2572,1245577.0,32385002000.0,2572,219,2573,565,200624.0,2600,2582.0,1.0440048445700445
2013-02-25,RM1309,2550,2560,2496,2503,841630.0,21242741200.0,2503,67,2504,2,129913.0,2524,2572.0,1.0440048445700445
2013-02-26,RM1309,2496,2538,2482,2498,961624.0,24136762400.0,2498,79,2499,245,120414.0,2510,2503.0,1.0440048445700445
