time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,RU0604,22855,22855,22810,22855,2967.0,338979750.0,0,0,0,0,12880.0,22850,22280.0,1.0
2006-02-07,RU0604,23000,24010,22200,23915,43027.0,5037386025.0,0,0,0,0,13900.0,23415,22855.0,1.0
2006-02-08,RU0604,23000,23550,22710,22710,28717.0,3321838975.0,0,0,0,0,12870.0,23135,23915.0,1.0
2006-02-09,RU0604,23400,24110,23335,23775,46484.0,5528109700.0,0,0,0,0,11342.0,23785,22710.0,1.0
2006-02-10,RU0604,23925,24195,23070,23070,22162.0,2620102450.0,0,0,0,0,9850.0,23645,23775.0,1.0
2006-02-13,RU0605,23015,23015,23015,23015,340.0,39125500.0,0,0,0,0,11639.0,23015,23280.0,0.990979381443299
2006-02-14,RU0605,21700,22300,21700,21715,63468.0,6968786400.0,0,0,0,0,12932.0,21960,23015.0,0.990979381443299
2006-02-15,RU0605,22100,22610,21995,22380,84171.0,9397692150.0,0,0,0,0,14577.0,22330,21715.0,0.990979381443299
2006-02-16,RU0605,21900,21930,21660,21660,10656.0,1155909600.0,0,0,0,0,13532.0,21695,22380.0,0.990979381443299
2006-02-17,RU0605,22000,22130,20600,20995,91188.0,9709242300.0,0,0,0,0,14326.0,21295,21660.0,0.990979381443299
2006-02-20,RU0605,21305,21620,21075,21525,75093.0,8025564375.0,0,0,0,0,14952.0,21375,20995.0,0.990979381443299
2006-02-21,RU0605,21760,21880,21340,21720,111910.0,12077886750.0,0,0,0,0,16748.0,21585,21525.0,0.990979381443299
2006-02-22,RU0605,21690,21870,21540,21560,74941.0,8121730875.0,0,0,0,0,17739.0,21675,21720.0,0.990979381443299
2006-02-23,RU0605,21300,21395,21020,21020,58757.0,6239993400.0,0,0,0,0,18652.0,21240,21560.0,0.990979381443299
2006-02-24,RU0605,20795,21700,20550,21500,90585.0,9583893000.0,0,0,0,0,19181.0,21160,21020.0,0.990979381443299
2006-02-27,RU0605,21420,21520,20960,21140,95163.0,10089657075.0,0,0,0,0,20582.0,21205,21500.0,0.990979381443299
2006-02-28,RU0605,20990,21485,20950,21325,96054.0,10241757750.0,0,0,0,0,20395.0,21325,21140.0,0.990979381443299
2006-03-01,RU0605,21450,21570,21170,21180,74654.0,7993577050.0,0,0,0,0,19723.0,21415,21325.0,0.990979381443299
2006-03-02,RU0605,21410,21750,21325,21690,71321.0,7683054725.0,0,0,0,0,18628.0,21545,21180.0,0.990979381443299
2006-03-03,RU0605,21915,22170,21760,21900,76153.0,8363503225.0,0,0,0,0,16437.0,21965,21690.0,0.990979381443299
2006-03-06,RU0605,21960,21995,21690,21770,52131.0,5688795375.0,0,0,0,0,16849.0,21825,21900.0,0.990979381443299
2006-03-07,RU0605,21615,21865,21610,21800,25163.0,2736476250.0,0,0,0,0,15788.0,21750,21770.0,0.990979381443299
2006-03-08,RU0605,21650,21650,21095,21095,14387.0,1530057450.0,0,0,0,0,14015.0,21270,21800.0,0.990979381443299
2006-03-09,RU0605,20770,21385,20610,21100,18514.0,1946284250.0,0,0,0,0,13741.0,21025,21095.0,0.990979381443299
2006-03-10,RU0605,21090,21230,20390,20415,16468.0,1700732700.0,0,0,0,0,12692.0,20655,21100.0,0.990979381443299
2006-03-13,RU0606,20700,20745,20170,20470,121885.0,12471882625.0,0,0,0,0,15094.0,20465,20470.0,0.9883167597540279
2006-03-14,RU0606,20450,20650,20350,20515,102276.0,10498631400.0,0,0,0,0,15760.0,20530,20470.0,0.9883167597540279
2006-03-15,RU0606,20650,20745,20455,20475,79304.0,8170294600.0,0,0,0,0,16921.0,20605,20515.0,0.9883167597540279
2006-03-16,RU0606,20500,20530,19985,20090,83083.0,8370612250.0,0,0,0,0,18142.0,20150,20475.0,0.9883167597540279
2006-03-17,RU0606,20130,20225,19880,20165,112560.0,11317908000.0,0,0,0,0,18305.0,20110,20090.0,0.9883167597540279
2006-03-20,RU0606,20000,20320,19850,20090,109589.0,10994516425.0,0,0,0,0,21861.0,20065,20165.0,0.9883167597540279
2006-03-21,RU0606,20015,20130,19935,20025,47433.0,4755158250.0,0,0,0,0,20976.0,20050,20090.0,0.9883167597540279
2006-03-22,RU0606,20020,20240,20020,20200,64851.0,6535359525.0,0,0,0,0,20930.0,20155,20025.0,0.9883167597540279
2006-03-23,RU0606,20105,20270,19950,20075,66112.0,6665742400.0,0,0,0,0,18899.0,20165,20200.0,0.9883167597540279
2006-03-24,RU0606,20300,20415,20200,20285,64557.0,6554149425.0,0,0,0,0,16327.0,20305,20075.0,0.9883167597540279
2006-03-27,RU0606,20435,20545,20405,20495,38033.0,3894579200.0,0,0,0,0,14753.0,20480,20285.0,0.9883167597540279
2006-03-28,RU0606,20600,20665,20390,20435,32105.0,3292367750.0,0,0,0,0,12566.0,20510,20495.0,0.9883167597540279
2006-03-29,RU0606,20480,20500,20280,20310,11759.0,1198830050.0,0,0,0,0,11162.0,20390,20435.0,0.9883167597540279
2006-03-30,RU0607,20460,20475,20235,20270,39997.0,4071694600.0,0,0,0,0,12235.0,20360,20395.0,0.9841977636971957
2006-03-31,RU0607,20320,20400,20225,20265,38631.0,3922012275.0,0,0,0,0,13555.0,20305,20270.0,0.9841977636971957
2006-04-03,RU0607,20270,20380,20080,20350,54833.0,5555953725.0,0,0,0,0,14365.0,20265,20265.0,0.9841977636971957
2006-04-04,RU0607,20285,20840,20270,20690,80458.0,8299242700.0,0,0,0,0,17138.0,20630,20350.0,0.9841977636971957
2006-04-05,RU0607,20650,20840,20015,20075,95707.0,9762114000.0,0,0,0,0,15321.0,20400,20690.0,0.9841977636971957
2006-04-06,RU0607,20335,20415,20185,20380,67086.0,6810906150.0,0,0,0,0,16629.0,20305,20075.0,0.9841977636971957
2006-04-07,RU0607,20580,20580,20290,20380,51414.0,5249369400.0,0,0,0,0,16049.0,20420,20380.0,0.9841977636971957
2006-04-10,RU0607,20260,20470,20205,20450,38700.0,3939660000.0,0,0,0,0,15928.0,20360,20380.0,0.9841977636971957
2006-04-11,RU0607,20550,20970,20550,20970,31548.0,3286512900.0,0,0,0,0,17206.0,20835,20450.0,0.9841977636971957
2006-04-12,RU0607,20900,21800,20810,21260,128460.0,13674567000.0,0,0,0,0,19271.0,21290,20970.0,0.9841977636971957
2006-04-13,RU0607,21280,21490,21060,21245,100637.0,10710292725.0,0,0,0,0,19608.0,21285,21260.0,0.9841977636971957
2006-04-14,RU0607,21480,21795,21420,21710,111034.0,11994447850.0,0,0,0,0,20048.0,21605,21245.0,0.9841977636971957
2006-04-17,RU0607,22000,22250,21900,22250,47409.0,5245805850.0,0,0,0,0,18602.0,22130,21710.0,0.9841977636971957
2006-04-18,RU0607,22200,22580,21550,21670,110367.0,12162443400.0,0,0,0,0,16554.0,22040,22250.0,0.9841977636971957
2006-04-19,RU0607,21795,22170,21700,21910,92866.0,10196686800.0,0,0,0,0,18370.0,21960,21670.0,0.9841977636971957
2006-04-20,RU0607,22200,22320,22120,22190,69880.0,7761921000.0,0,0,0,0,18516.0,22215,21910.0,0.9841977636971957
2006-04-21,RU0607,21725,21770,21545,21545,38127.0,4120575525.0,0,0,0,0,17125.0,21615,22190.0,0.9841977636971957
2006-04-24,RU0607,21905,22305,21850,21980,64589.0,7124166700.0,0,0,0,0,16975.0,22060,21545.0,0.9841977636971957
2006-04-25,RU0607,21550,21570,21395,21450,17543.0,1879732450.0,0,0,0,0,16915.0,21430,21980.0,0.9841977636971957
2006-04-26,RU0607,21750,21870,21460,21595,41586.0,4494406950.0,0,0,0,0,17165.0,21615,21450.0,0.9841977636971957
2006-04-27,RU0607,21415,21530,21350,21470,26479.0,2839210775.0,0,0,0,0,14379.0,21445,21595.0,0.9841977636971957
