time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2019-12-09,SA.CZC,2218.4650983685547,2256.7634088902623,2207.117450806567,2229.812745930542,83739.0,2631079380.0,1571,44,1572,15,15784.0,SA2005
2019-12-10,SA.CZC,2229.812745930542,2317.757014535945,2226.975834040045,2317.757014535945,110836.0,3575569360.0,1634,10299,0,0,34088.0,SA2005
2019-12-11,SA.CZC,2339.0338537146717,2374.4952523458824,2322.0123823716904,2339.0338537146717,229577.0,7603590240.0,1648,11,1649,178,33010.0,SA2005
2019-12-12,SA.CZC,2329.1046620979323,2346.1261334409137,2304.990911028709,2312.0831907549514,122811.0,4033113240.0,1629,169,1631,2389,35024.0,SA2005
2019-12-13,SA.CZC,2316.3385585906967,2324.8492942621874,2302.1539991382124,2312.0831907549514,66160.0,2159462400.0,1628,50,1629,26,34693.0,SA2005
2019-12-16,SA.CZC,2317.757014535945,2353.218413167156,2306.4093669739577,2314.920102645448,138825.0,4559013000.0,1632,80,1634,3,38749.0,SA2005
2019-12-17,SA.CZC,2310.6647348097026,2320.593926426442,2238.3234816020326,2302.1539991382124,111870.0,3629062800.0,1623,75,1624,114,35298.0,SA2005
2019-12-18,SA.CZC,2302.1539991382124,2340.45230965992,2300.7355431929636,2309.2462788644543,97596.0,3193341120.0,1628,1,1629,67,35900.0,SA2005
2019-12-19,SA.CZC,2309.2462788644543,2327.686206152684,2302.1539991382124,2306.4093669739577,65476.0,2138446160.0,1626,261,1627,259,37415.0,SA2005
2019-12-20,SA.CZC,2306.4093669739577,2312.0831907549514,2285.132527795231,2285.132527795231,67218.0,2177863200.0,1611,204,1612,125,42062.0,SA2005
2019-12-23,SA.CZC,2283.7140718499827,2292.2248075214734,2263.8556886165043,2270.9479683427467,56529.0,1815711480.0,1601,31,1602,38,41684.0,SA2005
2019-12-24,SA.CZC,2273.7848802332437,2289.3878956309763,2269.5295123974984,2275.203336178492,31042.0,997689880.0,1604,16,1605,9,41534.0,SA2005
2019-12-25,SA.CZC,2272.366424287995,2283.7140718499827,2268.1110564522496,2273.7848802332437,28939.0,928363120.0,1602,112,1603,178,44016.0,SA2005
2019-12-26,SA.CZC,2272.366424287995,2293.6432634667217,2272.366424287995,2282.295615904734,27865.0,897810300.0,1608,59,1609,114,42882.0,SA2005
2019-12-27,SA.CZC,2282.295615904734,2310.6647348097026,2279.4587040142374,2280.8771599594857,51132.0,1655654160.0,1609,10,1610,50,43038.0,SA2005
2019-12-30,SA.CZC,2282.295615904734,2320.593926426442,2280.8771599594857,2316.3385585906967,39558.0,1284052680.0,1633,27,1634,109,40143.0,SA2005
2019-12-31,SA.CZC,2316.3385585906967,2330.523118043181,2310.6647348097026,2316.3385585906967,39573.0,1294037100.0,1632,160,1633,2,36698.0,SA2005
2020-01-02,SA.CZC,2316.3385585906967,2327.686206152684,2295.06171941197,2304.990911028709,26179.0,853958980.0,1624,85,1625,79,34862.0,SA2005
2020-01-03,SA.CZC,2306.4093669739577,2317.757014535945,2297.898631302467,2310.6647348097026,23178.0,754212120.0,1629,248,1630,154,33974.0,SA2005
2020-01-06,SA.CZC,2310.6647348097026,2334.7784858789264,2309.2462788644543,2323.4308383169387,40966.0,1341226840.0,1638,11,1639,50,33327.0,SA2005
2020-01-07,SA.CZC,2320.593926426442,2326.2677502074357,2303.5724550834607,2307.827822919206,19256.0,628130720.0,1627,219,1628,50,32570.0,SA2005
2020-01-08,SA.CZC,2306.4093669739577,2323.4308383169387,2303.5724550834607,2312.0831907549514,19972.0,651486640.0,1630,28,1631,176,32306.0,SA2005
2020-01-09,SA.CZC,2310.6647348097026,2319.1754704811933,2299.3170872477153,2314.920102645448,27286.0,888977880.0,1632,4,1633,270,29476.0,SA2005
2020-01-10,SA.CZC,2316.3385585906967,2375.913708291131,2316.3385585906967,2351.7999572219073,173405.0,5760514100.0,1657,102,1658,25,39616.0,SA2005
2020-01-13,SA.CZC,2353.218413167156,2356.0553250576527,2334.7784858789264,2344.7076774956654,30481.0,1008311480.0,1652,277,1653,7,37522.0,SA2005
2020-01-14,SA.CZC,2350.381501276659,2354.6368691124044,2337.615397769423,2344.7076774956654,23832.0,787885920.0,1652,160,1653,128,36145.0,SA2005
2020-01-15,SA.CZC,2346.1261334409137,2398.6090034151057,2343.289221550417,2361.729148838647,129730.0,4345955000.0,1664,2,1665,43,39110.0,SA2005
2020-01-16,SA.CZC,2364.5660607291434,2381.5875320721248,2361.729148838647,2365.9845166743917,34266.0,1145169720.0,1665,65,1668,26,36492.0,SA2005
2020-01-17,SA.CZC,2374.4952523458824,2388.6798117983667,2364.5660607291434,2378.7506201816277,40310.0,1352803600.0,1676,5,1677,29,37576.0,SA2005
2020-01-20,SA.CZC,2380.169076126876,2383.005988017373,2351.7999572219073,2364.5660607291434,31571.0,1052577140.0,1666,7,1667,19,33031.0,SA2005
2020-01-21,SA.CZC,2365.9845166743917,2374.4952523458824,2347.544589386162,2347.544589386162,17726.0,589566760.0,1655,320,1656,215,32381.0,SA2005
2020-01-22,SA.CZC,2350.381501276659,2350.381501276659,2313.5016467001997,2329.1046620979323,33941.0,1113943620.0,1642,2,1643,11,26024.0,SA2005
2020-01-23,SA.CZC,2331.9415739884294,2341.8707656051683,2256.7634088902623,2290.8063515762246,24597.0,798418620.0,1615,10,1616,10,22223.0,SA2005
2020-02-03,SA.CZC,2151.797668941878,2192.9328913540826,2140.4500213798906,2154.634580832375,30443.0,927293780.0,1518,24,1519,2,18012.0,SA2005
2020-02-04,SA.CZC,2167.400684339611,2226.975834040045,2167.400684339611,2214.2097305328093,19994.0,620213880.0,1560,33,1561,3,18788.0,SA2005
2020-02-05,SA.CZC,2209.954362697064,2225.5573780947966,2200.025171080325,2212.7912745875606,18788.0,585809840.0,1560,83,1561,20,21591.0,SA2005
2020-02-06,SA.CZC,2215.6281864780576,2236.9050256567843,2214.2097305328093,2232.649657821039,13995.0,438883200.0,1574,5,1575,17,19533.0,SA2005
2020-02-07,SA.CZC,2232.649657821039,2282.295615904734,2228.3942899852937,2232.649657821039,10599.0,334292460.0,1574,160,1575,25,19840.0,SA2005
2020-02-10,SA.CZC,2231.2312018757902,2236.9050256567843,2215.6281864780576,2224.1389221495483,6875.0,216012500.0,1567,124,1568,28,20067.0,SA2005
2020-02-11,SA.CZC,2225.5573780947966,2242.578849437778,2218.4650983685547,2239.741937547281,10022.0,315492560.0,1578,25,1579,28,19745.0,SA2005
2020-02-12,SA.CZC,2238.3234816020326,2252.508041054517,2229.812745930542,2238.3234816020326,9233.0,291947460.0,1579,10,1580,1,20825.0,SA2005
2020-02-13,SA.CZC,2239.741937547281,2251.0895851092687,2231.2312018757902,2242.578849437778,8057.0,254601200.0,1580,21,1581,32,21245.0,SA2005
2020-02-14,SA.CZC,2241.1603934925292,2245.4157613282746,2229.812745930542,2238.3234816020326,5604.0,176750160.0,1577,21,1578,10,20935.0,SA2005
2020-02-17,SA.CZC,2238.3234816020326,2252.508041054517,2236.9050256567843,2249.67112916402,7310.0,231288400.0,1585,33,1586,24,21231.0,SA2005
2020-02-18,SA.CZC,2255.344952945014,2262.437232671256,2242.578849437778,2245.4157613282746,5105.0,161828500.0,1582,54,1583,30,20735.0,SA2005
2020-02-19,SA.CZC,2245.4157613282746,2255.344952945014,2245.4157613282746,2251.0895851092687,4483.0,142200760.0,1586,124,1587,13,20201.0,SA2005
2020-02-20,SA.CZC,2252.508041054517,2255.344952945014,2219.883554313803,2249.67112916402,12495.0,395091900.0,1585,123,1586,2,21448.0,SA2005
2020-02-21,SA.CZC,2241.1603934925292,2252.508041054517,2226.975834040045,2239.741937547281,15823.0,499373880.0,1579,30,1580,9,22350.0,SA2005
2020-02-24,SA.CZC,2234.0681137662873,2255.344952945014,2222.7204662043,2251.0895851092687,16435.0,519017300.0,1586,153,1587,24,23054.0,SA2005
2020-02-25,SA.CZC,2248.2526732187716,2322.0123823716904,2246.8342172735233,2276.6217921237403,55706.0,1798189680.0,1605,3,1608,67,26495.0,SA2005
2020-02-26,SA.CZC,2275.203336178492,2279.4587040142374,2236.9050256567843,2242.578849437778,25077.0,798953220.0,1580,22,1581,260,23636.0,SA2005
2020-02-27,SA.CZC,2243.9973053830263,2248.2526732187716,2222.7204662043,2234.0681137662873,14567.0,458860500.0,1575,104,1576,21,23227.0,SA2005
2020-02-28,SA.CZC,2218.4650983685547,2232.649657821039,2187.259067573089,2219.883554313803,16218.0,507623400.0,1562,11,1565,56,23638.0,SA2005
2020-03-02,SA.CZC,2218.4650983685547,2258.1818648355106,2217.046642423306,2251.0895851092687,15366.0,486794880.0,1586,8,1587,58,24188.0,SA2005
2020-03-03,SA.CZC,2253.9264969997653,2269.5295123974984,2224.1389221495483,2228.3942899852937,17940.0,567621600.0,1571,6,1572,86,26232.0,SA2005
2020-03-04,SA.CZC,2238.3234816020326,2241.1603934925292,2225.5573780947966,2232.649657821039,6538.0,205816240.0,1573,28,1574,9,26030.0,SA2005
2020-03-05,SA.CZC,2232.649657821039,2234.0681137662873,2198.6067151350762,2207.117450806567,22192.0,692390400.0,1557,1,1558,9,30653.0,SA2005
2020-03-06,SA.CZC,2205.6989948613186,2209.954362697064,2190.0959794635855,2202.8620829708216,15316.0,475408640.0,1550,86,1553,12,30629.0,SA2005
2020-03-09,SA.CZC,2136.1946535441452,2181.5852437920953,2129.102373817903,2165.982228394362,28000.0,851760000.0,1526,3,1527,12,28458.0,SA2005
2020-03-10,SA.CZC,2170.2375962301076,2197.188259189828,2168.8191402848593,2183.0036997373436,12592.0,387329920.0,1538,240,1539,19,27834.0,SA2005
2020-03-11,SA.CZC,2181.5852437920953,2269.5295123974984,2175.911420011101,2187.259067573089,17821.0,551381740.0,1542,45,1543,75,29006.0,SA2005
2020-03-12,SA.CZC,2187.259067573089,2187.259067573089,2157.4714927228715,2158.8899486681203,11058.0,338153640.0,1521,57,1522,27,28249.0,SA2005
2020-03-13,SA.CZC,2153.2161248871266,2167.400684339611,2144.705389215636,2153.2161248871266,12744.0,386907840.0,1517,55,1518,2,27301.0,SA2005
2020-03-16,SA.CZC,2160.3084046133686,2165.982228394362,2134.776197598897,2134.776197598897,12752.0,386895680.0,1505,27,1506,10,26933.0,SA2005
2020-03-17,SA.CZC,2124.8470059821575,2133.357741653648,2106.407078693928,2107.8255346391766,18207.0,543296880.0,1486,41,1487,28,26308.0,SA2005
2020-03-18,SA.CZC,2103.570166803431,2124.8470059821575,2078.037959788959,2079.456415734208,20790.0,614136600.0,1466,25,1467,4,24613.0,SA2005
2020-03-19,SA.CZC,2085.1302395152015,2085.1302395152015,2009.9520744170343,2043.9950171029968,30540.0,880162800.0,1440,2,1441,8,18124.0,SA2005
2020-03-20,SA.CZC,2055.342664664984,2072.3641360079655,2039.7396492672515,2056.761120610233,10459.0,303311000.0,1448,176,1450,93,18107.0,SA2005
2020-03-23,SA.CZC,2025.5550898147671,2038.321193322003,2005.696706581289,2024.1366338695186,16260.0,464060400.0,1426,23,1427,17,17809.0,SA2005
2020-03-24,SA.CZC,2036.9027373767547,2036.9027373767547,1998.6044268550468,2019.8812660337735,10593.0,301900500.0,1422,2,1424,20,17939.0,SA2005
2020-03-25,SA.CZC,2028.392001705264,2036.9027373767547,2008.533618471786,2012.788986307531,8409.0,239488320.0,1418,25,1419,3,19100.0,SA2005
2020-03-26,SA.CZC,2007.1151625265375,2007.1151625265375,1971.6537638953266,1980.164499566817,17336.0,485061280.0,1396,93,1397,23,19349.0,SA2005
2020-03-27,SA.CZC,1981.5829555120656,1983.0014114573141,1947.540012826103,1961.7245722785874,17010.0,471177000.0,1383,16,1384,3,17179.0,SA2005
2020-03-30,SA.CZC,1954.6322925523452,1954.6322925523452,1895.057142851911,1899.3125106876562,16340.0,442814000.0,1339,55,1340,39,15509.0,SA2005
2020-03-31,SA.CZC,1902.1494225781532,1964.5614841690845,1897.894054742408,1936.1923652641156,17787.0,484517880.0,1364,35,1365,20,14244.0,SA2005
2020-04-01,SA.CZC,1926.2631736473766,1951.7953806618484,1926.2631736473766,1944.7031009356062,9293.0,254442340.0,1371,2,1372,13,13715.0,SA2005
2020-04-02,SA.CZC,1950.3769247166001,1978.7460436215688,1937.610821209364,1964.5614841690845,14396.0,397905440.0,1384,2,1385,32,13511.0,SA2005
2020-04-03,SA.CZC,1971.6537638953266,1971.6537638953266,1926.2631736473766,1944.7031009356062,10470.0,287506200.0,1371,18,1372,26,12316.0,SA2005
2020-04-07,SA.CZC,1964.5614841690845,1977.3275876763203,1936.1923652641156,1946.1215568808548,17635.0,486726000.0,1372,51,1373,3,14424.0,SA2005
2020-04-08,SA.CZC,1950.3769247166001,1964.5614841690845,1937.610821209364,1944.7031009356062,13159.0,362398860.0,1371,7,1372,2,14944.0,SA2005
2020-04-09,SA.CZC,1958.8876603880906,1967.3983960595813,1946.1215568808548,1963.143028223836,11607.0,320353200.0,1384,19,1385,185,15957.0,SA2005
2020-04-10,SA.CZC,1957.4692044428423,1960.306116333339,1920.589349866383,1929.1000855378734,15982.0,438865720.0,1360,19,1362,2,14764.0,SA2005
2020-04-13,SA.CZC,1929.1000855378734,1944.7031009356062,1890.8017750161657,1893.6386869066625,21407.0,579273420.0,1335,42,1336,8,14757.0,SA2005
2020-04-14,SA.CZC,1897.894054742408,1914.915526085389,1875.1987596184329,1910.6601582496437,17725.0,472903000.0,1346,14,1347,12,13995.0,SA2005
2020-04-15,SA.CZC,1903.5678785234015,1968.8168520048296,1899.3125106876562,1968.8168520048296,27746.0,764679760.0,1388,3170,0,0,17123.0,SA2005
2020-04-16,SA.CZC,2000.0228828002953,2026.9735457600157,1919.1708939211344,1922.0078058116312,94765.0,2647734100.0,1355,76,1356,18,16569.0,SA2005
2020-04-17,SA.CZC,1922.0078058116317,1961.6368327355826,1915.4029679909731,1944.4642544018704,36847.0,1083301800.0,1472,67,1473,18,17901.0,SA2009
2020-04-20,SA.CZC,1935.2174814529485,2005.228762351929,1935.2174814529485,1973.5255408127682,66396.0,1985240400.0,1493,6,1494,75,22265.0,SA2009
2020-04-21,SA.CZC,1965.5997354279777,1976.1674759410316,1936.5384490170804,1948.4271570942658,37925.0,1121063000.0,1475,45,1476,69,17617.0,SA2009
2020-04-22,SA.CZC,1941.822319273607,1947.1061895301339,1912.7610328627097,1937.859416581212,24142.0,706877760.0,1466,23,1467,2,16069.0,SA2009
2020-04-23,SA.CZC,1941.822319273607,1978.809411069295,1933.896513888817,1956.3529624790558,37329.0,1108671300.0,1481,2,1482,29,18384.0,SA2009
2020-04-24,SA.CZC,1952.390059786661,1964.2787678638463,1937.859416581212,1953.7110273507924,19080.0,564004800.0,1479,105,1480,42,16657.0,SA2009
2020-04-27,SA.CZC,1945.7852219660024,1969.562638120373,1945.7852219660024,1951.069092222529,22680.0,673142400.0,1475,70,1477,50,18012.0,SA2009
2020-04-28,SA.CZC,1945.7852219660024,1949.7481246583973,1915.4029679909731,1916.7239355551046,20400.0,595680000.0,1451,110,1452,16,16044.0,SA2009
2020-04-29,SA.CZC,1928.61264363229,1945.7852219660024,1899.5513572213924,1906.1561950420512,21238.0,616326760.0,1442,17,1443,16,16713.0,SA2009
2020-04-30,SA.CZC,1908.7981301703144,1922.0078058116317,1895.5884545289973,1911.4400652985778,21061.0,608241680.0,1447,107,1448,17,17090.0,SA2009
2020-05-06,SA.CZC,1920.6868382474997,1939.1803841453439,1907.4771626061827,1922.0078058116317,16923.0,492797760.0,1454,3,1455,21,18331.0,SA2009
2020-05-07,SA.CZC,1927.2916760681585,1931.2545787605536,1915.4029679909731,1922.0078058116317,21916.0,637755600.0,1454,169,1455,1,21216.0,SA2009
2020-05-08,SA.CZC,1928.61264363229,1928.61264363229,1896.9094220931293,1900.8723247855244,31153.0,901567820.0,1439,5,1440,31,25143.0,SA2009
2020-05-11,SA.CZC,1904.8352274779193,1904.8352274779193,1846.7126546561244,1869.1691032463632,69326.0,1968858400.0,1415,8,1416,225,36782.0,SA2009
2020-05-12,SA.CZC,1866.5271681180998,1888.983616708339,1859.9223302974412,1885.020714015944,47911.0,1356839520.0,1426,67,1427,149,37320.0,SA2009
2020-05-13,SA.CZC,1885.020714015944,1911.4400652985778,1871.8110383746266,1891.6255518366024,114667.0,3290942900.0,1431,126,1432,10,41542.0,SA2009
2020-05-14,SA.CZC,1888.983616708339,1896.9094220931293,1874.45297350289,1883.699746451812,45571.0,1301507760.0,1427,2,1428,76,43160.0,SA2009
2020-05-15,SA.CZC,1888.983616708339,1906.1561950420512,1883.699746451812,1895.5884545289973,51114.0,1466971800.0,1434,19,1435,139,43365.0,SA2009
2020-05-18,SA.CZC,1892.946519400734,1923.3287733757631,1888.983616708339,1912.7610328627097,62285.0,1798790800.0,1448,83,1449,39,45394.0,SA2009
2020-05-19,SA.CZC,1918.0449031192366,1929.9336111964217,1899.5513572213924,1903.5142599137878,49213.0,1428161260.0,1441,61,1442,17,46682.0,SA2009
