time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2019-12-09,SA2005,1564,1591,1556,1572,83739.0,2631079380.0,1571,44,1572,15,15784.0,1571,1561.0,1.0
2019-12-10,SA2005,1572,1634,1570,1634,110836.0,3575569360.0,1634,10299,0,0,34088.0,1613,1572.0,1.0
2019-12-11,SA2005,1649,1674,1637,1649,229577.0,7603590240.0,1648,11,1649,178,33010.0,1656,1634.0,1.0
2019-12-12,SA2005,1642,1654,1625,1630,122811.0,4033113240.0,1629,169,1631,2389,35024.0,1642,1649.0,1.0
2019-12-13,SA2005,1633,1639,1623,1630,66160.0,2159462400.0,1628,50,1629,26,34693.0,1632,1630.0,1.0
2019-12-16,SA2005,1634,1659,1626,1632,138825.0,4559013000.0,1632,80,1634,3,38749.0,1642,1630.0,1.0
2019-12-17,SA2005,1629,1636,1578,1623,111870.0,3629062800.0,1623,75,1624,114,35298.0,1622,1632.0,1.0
2019-12-18,SA2005,1623,1650,1622,1628,97596.0,3193341120.0,1628,1,1629,67,35900.0,1636,1623.0,1.0
2019-12-19,SA2005,1628,1641,1623,1626,65476.0,2138446160.0,1626,261,1627,259,37415.0,1633,1628.0,1.0
2019-12-20,SA2005,1626,1630,1611,1611,67218.0,2177863200.0,1611,204,1612,125,42062.0,1620,1626.0,1.0
2019-12-23,SA2005,1610,1616,1596,1601,56529.0,1815711480.0,1601,31,1602,38,41684.0,1606,1611.0,1.0
2019-12-24,SA2005,1603,1614,1600,1604,31042.0,997689880.0,1604,16,1605,9,41534.0,1607,1601.0,1.0
2019-12-25,SA2005,1602,1610,1599,1603,28939.0,928363120.0,1602,112,1603,178,44016.0,1604,1604.0,1.0
2019-12-26,SA2005,1602,1617,1602,1609,27865.0,897810300.0,1608,59,1609,114,42882.0,1611,1603.0,1.0
2019-12-27,SA2005,1609,1629,1607,1608,51132.0,1655654160.0,1609,10,1610,50,43038.0,1619,1609.0,1.0
2019-12-30,SA2005,1609,1636,1608,1633,39558.0,1284052680.0,1633,27,1634,109,40143.0,1623,1608.0,1.0
2019-12-31,SA2005,1633,1643,1629,1633,39573.0,1294037100.0,1632,160,1633,2,36698.0,1635,1633.0,1.0
2020-01-02,SA2005,1633,1641,1618,1625,26179.0,853958980.0,1624,85,1625,79,34862.0,1631,1633.0,1.0
2020-01-03,SA2005,1626,1634,1620,1629,23178.0,754212120.0,1629,248,1630,154,33974.0,1627,1625.0,1.0
2020-01-06,SA2005,1629,1646,1628,1638,40966.0,1341226840.0,1638,11,1639,50,33327.0,1637,1629.0,1.0
2020-01-07,SA2005,1636,1640,1624,1627,19256.0,628130720.0,1627,219,1628,50,32570.0,1631,1638.0,1.0
2020-01-08,SA2005,1626,1638,1624,1630,19972.0,651486640.0,1630,28,1631,176,32306.0,1631,1627.0,1.0
2020-01-09,SA2005,1629,1635,1621,1632,27286.0,888977880.0,1632,4,1633,270,29476.0,1629,1630.0,1.0
2020-01-10,SA2005,1633,1675,1633,1658,173405.0,5760514100.0,1657,102,1658,25,39616.0,1661,1632.0,1.0
2020-01-13,SA2005,1659,1661,1646,1653,30481.0,1008311480.0,1652,277,1653,7,37522.0,1654,1658.0,1.0
2020-01-14,SA2005,1657,1660,1648,1653,23832.0,787885920.0,1652,160,1653,128,36145.0,1653,1653.0,1.0
2020-01-15,SA2005,1654,1691,1652,1665,129730.0,4345955000.0,1664,2,1665,43,39110.0,1675,1653.0,1.0
2020-01-16,SA2005,1667,1679,1665,1668,34266.0,1145169720.0,1665,65,1668,26,36492.0,1671,1665.0,1.0
2020-01-17,SA2005,1674,1684,1667,1677,40310.0,1352803600.0,1676,5,1677,29,37576.0,1678,1668.0,1.0
2020-01-20,SA2005,1678,1680,1658,1667,31571.0,1052577140.0,1666,7,1667,19,33031.0,1667,1677.0,1.0
2020-01-21,SA2005,1668,1674,1655,1655,17726.0,589566760.0,1655,320,1656,215,32381.0,1663,1667.0,1.0
2020-01-22,SA2005,1657,1657,1631,1642,33941.0,1113943620.0,1642,2,1643,11,26024.0,1641,1655.0,1.0
2020-01-23,SA2005,1644,1651,1591,1615,24597.0,798418620.0,1615,10,1616,10,22223.0,1623,1642.0,1.0
2020-02-03,SA2005,1517,1546,1509,1519,30443.0,927293780.0,1518,24,1519,2,18012.0,1523,1615.0,1.0
2020-02-04,SA2005,1528,1570,1528,1561,19994.0,620213880.0,1560,33,1561,3,18788.0,1551,1519.0,1.0
2020-02-05,SA2005,1558,1569,1551,1560,18788.0,585809840.0,1560,83,1561,20,21591.0,1559,1561.0,1.0
2020-02-06,SA2005,1562,1577,1561,1574,13995.0,438883200.0,1574,5,1575,17,19533.0,1568,1560.0,1.0
2020-02-07,SA2005,1574,1609,1571,1574,10599.0,334292460.0,1574,160,1575,25,19840.0,1577,1574.0,1.0
2020-02-10,SA2005,1573,1577,1562,1568,6875.0,216012500.0,1567,124,1568,28,20067.0,1571,1574.0,1.0
2020-02-11,SA2005,1569,1581,1564,1579,10022.0,315492560.0,1578,25,1579,28,19745.0,1574,1568.0,1.0
2020-02-12,SA2005,1578,1588,1572,1578,9233.0,291947460.0,1579,10,1580,1,20825.0,1581,1579.0,1.0
2020-02-13,SA2005,1579,1587,1573,1581,8057.0,254601200.0,1580,21,1581,32,21245.0,1580,1578.0,1.0
2020-02-14,SA2005,1580,1583,1572,1578,5604.0,176750160.0,1577,21,1578,10,20935.0,1577,1581.0,1.0
2020-02-17,SA2005,1578,1588,1577,1586,7310.0,231288400.0,1585,33,1586,24,21231.0,1582,1578.0,1.0
2020-02-18,SA2005,1590,1595,1581,1583,5105.0,161828500.0,1582,54,1583,30,20735.0,1585,1586.0,1.0
2020-02-19,SA2005,1583,1590,1583,1587,4483.0,142200760.0,1586,124,1587,13,20201.0,1586,1583.0,1.0
2020-02-20,SA2005,1588,1590,1565,1586,12495.0,395091900.0,1585,123,1586,2,21448.0,1581,1587.0,1.0
2020-02-21,SA2005,1580,1588,1570,1579,15823.0,499373880.0,1579,30,1580,9,22350.0,1578,1586.0,1.0
2020-02-24,SA2005,1575,1590,1567,1587,16435.0,519017300.0,1586,153,1587,24,23054.0,1579,1579.0,1.0
2020-02-25,SA2005,1585,1637,1584,1605,55706.0,1798189680.0,1605,3,1608,67,26495.0,1614,1587.0,1.0
2020-02-26,SA2005,1604,1607,1577,1581,25077.0,798953220.0,1580,22,1581,260,23636.0,1593,1605.0,1.0
2020-02-27,SA2005,1582,1585,1567,1575,14567.0,458860500.0,1575,104,1576,21,23227.0,1575,1581.0,1.0
2020-02-28,SA2005,1564,1574,1542,1565,16218.0,507623400.0,1562,11,1565,56,23638.0,1565,1575.0,1.0
2020-03-02,SA2005,1564,1592,1563,1587,15366.0,486794880.0,1586,8,1587,58,24188.0,1584,1565.0,1.0
2020-03-03,SA2005,1589,1600,1568,1571,17940.0,567621600.0,1571,6,1572,86,26232.0,1582,1587.0,1.0
2020-03-04,SA2005,1578,1580,1569,1574,6538.0,205816240.0,1573,28,1574,9,26030.0,1574,1571.0,1.0
2020-03-05,SA2005,1574,1575,1550,1556,22192.0,692390400.0,1557,1,1558,9,30653.0,1560,1574.0,1.0
2020-03-06,SA2005,1555,1558,1544,1553,15316.0,475408640.0,1550,86,1553,12,30629.0,1552,1556.0,1.0
2020-03-09,SA2005,1506,1538,1501,1527,28000.0,851760000.0,1526,3,1527,12,28458.0,1521,1553.0,1.0
2020-03-10,SA2005,1530,1549,1529,1539,12592.0,387329920.0,1538,240,1539,19,27834.0,1538,1527.0,1.0
2020-03-11,SA2005,1538,1600,1534,1542,17821.0,551381740.0,1542,45,1543,75,29006.0,1547,1539.0,1.0
2020-03-12,SA2005,1542,1542,1521,1522,11058.0,338153640.0,1521,57,1522,27,28249.0,1529,1542.0,1.0
