time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2018-03-27,SC.INE,707.891014289014,710.8549682916198,679.4041230417474,698.1758317249173,20301.0,8656346400.0,424.0,5,424.2,6,1968.0,SC1809
2018-03-28,SC.INE,706.4090372877112,706.7383655102229,669.3596122551389,675.7815125941181,33599.0,13913345900.0,410.4,9,410.6,2,3037.0,SC1809
2018-03-29,SC.INE,675.946176705374,678.4161383742121,661.291070803601,674.628863815327,33334.0,13560271200.000002,409.8,1,410.0,3,3866.0,SC1809
2018-03-30,SC.INE,670.8415892564418,694.3885571660321,666.8896505863007,692.0832596084499,29281.0,12063772000.0,420.2,6,420.3,1,3529.0,SC1809
2018-04-02,SC.INE,692.4125878309617,693.7299007210087,681.380092376818,685.9906874919825,12322.0,5138274000.0,416.1,1,416.9,2,3268.0,SC1809
2018-04-03,SC.INE,682.2034129330973,682.2034129330973,659.4797655797863,662.7730478049039,26413.0,10710471500.0,402.5,7,402.7,3,4273.0,SC1809
2018-04-04,SC.INE,664.9136812512303,670.0182687001624,657.0098039109482,661.1264066923451,22117.0,8897669100.0,401.4,3,401.7,1,4582.0,SC1809
2018-04-09,SC.INE,655.6924910209011,664.4196889174626,654.8691704646218,662.4437195823921,7735.0,3097867500.0,402.0,3,402.4,6,4752.0,SC1809
2018-04-10,SC.INE,665.5723376962537,683.6853899344002,664.9136812512303,680.8861000430503,30845.0,12649534500.0,413.5,1,413.6,12,4496.0,SC1809
2018-04-11,SC.INE,683.3560617118884,694.5532212772881,681.8740847105856,687.966656827053,33217.0,13891349400.0,417.7,3,417.8,5,6231.0,SC1809
2018-04-12,SC.INE,693.235908387241,707.891014289014,686.48467982575,705.9150449539435,55038.0,23358127200.0,428.4,3,428.7,12,7237.0,SC1809
2018-04-13,SC.INE,700.3164651712437,705.9150449539435,697.0231829461262,703.1157550625936,31546.0,13441750600.000002,426.9,14,427.1,6,6740.0,SC1809
2018-04-16,SC.INE,704.2684038413847,709.7023195128287,697.352511168638,698.8344881699409,32642.0,13967511799.999998,424.3,14,424.4,4,6747.0,SC1809
