time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2018-03-27,SC1809,429.9,431.7,412.6,424.0,20301.0,8656346400.0,424.0,5,424.2,6,1968.0,426.4,429.9,1.0
2018-03-28,SC1809,429.0,429.2,406.5,410.4,33599.0,13913345900.0,410.4,9,410.6,2,3037.0,414.1,424.0,1.0
2018-03-29,SC1809,410.5,412.0,401.6,409.7,33334.0,13560271200.000002,409.8,1,410.0,3,3866.0,406.8,410.4,1.0
2018-03-30,SC1809,407.4,421.7,405.0,420.3,29281.0,12063772000.0,420.2,6,420.3,1,3529.0,412.0,409.7,1.0
2018-04-02,SC1809,420.5,421.3,413.8,416.6,12322.0,5138274000.0,416.1,1,416.9,2,3268.0,417.0,420.3,1.0
2018-04-03,SC1809,414.3,414.3,400.5,402.5,26413.0,10710471500.0,402.5,7,402.7,3,4273.0,405.5,416.6,1.0
2018-04-04,SC1809,403.8,406.9,399.0,401.5,22117.0,8897669100.0,401.4,3,401.7,1,4582.0,402.3,402.5,1.0
2018-04-09,SC1809,398.2,403.5,397.7,402.3,7735.0,3097867500.0,402.0,3,402.4,6,4752.0,400.5,401.5,1.0
2018-04-10,SC1809,404.2,415.2,403.8,413.5,30845.0,12649534500.0,413.5,1,413.6,12,4496.0,410.1,402.3,1.0
2018-04-11,SC1809,415.0,421.8,414.1,417.8,33217.0,13891349400.0,417.7,3,417.8,5,6231.0,418.2,413.5,1.0
2018-04-12,SC1809,421.0,429.9,416.9,428.7,55038.0,23358127200.0,428.4,3,428.7,12,7237.0,424.4,417.8,1.0
2018-04-13,SC1809,425.3,428.7,423.3,427.0,31546.0,13441750600.000002,426.9,14,427.1,6,6740.0,426.1,428.7,1.0
2018-04-16,SC1809,427.7,431.0,423.5,424.4,32642.0,13967511799.999998,424.3,14,424.4,4,6747.0,427.9,427.0,1.0
2018-04-17,SC1809,426.0,427.5,421.5,427.4,27500.0,11690250000.0,427.3,5,427.4,18,6501.0,425.1,424.4,1.0
2018-04-18,SC1809,422.8,431.4,420.6,429.7,40169.0,17087892599.999998,429.5,7,429.8,2,7314.0,425.4,427.4,1.0
2018-04-19,SC1809,435.0,444.0,432.5,440.6,42358.0,18544332400.000004,440.5,2,440.6,27,7964.0,437.8,429.7,1.0
2018-04-20,SC1809,440.7,443.0,435.3,436.7,34215.0,15051178500.0,436.4,14,437.0,1,7808.0,439.9,440.6,1.0
2018-04-23,SC1809,435.1,441.2,432.4,439.7,35169.0,15344234700.000002,439.6,10,439.7,5,7993.0,436.3,436.7,1.0
2018-04-24,SC1809,434.2,449.2,432.2,447.3,45795.0,20191015500.0,447.2,11,447.5,1,9162.0,440.9,439.7,1.0
2018-04-25,SC1809,447.0,448.9,436.6,438.0,49496.0,21936627200.0,438.1,2,438.5,3,8092.0,443.2,447.3,1.0
2018-04-26,SC1809,437.1,445.0,434.4,441.4,54628.0,24003543200.0,441.3,1,441.8,5,8143.0,439.4,438.0,1.0
2018-04-27,SC1809,444.0,445.5,440.4,444.2,40291.0,17828767500.0,444.2,8,444.4,1,8128.0,442.5,441.4,1.0
2018-05-02,SC1809,439.7,444.4,436.0,443.5,16727.0,7379952399.999999,443.5,4,443.7,2,8627.0,441.2,444.2,1.0
2018-05-03,SC1809,441.6,448.0,439.1,447.0,55599.0,24608117400.000004,446.9,6,447.4,1,10696.0,442.6,443.5,1.0
2018-05-04,SC1809,443.8,448.8,442.8,446.9,50347.0,22429588500.0,446.8,3,446.9,8,10228.0,445.5,447.0,1.0
2018-05-07,SC1809,448.3,461.6,448.3,458.3,67501.0,30692704700.0,458.4,1,458.7,5,11393.0,454.7,446.9,1.0
2018-05-08,SC1809,460.6,462.4,456.9,459.1,55463.0,25485248500.0,459.1,1,459.2,1,11672.0,459.5,458.3,1.0
2018-05-09,SC1809,459.1,466.6,445.3,465.2,122134.0,55668677200.0,465.2,14,465.3,1,12880.0,455.8,459.1,1.0
2018-05-10,SC1809,466.3,478.4,466.0,476.4,82728.0,38931796800.00001,476.4,9,476.6,1,15310.0,470.6,465.2,1.0
2018-05-11,SC1809,474.2,474.3,467.0,471.2,82843.0,38969347199.99999,471.2,12,471.3,8,14068.0,470.4,476.4,1.0
2018-05-14,SC1809,471.7,472.6,462.7,465.6,84129.0,39422849400.0,465.5,2,465.7,2,12244.0,468.6,471.2,1.0
2018-05-15,SC1809,467.5,475.6,467.5,472.8,75024.0,35336304000.0,472.7,1,472.9,1,13936.0,471.0,465.6,1.0
2018-05-16,SC1809,478.0,478.0,470.5,473.1,96918.0,45948823800.00001,472.8,2,473.1,1,12944.0,474.1,472.8,1.0
2018-05-17,SC1809,472.0,485.3,470.5,481.9,110103.0,52497110400.0,481.7,3,482.0,2,15507.0,476.8,473.1,1.0
2018-05-18,SC1809,485.0,488.6,481.9,486.5,89663.0,43468622400.0,486.2,1,486.4,1,14960.0,484.8,481.9,1.0
2018-05-21,SC1809,484.8,486.0,477.0,482.4,87834.0,42371121600.0,482.4,15,482.5,2,13446.0,482.4,486.5,1.0
2018-05-22,SC1809,480.0,486.5,478.3,485.1,66508.0,32110062400.000004,485.0,53,485.2,4,14530.0,482.8,482.4,1.0
2018-05-23,SC1809,486.0,493.8,482.6,484.6,109047.0,53225840700.0,484.4,1,484.6,3,15478.0,488.1,485.1,1.0
2018-05-24,SC1809,484.5,487.4,478.1,485.0,108584.0,52446072000.0,484.8,15,485.0,1,15207.0,483.0,484.6,1.0
2018-05-25,SC1809,481.1,483.8,476.6,477.4,90187.0,43343872200.0,477.0,26,477.4,1,15482.0,480.6,485.0,1.0
2018-05-28,SC1809,467.4,470.5,456.6,462.8,122797.0,57014647100.0,462.8,1,462.9,5,15169.0,464.3,477.4,1.0
2018-05-29,SC1809,462.5,466.0,459.2,463.8,72600.0,33592020000.0,463.7,3,463.8,5,15083.0,462.7,462.8,1.0
2018-05-30,SC1809,467.0,468.3,458.5,463.9,112081.0,51938335400.0,463.7,13,463.9,1,15380.0,463.4,463.8,1.0
2018-05-31,SC1809,466.0,476.8,465.3,472.5,117272.0,55340656800.0,472.4,20,472.6,7,16912.0,471.9,463.9,1.0
2018-06-01,SC1809,470.5,483.9,469.9,474.7,137503.0,65465178300.00001,474.7,46,474.9,6,16993.0,476.1,472.5,1.0
2018-06-04,SC1809,472.9,473.1,467.6,470.9,101105.0,47580013000.0,470.8,9,470.9,1,15591.0,470.6,474.7,1.0
2018-06-05,SC1809,468.7,471.4,461.6,466.2,106188.0,49494226800.00001,466.0,15,466.2,1,15129.0,466.1,470.9,1.0
