time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2014-08-11,SF.CZC,5644.038954612458,5755.588961690443,5644.038954612458,5706.663519989573,53478.0,1561022820.0,5830,6,5832,64,16829.0,SF1501
2014-08-12,SF.CZC,5685.13632564119,5827.998615407732,5683.179307973155,5784.944226710966,116906.0,3452234180.0,5912,49,5916,204,23294.0,SF1501
2014-08-13,SF.CZC,5792.772297383105,5818.213527067558,5753.631944022409,5798.64335038721,59664.0,1763071200.0,5926,43,5928,1,23305.0,SF1501
2014-08-14,SF.CZC,5790.815279715071,5808.428438727384,5587.2854422394485,5616.64070725997,71354.0,2063557680.0,5740,45,5742,29,17702.0,SF1501
2014-08-15,SF.CZC,5616.64070725997,5655.781060620667,5606.855618919796,5649.910007616562,31973.0,919863210.0,5774,14,5776,69,16749.0,SF1501
2014-08-18,SF.CZC,5651.867025284598,5671.437201964945,5606.855618919796,5624.46877793211,24220.0,697051600.0,5746,71,5748,9,16867.0,SF1501
2014-08-19,SF.CZC,5616.64070725997,5655.781060620667,5567.7152655591,5651.867025284598,19837.0,569718640.0,5774,115,5776,29,16167.0,SF1501
2014-08-20,SF.CZC,5653.824042952632,5653.824042952632,5395.497710772034,5606.855618919796,23794.0,681698100.0,5730,16,5732,27,16771.0,SF1501
2014-08-21,SF.CZC,5622.511760264075,5653.824042952632,5599.027548247657,5618.597724928005,7799.0,223909290.0,5742,2,5746,2,16519.0,SF1501
2014-08-22,SF.CZC,5612.7266719239005,5630.339830936215,5583.371406903379,5593.156495243553,13909.0,398214670.0,5716,77,5718,11,16756.0,SF1501
2014-08-25,SF.CZC,5587.2854422394485,5618.597724928005,5554.016141882856,5614.683689591936,20088.0,574717680.0,5738,26,5740,105,14805.0,SF1501
2014-08-26,SF.CZC,5618.597724928005,5645.995972280493,5602.941583583726,5628.382813268179,7727.0,221842170.0,5750,2,5752,76,12221.0,SF1501
2014-08-27,SF.CZC,5620.55474259604,5663.6091312928065,5620.55474259604,5642.081936944423,8048.0,232184800.0,5764,45,5766,28,10776.0,SF1501
2014-08-28,SF.CZC,5636.210883940319,5655.781060620667,5610.769654255866,5655.781060620667,5977.0,172018060.0,5778,35,5780,145,10208.0,SF1501
2014-08-29,SF.CZC,5651.867025284598,5685.13632564119,5632.296848604249,5675.351237301015,8162.0,235800180.0,5800,26,5802,127,9880.0,SF1501
2014-09-01,SF.CZC,5679.265272637085,5702.749484653503,5651.867025284598,5651.867025284598,11332.0,328854640.0,5776,66,5778,8,10604.0,SF1501
2014-09-02,SF.CZC,5647.952989948528,5673.394219632981,5591.199477575517,5638.1679016083535,17391.0,500339070.0,5762,27,5764,7,12391.0,SF1501
2014-09-03,SF.CZC,5638.1679016083535,5667.523166628876,5626.425795600145,5630.339830936215,5383.0,155407210.0,5754,4,5758,14,12338.0,SF1501
2014-09-04,SF.CZC,5626.425795600145,5663.6091312928065,5597.070530579622,5640.124919276389,6510.0,187162500.0,5762,4,5770,129,12222.0,SF1501
2014-09-05,SF.CZC,5644.038954612458,5659.695095956737,5612.7266719239005,5628.382813268179,5317.0,153076430.0,5750,21,5752,7,12444.0,SF1501
2014-09-09,SF.CZC,5616.64070725997,5630.339830936215,5526.617894530368,5540.317018206612,17643.0,501237630.0,5660,52,5666,14,16412.0,SF1501
2014-09-10,SF.CZC,5516.832806190194,5661.652113624772,5514.875788522159,5587.2854422394485,12638.0,360056620.0,5706,3,5710,35,13767.0,SF1501
2014-09-11,SF.CZC,5585.328424571413,5591.199477575517,5563.80123022303,5575.543336231239,4084.0,116434840.0,5694,4,5700,6,13652.0,SF1501
2014-09-12,SF.CZC,5577.500353899274,5612.7266719239005,5567.7152655591,5604.898601251762,2573.0,73562070.0,5726,1,5728,1,12940.0,SF1501
2014-09-15,SF.CZC,5599.027548247657,5661.652113624772,5593.156495243553,5651.867025284598,4396.0,126736680.0,5774,79,5776,25,12185.0,SF1501
2014-09-16,SF.CZC,5663.6091312928065,5683.179307973155,5634.253866272284,5640.124919276389,3285.0,94969350.0,5762,4,5768,12,11395.0,SF1501
2014-09-17,SF.CZC,5653.824042952632,5661.652113624772,5638.1679016083535,5653.824042952632,1254.0,36202980.0,5778,3,5780,36,11386.0,SF1501
2014-09-18,SF.CZC,5655.781060620667,5663.6091312928065,5630.339830936215,5634.253866272284,1988.0,57333920.0,5756,37,5758,3,11129.0,SF1501
2014-09-19,SF.CZC,5636.210883940319,5638.1679016083535,5571.62930089517,5577.500353899274,5926.0,169720640.0,5700,134,5702,1,10913.0,SF1501
2014-09-22,SF.CZC,5559.88719488696,5563.80123022303,5391.583675435964,5420.938940456487,10471.0,291407930.0,5540,3,5544,2,11166.0,SF1501
2014-09-23,SF.CZC,5403.325781444174,5471.821399825393,5403.325781444174,5442.46613480487,5687.0,157984860.0,5562,49,5568,7,11206.0,SF1501
2014-09-24,SF.CZC,5450.29420547701,5518.789823858229,5436.595081800766,5469.864382157358,3144.0,88000560.0,5590,3,5592,10,10535.0,SF1501
2014-09-25,SF.CZC,5483.563505833602,5512.918770854124,5327.002092390815,5350.486304407234,15486.0,425400420.0,5468,24,5472,3,11922.0,SF1501
2014-09-26,SF.CZC,5338.744198399024,5417.024905120417,5332.873145394919,5381.798587095791,6584.0,180928320.0,5500,10,5502,29,11569.0,SF1501
