time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2014-08-11,SF1501,5768,5882,5768,5832,53478.0,1561022820.0,5830,6,5832,64,16829.0,5838,5804.0,1.0
2014-08-12,SF1501,5810,5956,5808,5912,116906.0,3452234180.0,5912,49,5916,204,23294.0,5906,5832.0,1.0
2014-08-13,SF1501,5920,5946,5880,5926,59664.0,1763071200.0,5926,43,5928,1,23305.0,5910,5912.0,1.0
2014-08-14,SF1501,5918,5936,5710,5740,71354.0,2063557680.0,5740,45,5742,29,17702.0,5784,5926.0,1.0
2014-08-15,SF1501,5740,5780,5730,5774,31973.0,919863210.0,5774,14,5776,69,16749.0,5754,5740.0,1.0
2014-08-18,SF1501,5776,5796,5730,5748,24220.0,697051600.0,5746,71,5748,9,16867.0,5756,5774.0,1.0
2014-08-19,SF1501,5740,5780,5690,5776,19837.0,569718640.0,5774,115,5776,29,16167.0,5744,5748.0,1.0
2014-08-20,SF1501,5778,5778,5514,5730,23794.0,681698100.0,5730,16,5732,27,16771.0,5730,5776.0,1.0
2014-08-21,SF1501,5746,5778,5722,5742,7799.0,223909290.0,5742,2,5746,2,16519.0,5742,5730.0,1.0
2014-08-22,SF1501,5736,5754,5706,5716,13909.0,398214670.0,5716,77,5718,11,16756.0,5726,5742.0,1.0
2014-08-25,SF1501,5710,5742,5676,5738,20088.0,574717680.0,5738,26,5740,105,14805.0,5722,5716.0,1.0
2014-08-26,SF1501,5742,5770,5726,5752,7727.0,221842170.0,5750,2,5752,76,12221.0,5742,5738.0,1.0
2014-08-27,SF1501,5744,5788,5744,5766,8048.0,232184800.0,5764,45,5766,28,10776.0,5770,5752.0,1.0
2014-08-28,SF1501,5760,5780,5734,5780,5977.0,172018060.0,5778,35,5780,145,10208.0,5756,5766.0,1.0
2014-08-29,SF1501,5776,5810,5756,5800,8162.0,235800180.0,5800,26,5802,127,9880.0,5778,5780.0,1.0
2014-09-01,SF1501,5804,5828,5776,5776,11332.0,328854640.0,5776,66,5778,8,10604.0,5804,5800.0,1.0
2014-09-02,SF1501,5772,5798,5714,5762,17391.0,500339070.0,5762,27,5764,7,12391.0,5754,5776.0,1.0
2014-09-03,SF1501,5762,5792,5750,5754,5383.0,155407210.0,5754,4,5758,14,12338.0,5774,5762.0,1.0
2014-09-04,SF1501,5750,5788,5720,5764,6510.0,187162500.0,5762,4,5770,129,12222.0,5750,5754.0,1.0
2014-09-05,SF1501,5768,5784,5736,5752,5317.0,153076430.0,5750,21,5752,7,12444.0,5758,5764.0,1.0
2014-09-09,SF1501,5740,5754,5648,5662,17643.0,501237630.0,5660,52,5666,14,16412.0,5682,5752.0,1.0
2014-09-10,SF1501,5638,5786,5636,5710,12638.0,360056620.0,5706,3,5710,35,13767.0,5698,5662.0,1.0
2014-09-11,SF1501,5708,5714,5686,5698,4084.0,116434840.0,5694,4,5700,6,13652.0,5702,5710.0,1.0
2014-09-12,SF1501,5700,5736,5690,5728,2573.0,73562070.0,5726,1,5728,1,12940.0,5718,5698.0,1.0
2014-09-15,SF1501,5722,5786,5716,5776,4396.0,126736680.0,5774,79,5776,25,12185.0,5766,5728.0,1.0
2014-09-16,SF1501,5788,5808,5758,5764,3285.0,94969350.0,5762,4,5768,12,11395.0,5782,5776.0,1.0
2014-09-17,SF1501,5778,5786,5762,5778,1254.0,36202980.0,5778,3,5780,36,11386.0,5774,5764.0,1.0
2014-09-18,SF1501,5780,5788,5754,5758,1988.0,57333920.0,5756,37,5758,3,11129.0,5768,5778.0,1.0
2014-09-19,SF1501,5760,5762,5694,5700,5926.0,169720640.0,5700,134,5702,1,10913.0,5728,5758.0,1.0
2014-09-22,SF1501,5682,5686,5510,5540,10471.0,291407930.0,5540,3,5544,2,11166.0,5566,5700.0,1.0
2014-09-23,SF1501,5522,5592,5522,5562,5687.0,157984860.0,5562,49,5568,7,11206.0,5556,5540.0,1.0
2014-09-24,SF1501,5570,5640,5556,5590,3144.0,88000560.0,5590,3,5592,10,10535.0,5598,5562.0,1.0
2014-09-25,SF1501,5604,5634,5444,5468,15486.0,425400420.0,5468,24,5472,3,11922.0,5494,5590.0,1.0
2014-09-26,SF1501,5456,5536,5450,5500,6584.0,180928320.0,5500,10,5502,29,11569.0,5496,5468.0,1.0
2014-09-29,SF1501,5500,5540,5462,5538,3331.0,91569190.0,5538,2,5540,16,10993.0,5498,5500.0,1.0
2014-09-30,SF1501,5540,5586,5530,5572,3484.0,96924880.0,5572,3,5576,1,9426.0,5564,5538.0,1.0
2014-10-08,SF1501,5568,5628,5536,5556,1558.0,43312400.0,5554,4,5556,11,9499.0,5560,5572.0,1.0
2014-10-09,SF1501,5560,5646,5532,5636,2949.0,82365570.0,5634,13,5636,87,9322.0,5586,5556.0,1.0
2014-10-10,SF1501,5634,5642,5584,5594,2445.0,68631150.0,5594,12,5596,1,8981.0,5614,5636.0,1.0
2014-10-13,SF1501,5602,5698,5602,5630,6778.0,191749620.0,5628,12,5630,3,8106.0,5658,5594.0,1.0
2014-10-14,SF1501,5620,5638,5564,5580,3231.0,90177210.0,5580,164,5582,4,7899.0,5582,5630.0,1.0
2014-10-15,SF1501,5584,5608,5532,5536,3328.0,92418560.0,5536,36,5538,6,7916.0,5554,5580.0,1.0
2014-10-16,SF1501,5530,5580,5524,5570,3402.0,94507560.0,5568,9,5570,5,7419.0,5556,5536.0,1.0
2014-10-17,SF1501,5600,5622,5566,5588,1620.0,45327600.0,5582,8,5588,154,7110.0,5596,5570.0,1.0
2014-10-20,SF1501,5590,5620,5570,5620,1032.0,28937280.0,5614,1,5620,92,7014.0,5608,5588.0,1.0
2014-10-21,SF1501,5616,5620,5602,5610,673.0,18877650.0,5610,7,5612,8,6851.0,5610,5620.0,1.0
2014-10-22,SF1501,5612,5620,5534,5540,1939.0,54039930.0,5542,1,5544,2,7003.0,5574,5610.0,1.0
2014-10-23,SF1501,5534,5596,5530,5580,1164.0,32359200.0,5580,5,5584,2,6779.0,5560,5540.0,1.0
2014-10-24,SF1501,5612,5622,5576,5618,1040.0,29172000.0,5618,1,5620,14,6457.0,5610,5580.0,1.0
2014-10-27,SF1501,5618,5620,5588,5598,558.0,15635160.0,5592,5,5606,8,6389.0,5604,5618.0,1.0
2014-10-28,SF1501,5604,5610,5572,5606,481.0,13458380.0,5606,2,5608,29,6296.0,5596,5598.0,1.0
2014-10-29,SF1501,5600,5626,5600,5614,1012.0,28427080.0,5612,1,5626,85,6179.0,5618,5606.0,1.0
2014-10-30,SF1501,5618,5620,5550,5568,1459.0,40720690.0,5566,2,5568,29,5983.0,5582,5614.0,1.0
