time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2014-08-11,SM.CZC,3018.6732693069334,3053.338356508782,3004.619855576454,3021.483952053029,42285.0,1367074050.0,6448,106,6450,11,12819.0,SM1501
2014-08-12,SM.CZC,3008.3674325712486,3044.9063082704943,2999.935384332961,3004.619855576454,46998.0,1515685500.0,6412,106,6414,25,15926.0,SM1501
2014-08-13,SM.CZC,3002.746067079057,3024.294634799125,2992.440230343372,3009.304326819947,21501.0,690612120.0,6422,26,6426,20,14139.0,SM1501
2014-08-14,SM.CZC,3005.5567498251526,3028.9791060426182,2975.576133866797,2996.1878073381667,42176.0,1351319040.0,6394,7,6396,9,14014.0,SM1501
2014-08-15,SM.CZC,2998.061595835564,3010.2412210686457,2991.5033360946736,3003.6829613277555,14414.0,461824560.0,6410,16,6412,15,11285.0,SM1501
2014-08-18,SM.CZC,3006.493644073851,3034.60047153481,2997.1247015868653,2999.935384332961,19249.0,620010290.0,6404,80,6406,11,9582.0,SM1501
2014-08-19,SM.CZC,2995.2509130894678,3001.8091728303584,2981.197499358989,2991.5033360946736,11189.0,357040990.0,6384,105,6386,34,9308.0,SM1501
2014-08-20,SM.CZC,2986.8188648511805,3002.746067079057,2976.5130281154957,2991.5033360946736,7378.0,235136860.0,6386,34,6388,32,9459.0,SM1501
2014-08-21,SM.CZC,2997.1247015868653,3000.8722785816594,2979.3237108615913,2984.0081821050844,3124.0,99655600.0,6370,10,6372,3,8848.0,SM1501
2014-08-22,SM.CZC,2982.1343936076873,2997.1247015868653,2982.1343936076873,2994.314018840769,6415.0,204895100.0,6390,2,6396,55,5769.0,SM1501
2014-08-25,SM.CZC,2996.1878073381667,3020.5470578043305,2988.6926533485776,3014.925692312139,12163.0,390797190.0,6434,7,6436,12,5676.0,SM1501
2014-08-26,SM.CZC,3010.2412210686457,3019.610163555632,3003.6829613277555,3017.7363750582344,3672.0,118128240.0,6440,5,6442,79,5101.0,SM1501
2014-08-27,SM.CZC,3037.4111542809055,3037.4111542809055,2997.1247015868653,2997.1247015868653,5032.0,161778800.0,6398,2,6402,33,3953.0,SM1501
2014-08-28,SM.CZC,2994.314018840769,3002.746067079057,2982.1343936076873,2987.755759099879,4483.0,143097360.0,6378,1,6380,2,4035.0,SM1501
2014-08-29,SM.CZC,2985.881970602482,2994.314018840769,2982.1343936076873,2984.945076353783,1978.0,63117980.0,6374,1,6378,1,3454.0,SM1501
2014-09-01,SM.CZC,2984.0081821050844,2992.440230343372,2983.071287856386,2987.755759099879,2625.0,83737500.0,6376,21,6378,5,4170.0,SM1501
2014-09-02,SM.CZC,2983.071287856386,2983.071287856386,2954.027566146729,2971.8285568720025,2943.0,93410820.0,6342,5,6346,3,4915.0,SM1501
2014-09-03,SM.CZC,2963.3965086337153,2975.576133866797,2962.4596143850163,2969.9547683746055,2369.0,75144680.0,6340,5,6342,1,5818.0,SM1501
2014-09-04,SM.CZC,2969.9547683746055,2979.3237108615913,2959.6489316389207,2970.891662623304,1967.0,62393240.0,6340,16,6342,13,5750.0,SM1501
2014-09-05,SM.CZC,2964.333402882414,2975.576133866797,2964.333402882414,2965.2702971311123,1092.0,34627320.0,6330,10,6332,3,6186.0,SM1501
2014-09-09,SM.CZC,2962.4596143850163,2963.3965086337153,2936.2265754214554,2950.2799891519344,3356.0,105747560.0,6298,6,6304,21,7415.0,SM1501
2014-09-10,SM.CZC,2942.7848351623456,2955.901354644126,2883.760497494333,2951.216883400633,2212.0,69567400.0,6296,13,6300,8,7298.0,SM1501
2014-09-11,SM.CZC,2951.216883400633,2951.216883400633,2934.352786924058,2934.352786924058,838.0,26329960.0,6264,2,6268,5,7332.0,SM1501
2014-09-12,SM.CZC,2937.163469670154,2945.5955179084413,2927.7945271831677,2945.5955179084413,654.0,20509440.0,6288,53,6290,36,7413.0,SM1501
2014-09-15,SM.CZC,2932.478998426661,2972.765451120701,2932.478998426661,2972.765451120701,1295.0,40922000.0,6340,1,6348,31,7044.0,SM1501
2014-09-16,SM.CZC,2973.7023453693996,2974.6392396180986,2951.216883400633,2951.216883400633,656.0,20762400.0,6300,2,6302,3,7073.0,SM1501
2014-09-17,SM.CZC,2955.901354644126,2962.4596143850163,2946.5324121571402,2947.469306405839,389.0,12257390.0,6296,1,6298,1,7108.0,SM1501
2014-09-18,SM.CZC,2950.2799891519344,2950.2799891519344,2925.9207386857706,2928.7314214318662,1002.0,31372620.0,6250,12,6254,3,7262.0,SM1501
2014-09-19,SM.CZC,2926.857632934469,2926.857632934469,2863.1488240229633,2869.707083763854,1080.0,33393600.0,6126,1,6128,25,7461.0,SM1501
2014-09-22,SM.CZC,2840.6633620541966,2852.8429872872784,2810.682746095841,2824.73615982632,2671.0,80584070.0,6030,1,6034,1,7511.0,SM1501
2014-09-23,SM.CZC,2820.051688582827,2871.580872261251,2820.051688582827,2830.3575253185118,565.0,17119500.0,6038,1,6042,17,7493.0,SM1501
2014-09-24,SM.CZC,2830.3575253185118,2861.275035525566,2824.73615982632,2857.5274585307716,626.0,18974060.0,6070,7,6100,6,7461.0,SM1501
2014-09-25,SM.CZC,2857.5274585307716,2875.3284492560456,2802.2506978575534,2818.17790008543,2089.0,62858010.0,6016,4,6026,3,8043.0,SM1501
