time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2014-08-11,SM1501,6444,6518,6414,6450,42285.0,1367074050.0,6448,106,6450,11,12819.0,6466,6482.0,1.0
2014-08-12,SM1501,6422,6500,6404,6414,46998.0,1515685500.0,6412,106,6414,25,15926.0,6450,6450.0,1.0
2014-08-13,SM1501,6410,6456,6388,6424,21501.0,690612120.0,6422,26,6426,20,14139.0,6424,6414.0,1.0
2014-08-14,SM1501,6416,6466,6352,6396,42176.0,1351319040.0,6394,7,6396,9,14014.0,6408,6424.0,1.0
2014-08-15,SM1501,6400,6426,6386,6412,14414.0,461824560.0,6410,16,6412,15,11285.0,6408,6396.0,1.0
2014-08-18,SM1501,6418,6478,6398,6404,19249.0,620010290.0,6404,80,6406,11,9582.0,6442,6412.0,1.0
2014-08-19,SM1501,6394,6408,6364,6386,11189.0,357040990.0,6384,105,6386,34,9308.0,6382,6404.0,1.0
2014-08-20,SM1501,6376,6410,6354,6386,7378.0,235136860.0,6386,34,6388,32,9459.0,6374,6386.0,1.0
2014-08-21,SM1501,6398,6406,6360,6370,3124.0,99655600.0,6370,10,6372,3,8848.0,6380,6386.0,1.0
2014-08-22,SM1501,6366,6398,6366,6392,6415.0,204895100.0,6390,2,6396,55,5769.0,6388,6370.0,1.0
2014-08-25,SM1501,6396,6448,6380,6436,12163.0,390797190.0,6434,7,6436,12,5676.0,6426,6392.0,1.0
2014-08-26,SM1501,6426,6446,6412,6442,3672.0,118128240.0,6440,5,6442,79,5101.0,6434,6436.0,1.0
2014-08-27,SM1501,6484,6484,6398,6398,5032.0,161778800.0,6398,2,6402,33,3953.0,6430,6442.0,1.0
2014-08-28,SM1501,6392,6410,6366,6378,4483.0,143097360.0,6378,1,6380,2,4035.0,6384,6398.0,1.0
2014-08-29,SM1501,6374,6392,6366,6372,1978.0,63117980.0,6374,1,6378,1,3454.0,6382,6378.0,1.0
2014-09-01,SM1501,6370,6388,6368,6378,2625.0,83737500.0,6376,21,6378,5,4170.0,6380,6372.0,1.0
2014-09-02,SM1501,6368,6368,6306,6344,2943.0,93410820.0,6342,5,6346,3,4915.0,6348,6378.0,1.0
2014-09-03,SM1501,6326,6352,6324,6340,2369.0,75144680.0,6340,5,6342,1,5818.0,6344,6344.0,1.0
2014-09-04,SM1501,6340,6360,6318,6342,1967.0,62393240.0,6340,16,6342,13,5750.0,6344,6340.0,1.0
2014-09-05,SM1501,6328,6352,6328,6330,1092.0,34627320.0,6330,10,6332,3,6186.0,6342,6342.0,1.0
2014-09-09,SM1501,6324,6326,6268,6298,3356.0,105747560.0,6298,6,6304,21,7415.0,6302,6330.0,1.0
2014-09-10,SM1501,6282,6310,6156,6300,2212.0,69567400.0,6296,13,6300,8,7298.0,6290,6298.0,1.0
2014-09-11,SM1501,6300,6300,6264,6264,838.0,26329960.0,6264,2,6268,5,7332.0,6284,6300.0,1.0
2014-09-12,SM1501,6270,6288,6250,6288,654.0,20509440.0,6288,53,6290,36,7413.0,6272,6264.0,1.0
2014-09-15,SM1501,6260,6346,6260,6346,1295.0,40922000.0,6340,1,6348,31,7044.0,6320,6288.0,1.0
2014-09-16,SM1501,6348,6350,6300,6300,656.0,20762400.0,6300,2,6302,3,7073.0,6330,6346.0,1.0
2014-09-17,SM1501,6310,6324,6290,6292,389.0,12257390.0,6296,1,6298,1,7108.0,6302,6300.0,1.0
2014-09-18,SM1501,6298,6298,6246,6252,1002.0,31372620.0,6250,12,6254,3,7262.0,6262,6292.0,1.0
2014-09-19,SM1501,6248,6248,6112,6126,1080.0,33393600.0,6126,1,6128,25,7461.0,6184,6252.0,1.0
2014-09-22,SM1501,6064,6090,6000,6030,2671.0,80584070.0,6030,1,6034,1,7511.0,6034,6126.0,1.0
2014-09-23,SM1501,6020,6130,6020,6042,565.0,17119500.0,6038,1,6042,17,7493.0,6060,6030.0,1.0
2014-09-24,SM1501,6042,6108,6030,6100,626.0,18974060.0,6070,7,6100,6,7461.0,6062,6042.0,1.0
2014-09-25,SM1501,6100,6138,5982,6016,2089.0,62858010.0,6016,4,6026,3,8043.0,6018,6100.0,1.0
2014-09-26,SM1501,5996,6060,5940,6048,986.0,29727900.0,6044,23,6048,1,7847.0,6030,6016.0,1.0
2014-09-29,SM1501,6088,6088,6016,6070,533.0,16101930.0,6064,20,6074,1,7703.0,6042,6048.0,1.0
2014-09-30,SM1501,6122,6128,6056,6088,235.0,7151050.0,6068,3,6088,9,7596.0,6086,6070.0,1.0
2014-10-08,SM1501,6130,6180,6078,6086,303.0,9253620.0,6088,1,6094,2,7559.0,6108,6088.0,1.0
2014-10-09,SM1501,6080,6178,6080,6170,843.0,25871670.0,6170,6,6172,3,7506.0,6138,6086.0,1.0
2014-10-10,SM1501,6152,6170,6122,6144,458.0,14092660.0,6144,6,6148,1,7422.0,6154,6170.0,1.0
2014-10-13,SM1501,6170,6320,6150,6244,1427.0,44550940.0,6240,7,6252,1,7340.0,6244,6144.0,1.0
2014-10-14,SM1501,6288,6288,6170,6202,549.0,17019000.0,6198,17,6206,20,7148.0,6200,6244.0,1.0
