time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2015-03-30,SN.SHF,137823.1324844623,138123.5769754991,133582.24293790426,136448.02116010152,1234.0,145266480.0,117720,1,118120,1,415.0,SN1507
2015-03-31,SN.SHF,135951.132194156,138435.57702388347,133998.24300241677,136540.46561888207,2261.0,266323190.0,117900,9,118180,1,588.0,SN1507
2015-04-01,SN.SHF,136378.68781601608,137372.46574790706,135280.909867997,136251.57668519282,2187.0,258678360.0,117910,1,117970,1,636.0,SN1507
2015-04-02,SN.SHF,136320.91002927825,137603.57689485847,136320.91002927825,137072.02125687027,1358.0,160977320.0,118650,1,118740,1,519.0,SN1507
2015-04-03,SN.SHF,137291.57684647408,138054.24363141367,137002.68791278484,137337.79907586437,695.0,82670250.0,118770,1,118860,1,500.0,SN1507
2015-04-07,SN.SHF,137384.02130525463,137615.13245220605,136667.57674970533,137349.35463321194,424.0,50299120.0,118790,1,118960,1,452.0,SN1507
2015-04-08,SN.SHF,137176.0212729984,137384.02130525463,135373.35432677754,136205.35445580256,424.0,50116800.0,117820,1,117900,10,375.0,SN1507
2015-04-09,SN.SHF,135858.68773537545,136332.46558662583,134622.24309918552,134957.35426226503,408.0,47813520.0,116680,2,116800,3,401.0,SN1507
2015-04-10,SN.SHF,134622.24309918552,135176.90985186884,133258.6873321723,134032.90967445946,1209.0,140074740.0,115800,1,116060,1,458.0,SN1507
2015-04-13,SN.SHF,133998.24300241677,134379.57639488656,133200.90954543446,133975.13188772163,814.0,94220500.0,115800,1,115950,1,504.0,SN1507
2015-04-14,SN.SHF,133524.4651511664,133640.0207246421,129768.9090132063,129768.9090132063,2794.0,317621920.0,112300,2,112320,5,947.0,SN1507
2015-04-15,SN.SHF,129884.46458668199,131895.1315651591,129792.02012790143,131560.02040207956,2066.0,234552980.0,113840,2,113950,1,846.0,SN1507
2015-04-16,SN.SHF,130808.90917448756,131386.68704186604,128278.24211536982,130439.13133936533,1933.0,218003740.0,112880,1,113000,1,981.0,SN1507
2015-04-17,SN.SHF,130589.35358488373,130589.35358488373,126302.24180893542,127111.1308232653,5661.0,628993710.0,110000,6,110020,1,1792.0,SN1507
2015-04-20,SN.SHF,129422.2422927792,130531.57579814589,128405.35324619309,128775.13108131531,5259.0,588219150.0,111360,3,111440,1,1328.0,SN1507
2015-04-21,SN.SHF,129237.3533752181,129283.57560460837,128382.24213149794,128902.24221213858,1717.0,191393990.0,111530,1,111600,38,1482.0,SN1507
2015-04-22,SN.SHF,129641.79788238303,131074.68699348165,129641.79788238303,130508.46468345074,2935.0,331273450.0,112940,4,112950,1,1369.0,SN1507
2015-04-23,SN.SHF,131040.02032143895,131456.02038595144,130531.57579814589,130924.46474796325,1655.0,187726650.0,113230,1,113380,4,1234.0,SN1507
2015-04-24,SN.SHF,130982.2425347011,131675.5759755553,130288.90909384693,131664.0204182077,1044.0,118420920.0,113940,3,113950,3,1263.0,SN1507
2015-04-27,SN.SHF,132195.57605619592,136309.35447193068,132195.57605619592,136309.35447193068,8497.0,990155410.0,117960,8,0,0,1548.0,SN1507
2015-04-28,SN.SHF,136320.91002927825,136991.13235543726,134622.24309918552,135662.24326046678,15990.0,1882662600.0,117400,1,117460,1,2226.0,SN1507
2015-04-29,SN.SHF,135361.79876942997,136032.021095589,133016.02062787334,133316.46511891016,5314.0,620781480.0,115370,84,115380,13,2319.0,SN1507
2015-04-30,SN.SHF,134044.46523180703,138551.13259735916,132946.68728378793,135939.57663680846,8891.0,1043447760.0,117630,5,117640,3,2789.0,SN1507
2015-05-04,SN.SHF,135616.0210310765,138112.02141815153,135616.0210310765,137280.0212891265,4412.0,524277960.0,118800,4,118870,1,3036.0,SN1507
2015-05-05,SN.SHF,137511.1324360779,138412.46590918832,136355.57670132094,137141.35460095567,6495.0,772385400.0,118680,32,118720,1,3196.0,SN1507
2015-05-06,SN.SHF,138262.24366366994,142907.5777173929,138088.9103034564,142595.57766900852,16334.0,1993238020.0,123380,8,123400,5,4300.0,SN1507
2015-05-07,SN.SHF,142480.02209553283,145496.0225632485,140400.0217729703,141012.46631239148,25802.0,3195835720.0,122020,1,122130,2,3803.0,SN1507
2015-05-08,SN.SHF,141786.68865467864,142087.13314571546,138689.79928553,140238.24397010432,11035.0,1338655850.0,121290,2,121360,1,3672.0,SN1507
2015-05-11,SN.SHF,139695.13277476857,141775.13309733107,139487.1327425123,141440.02193425156,6912.0,840983040.0,122350,9,122410,1,3790.0,SN1507
2015-05-12,SN.SHF,139937.79947906753,140896.9107389158,138308.4658930602,138632.02149879216,8621.0,1043313420.0,119960,6,119970,4,3751.0,SN1507
2015-05-13,SN.SHF,139591.13275864042,139937.79947906753,138666.68817083485,139475.57718516473,5209.0,628101220.0,120690,1,120700,8,3578.0,SN1507
2015-05-14,SN.SHF,139475.57718516473,141532.4663930321,136124.46555436956,138088.9103034564,15643.0,1884355780.0,119500,2,119580,2,3611.0,SN1507
2015-05-15,SN.SHF,137730.68802568174,138296.91033571263,137060.4656995227,137626.68800955362,5500.0,655435000.0,119080,36,119110,1,3698.0,SN1507
2015-05-18,SN.SHF,137152.91015830325,138597.35482674945,136390.24337336366,137800.02136976714,5854.0,698850520.0,119250,6,119260,1,3649.0,SN1507
2015-05-19,SN.SHF,138112.02141815153,138262.24366366994,136436.46560275395,136517.35450418692,3786.0,450231120.0,118130,2,118140,2,3366.0,SN1507
2015-05-20,SN.SHF,135997.3544235463,136309.35447193068,131918.24267985424,133871.1318715935,13800.0,1598592000.0,115850,1,115910,1,3061.0,SN1507
2015-05-21,SN.SHF,134448.90973897197,139128.91046473765,133143.1317586966,137730.68802568174,19088.0,2258873920.0,119180,6,119190,2,3458.0,SN1507
2015-05-22,SN.SHF,138088.9103034564,138354.6881224505,135084.4653930883,136332.46558662583,11988.0,1422376200.0,117980,5,118000,8,3316.0,SN1507
2015-05-25,SN.SHF,135396.46544147268,138435.57702388347,134968.9098196126,135881.7988500706,12867.0,1526283540.0,117580,4,117600,3,3422.0,SN1507
2015-05-26,SN.SHF,135893.35440741817,138169.79920488936,135893.35440741817,136667.57674970533,9401.0,1117402860.0,118230,1,118280,4,3324.0,SN1507
2015-05-27,SN.SHF,134922.6875902223,135858.68773537545,134275.57637875841,134691.57644327093,8932.0,1043882840.0,116510,15,116590,7,3550.0,SN1507
