time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2015-03-30,SN1507,119270,119530,115600,118080,1234.0,145266480.0,117720,1,118120,1,415.0,117720,119270.0,1.0
2015-03-31,SN1507,117650,119800,115960,118160,2261.0,266323190.0,117900,9,118180,1,588.0,117790,118080.0,1.0
2015-04-01,SN1507,118020,118880,117070,117910,2187.0,258678360.0,117910,1,117970,1,636.0,118280,118160.0,1.0
2015-04-02,SN1507,117970,119080,117970,118620,1358.0,160977320.0,118650,1,118740,1,519.0,118540,117910.0,1.0
2015-04-03,SN1507,118810,119470,118560,118850,695.0,82670250.0,118770,1,118860,1,500.0,118950,118620.0,1.0
2015-04-07,SN1507,118890,119090,118270,118860,424.0,50299120.0,118790,1,118960,1,452.0,118630,118850.0,1.0
2015-04-08,SN1507,118710,118890,117150,117870,424.0,50116800.0,117820,1,117900,10,375.0,118200,118860.0,1.0
2015-04-09,SN1507,117570,117980,116500,116790,408.0,47813520.0,116680,2,116800,3,401.0,117190,117870.0,1.0
2015-04-10,SN1507,116500,116980,115320,115990,1209.0,140074740.0,115800,1,116060,1,458.0,115860,116790.0,1.0
2015-04-13,SN1507,115960,116290,115270,115940,814.0,94220500.0,115800,1,115950,1,504.0,115750,115990.0,1.0
2015-04-14,SN1507,115550,115650,112300,112300,2794.0,317621920.0,112300,2,112320,5,947.0,113680,115940.0,1.0
2015-04-15,SN1507,112400,114140,112320,113850,2066.0,234552980.0,113840,2,113950,1,846.0,113530,112300.0,1.0
2015-04-16,SN1507,113200,113700,111010,112880,1933.0,218003740.0,112880,1,113000,1,981.0,112780,113850.0,1.0
2015-04-17,SN1507,113010,113010,109300,110000,5661.0,628993710.0,110000,6,110020,1,1792.0,111110,112880.0,1.0
2015-04-20,SN1507,112000,112960,111120,111440,5259.0,588219150.0,111360,3,111440,1,1328.0,111850,110000.0,1.0
2015-04-21,SN1507,111840,111880,111100,111550,1717.0,191393990.0,111530,1,111600,38,1482.0,111470,111440.0,1.0
2015-04-22,SN1507,112190,113430,112190,112940,2935.0,331273450.0,112940,4,112950,1,1369.0,112870,111550.0,1.0
2015-04-23,SN1507,113400,113760,112960,113300,1655.0,187726650.0,113230,1,113380,4,1234.0,113430,112940.0,1.0
2015-04-24,SN1507,113350,113950,112750,113940,1044.0,118420920.0,113940,3,113950,3,1263.0,113430,113300.0,1.0
2015-04-27,SN1507,114400,117960,114400,117960,8497.0,990155410.0,117960,8,0,0,1548.0,116530,113940.0,1.0
2015-04-28,SN1507,117970,118550,116500,117400,15990.0,1882662600.0,117400,1,117460,1,2226.0,117740,117960.0,1.0
2015-04-29,SN1507,117140,117720,115110,115370,5314.0,620781480.0,115370,84,115380,13,2319.0,116820,117400.0,1.0
2015-04-30,SN1507,116000,119900,115050,117640,8891.0,1043447760.0,117630,5,117640,3,2789.0,117360,115370.0,1.0
2015-05-04,SN1507,117360,119520,117360,118800,4412.0,524277960.0,118800,4,118870,1,3036.0,118830,117640.0,1.0
2015-05-05,SN1507,119000,119780,118000,118680,6495.0,772385400.0,118680,32,118720,1,3196.0,118920,118800.0,1.0
2015-05-06,SN1507,119650,123670,119500,123400,16334.0,1993238020.0,123380,8,123400,5,4300.0,122030,118680.0,1.0
2015-05-07,SN1507,123300,125910,121500,122030,25802.0,3195835720.0,122020,1,122130,2,3803.0,123860,123400.0,1.0
2015-05-08,SN1507,122700,122960,120020,121360,11035.0,1338655850.0,121290,2,121360,1,3672.0,121310,122030.0,1.0
2015-05-11,SN1507,120890,122690,120710,122400,6912.0,840983040.0,122350,9,122410,1,3790.0,121670,121360.0,1.0
2015-05-12,SN1507,121100,121930,119690,119970,8621.0,1043313420.0,119960,6,119970,4,3751.0,121020,122400.0,1.0
2015-05-13,SN1507,120800,121100,120000,120700,5209.0,628101220.0,120690,1,120700,8,3578.0,120580,119970.0,1.0
2015-05-14,SN1507,120700,122480,117800,119500,15643.0,1884355780.0,119500,2,119580,2,3611.0,120460,120700.0,1.0
2015-05-15,SN1507,119190,119680,118610,119100,5500.0,655435000.0,119080,36,119110,1,3698.0,119170,119500.0,1.0
2015-05-18,SN1507,118690,119940,118030,119250,5854.0,698850520.0,119250,6,119260,1,3649.0,119380,119100.0,1.0
2015-05-19,SN1507,119520,119650,118070,118140,3786.0,450231120.0,118130,2,118140,2,3366.0,118920,119250.0,1.0
2015-05-20,SN1507,117690,117960,114160,115850,13800.0,1598592000.0,115850,1,115910,1,3061.0,115840,118140.0,1.0
2015-05-21,SN1507,116350,120400,115220,119190,19088.0,2258873920.0,119180,6,119190,2,3458.0,118340,115850.0,1.0
2015-05-22,SN1507,119500,119730,116900,117980,11988.0,1422376200.0,117980,5,118000,8,3316.0,118650,119190.0,1.0
2015-05-25,SN1507,117170,119800,116800,117590,12867.0,1526283540.0,117580,4,117600,3,3422.0,118620,117980.0,1.0
2015-05-26,SN1507,117600,119570,117600,118270,9401.0,1117402860.0,118230,1,118280,4,3324.0,118860,117590.0,1.0
2015-05-27,SN1507,116760,117570,116200,116560,8932.0,1043882840.0,116510,15,116590,7,3550.0,116870,118270.0,1.0
2015-05-28,SN1507,116010,117510,115720,116960,7621.0,889827960.0,116900,4,116960,1,3327.0,116760,116560.0,1.0
2015-05-29,SN1507,116900,116900,115680,116160,4488.0,522044160.0,116110,6,116210,5,3045.0,116320,116960.0,1.0
2015-06-01,SN1507,116090,116350,115630,116120,2183.0,253249830.0,116080,1,116210,1,2853.0,116010,116160.0,1.0
2015-06-02,SN1507,116120,117000,115780,116520,1940.0,225835400.0,116500,1,116530,5,2812.0,116410,116120.0,1.0
2015-06-03,SN1507,116740,116800,115020,115680,1653.0,192376140.0,115610,3,115620,1,2736.0,116380,116520.0,1.0
2015-06-04,SN1507,115330,115900,114500,114800,1626.0,187103820.0,114700,50,114850,1,2607.0,115070,115680.0,1.0
2015-06-05,SN1507,114640,114980,114260,114260,642.0,73553940.0,114260,3,114380,1,2609.0,114570,114800.0,1.0
2015-06-08,SN1507,113990,114940,113910,114700,1041.0,118986300.0,114630,1,114700,2,2564.0,114300,114260.0,1.0
2015-06-09,SN1507,114710,115600,114710,115080,1102.0,126851220.0,114900,18,115080,4,2556.0,115110,114700.0,1.0
2015-06-10,SN1507,115340,115550,114850,115440,617.0,71078400.0,115380,2,115450,1,2545.0,115200,115080.0,1.0
