time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2018-11-28,SP1906,5300,5314,5142,5184,513604.0,26820400880.0,5184,5,5186,18,50756.0,5222,5382.0,1.0
2018-11-29,SP1906,5160,5294,5122,5188,492754.0,25711903720.0,5186,7,5188,138,55416.0,5218,5184.0,1.0
2018-11-30,SP1906,5208,5220,5114,5148,448753.0,23191555040.0,5148,3,5150,381,67419.0,5168,5188.0,1.0
2018-12-03,SP1906,5158,5262,4970,4978,707798.0,35927826480.0,4976,198,4978,110,103967.0,5076,5148.0,1.0
2018-12-04,SP1906,4978,5114,4978,5058,564800.0,28443328000.0,5054,115,5060,272,94006.0,5036,4978.0,1.0
2018-12-05,SP1906,5060,5158,5040,5140,747159.0,38134995360.0,5140,139,5142,7,83246.0,5104,5058.0,1.0
2018-12-06,SP1906,5150,5264,5128,5132,810983.0,42106237360.0,5132,21,5134,164,86279.0,5192,5140.0,1.0
2018-12-07,SP1906,5112,5208,5086,5138,647521.0,33347331500.0,5138,6,5140,148,87746.0,5150,5132.0,1.0
2018-12-10,SP1906,5150,5224,5136,5166,547106.0,28351032920.0,5164,47,5166,491,87446.0,5182,5138.0,1.0
2018-12-11,SP1906,5160,5198,5074,5094,511056.0,26206951680.0,5094,15,5096,2,89463.0,5128,5166.0,1.0
2018-12-12,SP1906,5112,5152,5104,5138,299352.0,15350770560.0,5136,151,5138,139,80384.0,5128,5094.0,1.0
2018-12-13,SP1906,5146,5158,5094,5126,344968.0,17683059680.0,5126,169,5128,139,74358.0,5126,5138.0,1.0
2018-12-14,SP1906,5120,5164,5104,5132,287836.0,14771743520.0,5130,81,5132,130,70668.0,5132,5126.0,1.0
2018-12-17,SP1906,5110,5150,5108,5132,164445.0,8432739600.0,5130,257,5132,169,71341.0,5128,5132.0,1.0
2018-12-18,SP1906,5134,5162,5112,5126,147250.0,7559815000.0,5126,279,5128,1,72427.0,5134,5132.0,1.0
2018-12-19,SP1906,5124,5144,5032,5062,231305.0,11736415700.0,5062,74,5064,17,77452.0,5074,5126.0,1.0
2018-12-20,SP1906,5068,5082,5044,5066,101857.0,5156001340.0,5064,20,5066,189,73647.0,5062,5062.0,1.0
2018-12-21,SP1906,5072,5072,5028,5048,134932.0,6814066000.0,5046,375,5048,2,74368.0,5050,5066.0,1.0
2018-12-24,SP1906,5042,5064,4960,4982,197649.0,9906167880.0,4980,92,4982,22,90488.0,5012,5048.0,1.0
2018-12-25,SP1906,4982,5038,4966,5000,190299.0,9518755980.0,4998,2,5000,101,79976.0,5002,4982.0,1.0
2018-12-26,SP1906,4996,5012,4916,4938,236679.0,11701409760.0,4936,99,4938,119,85902.0,4944,5000.0,1.0
2018-12-27,SP1906,4950,4998,4940,4952,120875.0,6002652500.0,4950,114,4952,68,77630.0,4966,4938.0,1.0
2018-12-28,SP1906,4944,5058,4938,5048,104579.0,5212217360.0,5046,18,5048,3,67833.0,4984,4952.0,1.0
2019-01-02,SP1906,5044,5118,5010,5082,159870.0,8092619400.0,5080,29,5082,47,81279.0,5062,5048.0,1.0
2019-01-03,SP1906,5072,5108,5060,5082,123092.0,6257997280.0,5082,307,5084,131,77591.0,5084,5082.0,1.0
2019-01-04,SP1906,5084,5236,5072,5140,298668.0,15411268800.0,5138,185,5140,5,72931.0,5160,5082.0,1.0
