time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2006-02-06,SR.CZC,9923.338833904105,9923.338833904105,9882.03130753819,9923.338833904105,5796.0,361960200.0,0,0,0,0,14154.0,SR0605
2006-02-07,SR.CZC,9707.268695990088,9707.268695990088,9524.562329371616,9524.562329371616,2880.0,173692800.0,0,0,0,0,13669.0,SR0605
2006-02-08,SR.CZC,9006.6294987836,9006.6294987836,9006.6294987836,9006.6294987836,623.0,35317870.0,0,0,0,0,13356.0,SR0605
2006-02-09,SR.CZC,8936.72445416436,9341.855962753145,8738.130577405153,8976.443229516202,35809.0,2039680640.0,0,0,0,0,12879.0,SR0605
2006-02-10,SR.CZC,8687.290544954794,8873.174413601413,8687.290544954794,8687.290544954794,22465.0,1238270800.0,0,0,0,0,13519.0,SR0605
2006-02-13,SR.CZC,8547.480455716312,8623.740504391848,8380.661599238578,8433.090382703009,36661.0,1959163840.0,0,0,0,0,13205.0,SR0605
2006-02-14,SR.CZC,8531.592945575576,8650.7492716311,8510.939182392618,8631.684259462216,28430.0,1538347300.0,0,0,0,0,12871.0,SR0605
2006-02-15,SR.CZC,8611.030496279258,8690.468046982942,8557.012961800754,8580.84422701186,24801.0,1345950270.0,0,0,0,0,11664.0,SR0605
2006-02-16,SR.CZC,8563.367965857049,8631.684259462216,8504.584178336323,8522.060439491133,19953.0,1077462000.0,0,0,0,0,10569.0,SR0605
2006-02-17,SR.CZC,8420.380374590419,8482.341664139292,8236.085256957875,8388.605354308946,13744.0,723071840.0,0,0,0,0,8656.0,SR0605
2006-02-20,SR.CZC,8388.605354308946,8506.172929350398,8350.475329971177,8480.752913125218,8107.0,431859890.0,0,0,0,0,7402.0,SR0605
2006-02-21,SR.CZC,8561.333749338133,8681.44480708946,8415.376008273231,8667.761268864624,22391.0,1257926380.0,0,0,0,0,9597.0,SR0609
2006-02-22,SR.CZC,8666.240875728532,8838.04530010701,8614.54750910138,8768.107215846745,48136.0,2771189520.0,0,0,0,0,12948.0,SR0609
2006-02-23,SR.CZC,8894.299846142441,8939.911640225222,8614.54750910138,8635.833013006677,53186.0,3074682660.0,0,0,0,0,12869.0,SR0609
2006-02-24,SR.CZC,8436.661512178529,8559.813356202041,8436.661512178529,8438.181905314623,34428.0,1920738120.0,0,0,0,0,11751.0,SR0609
2006-02-27,SR.CZC,8506.599596438795,8506.599596438795,8255.734728983496,8257.255122119588,36805.0,2029427700.0,0,0,0,0,12771.0,SR0609
2006-02-28,SR.CZC,8047.440869338792,8106.7362016464085,8047.440869338792,8047.440869338792,18840.0,999085200.0,0,0,0,0,9414.0,SR0609
2006-03-01,SR.CZC,8134.103278096078,8193.398610403694,7814.820719516606,7830.0246508775335,50338.0,2659859920.0,0,0,0,0,12772.0,SR0609
2006-03-02,SR.CZC,7799.6167881556785,8047.440869338792,7792.014822475216,8021.594186025216,53875.0,2811736250.0,0,0,0,0,11643.0,SR0609
2006-03-03,SR.CZC,8029.19615170568,8111.297381054687,7989.665930167268,8103.695415374224,55292.0,2929923080.0,0,0,0,0,11299.0,SR0609
2006-03-06,SR.CZC,8132.582884959985,8188.837430995416,8029.19615170568,8091.532270285481,52554.0,2807960220.0,0,0,0,0,11574.0,SR0609
2006-03-07,SR.CZC,8170.592713362303,8205.561755492436,7924.289025315282,7950.135708628859,71874.0,3812915700.0,0,0,0,0,13746.0,SR0609
2006-03-08,SR.CZC,7906.044307682169,7930.370597859653,7754.004994072898,7779.851677386472,59124.0,3043703520.0,0,0,0,0,14068.0,SR0609
2006-03-09,SR.CZC,7681.026123540446,7857.391727327202,7636.934722593757,7831.5450440136265,68395.0,3497720300.0,0,0,0,0,14198.0,SR0609
2006-03-10,SR.CZC,7754.004994072898,7842.187795966274,7693.189268629187,7763.127352889453,76980.0,3938296800.0,0,0,0,0,14636.0,SR0609
2006-03-13,SR.CZC,7826.983864605347,7826.983864605347,7738.80106271197,7767.688532297731,43079.0,2205644800.0,0,0,0,0,14876.0,SR0609
2006-03-14,SR.CZC,7802.657574427863,7810.259540108327,7681.026123540446,7697.750448037466,39667.0,2020240310.0,0,0,0,0,15677.0,SR0609
2006-03-15,SR.CZC,7674.944550996075,7749.443814664618,7658.220226499056,7685.587302948724,47524.0,2408516320.0,0,0,0,0,15816.0,SR0609
2006-03-16,SR.CZC,7708.393199990114,7825.463471469254,7677.98533726826,7819.381898924884,66709.0,3402159000.0,0,0,0,0,17841.0,SR0609
2006-03-17,SR.CZC,7796.576001883493,7959.258067445414,7760.086566617268,7934.931777267931,71546.0,3686765380.0,0,0,0,0,18703.0,SR0609
2006-03-20,SR.CZC,7890.840376321242,7982.063964486805,7687.107696084817,7725.117524487135,93780.0,4823105400.0,0,0,0,0,18002.0,SR0609
2006-03-21,SR.CZC,7754.004994072898,7817.861505788791,7682.546516676539,7769.208925433824,80712.0,4117926240.0,0,0,0,0,17232.0,SR0609
