time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,SR0605,6246,6246,6220,6246,5796.0,361960200.0,0,0,0,0,14154.0,6245,6030.0,1.0
2006-02-07,SR0605,6110,6110,5995,5995,2880.0,173692800.0,0,0,0,0,13669.0,6031,6246.0,1.0
2006-02-08,SR0605,5669,5669,5669,5669,623.0,35317870.0,0,0,0,0,13356.0,5669,5995.0,1.0
2006-02-09,SR0605,5625,5880,5500,5650,35809.0,2039680640.0,0,0,0,0,12879.0,5696,5669.0,1.0
2006-02-10,SR0605,5468,5585,5468,5468,22465.0,1238270800.0,0,0,0,0,13519.0,5512,5650.0,1.0
2006-02-13,SR0605,5380,5428,5275,5308,36661.0,1959163840.0,0,0,0,0,13205.0,5344,5468.0,1.0
2006-02-14,SR0605,5370,5445,5357,5433,28430.0,1538347300.0,0,0,0,0,12871.0,5411,5308.0,1.0
2006-02-15,SR0605,5420,5470,5386,5401,24801.0,1345950270.0,0,0,0,0,11664.0,5427,5433.0,1.0
2006-02-16,SR0605,5390,5433,5353,5364,19953.0,1077462000.0,0,0,0,0,10569.0,5400,5401.0,1.0
2006-02-17,SR0605,5300,5339,5184,5280,13744.0,723071840.0,0,0,0,0,8656.0,5261,5364.0,1.0
2006-02-20,SR0605,5280,5354,5256,5338,8107.0,431859890.0,0,0,0,0,7402.0,5327,5280.0,1.0
2006-02-21,SR0609,5631,5710,5535,5701,22391.0,1257926380.0,0,0,0,0,9597.0,5618,5578.0,0.9569738257439943
2006-02-22,SR0609,5700,5813,5666,5767,48136.0,2771189520.0,0,0,0,0,12948.0,5757,5701.0,0.9569738257439943
2006-02-23,SR0609,5850,5880,5666,5680,53186.0,3074682660.0,0,0,0,0,12869.0,5781,5767.0,0.9569738257439943
2006-02-24,SR0609,5549,5630,5549,5550,34428.0,1920738120.0,0,0,0,0,11751.0,5579,5680.0,0.9569738257439943
2006-02-27,SR0609,5595,5595,5430,5431,36805.0,2029427700.0,0,0,0,0,12771.0,5514,5550.0,0.9569738257439943
2006-02-28,SR0609,5293,5332,5293,5293,18840.0,999085200.0,0,0,0,0,9414.0,5303,5431.0,0.9569738257439943
2006-03-01,SR0609,5350,5389,5140,5150,50338.0,2659859920.0,0,0,0,0,12772.0,5284,5293.0,0.9569738257439943
2006-03-02,SR0609,5130,5293,5125,5276,53875.0,2811736250.0,0,0,0,0,11643.0,5219,5150.0,0.9569738257439943
2006-03-03,SR0609,5281,5335,5255,5330,55292.0,2929923080.0,0,0,0,0,11299.0,5299,5276.0,0.9569738257439943
2006-03-06,SR0609,5349,5386,5281,5322,52554.0,2807960220.0,0,0,0,0,11574.0,5343,5330.0,0.9569738257439943
2006-03-07,SR0609,5374,5397,5212,5229,71874.0,3812915700.0,0,0,0,0,13746.0,5305,5322.0,0.9569738257439943
2006-03-08,SR0609,5200,5216,5100,5117,59124.0,3043703520.0,0,0,0,0,14068.0,5148,5229.0,0.9569738257439943
2006-03-09,SR0609,5052,5168,5023,5151,68395.0,3497720300.0,0,0,0,0,14198.0,5114,5117.0,0.9569738257439943
2006-03-10,SR0609,5100,5158,5060,5106,76980.0,3938296800.0,0,0,0,0,14636.0,5116,5151.0,0.9569738257439943
2006-03-13,SR0609,5148,5148,5090,5109,43079.0,2205644800.0,0,0,0,0,14876.0,5120,5106.0,0.9569738257439943
2006-03-14,SR0609,5132,5137,5052,5063,39667.0,2020240310.0,0,0,0,0,15677.0,5093,5109.0,0.9569738257439943
2006-03-15,SR0609,5048,5097,5037,5055,47524.0,2408516320.0,0,0,0,0,15816.0,5068,5063.0,0.9569738257439943
2006-03-16,SR0609,5070,5147,5050,5143,66709.0,3402159000.0,0,0,0,0,17841.0,5100,5055.0,0.9569738257439943
2006-03-17,SR0609,5128,5235,5104,5219,71546.0,3686765380.0,0,0,0,0,18703.0,5153,5143.0,0.9569738257439943
2006-03-20,SR0609,5190,5250,5056,5081,93780.0,4823105400.0,0,0,0,0,18002.0,5143,5219.0,0.9569738257439943
2006-03-21,SR0609,5100,5142,5053,5110,80712.0,4117926240.0,0,0,0,0,17232.0,5102,5081.0,0.9569738257439943
2006-03-22,SR0609,5158,5229,5155,5210,81465.0,4233736050.0,0,0,0,0,19313.0,5197,5110.0,0.9569738257439943
2006-03-23,SR0609,5169,5179,5120,5146,49718.0,2561968540.0,0,0,0,0,17748.0,5153,5210.0,0.9569738257439943
2006-03-24,SR0609,5162,5198,5158,5174,29429.0,1524127910.0,0,0,0,0,16410.0,5179,5146.0,0.9569738257439943
2006-03-27,SR0609,5221,5238,5165,5175,20623.0,1070127470.0,0,0,0,0,15881.0,5189,5174.0,0.9569738257439943
2006-03-28,SR0609,5201,5217,5103,5122,20761.0,1068153450.0,0,0,0,0,14873.0,5145,5175.0,0.9569738257439943
2006-03-29,SR0609,5166,5185,5117,5124,18106.0,931734760.0,0,0,0,0,14167.0,5146,5122.0,0.9569738257439943
2006-03-30,SR0701,5110,5113,5048,5050,54955.0,2788966250.0,0,0,0,0,13362.0,5075,5104.0,0.9607237231802953
2006-03-31,SR0701,5060,5083,5026,5071,44719.0,2261439830.0,0,0,0,0,13613.0,5057,5050.0,0.9607237231802953
2006-04-03,SR0701,5027,5040,4890,4911,53700.0,2659224000.0,0,0,0,0,13913.0,4952,5071.0,0.9607237231802953
2006-04-04,SR0701,4950,4985,4922,4964,52995.0,2624842350.0,0,0,0,0,15014.0,4953,4911.0,0.9607237231802953
2006-04-05,SR0701,4912,4924,4779,4822,53212.0,2579717760.0,0,0,0,0,17011.0,4848,4964.0,0.9607237231802953
2006-04-06,SR0701,4828,4860,4798,4840,46397.0,2241903040.0,0,0,0,0,16914.0,4832,4822.0,0.9607237231802953
2006-04-07,SR0701,4830,4850,4805,4816,24682.0,1191400140.0,0,0,0,0,17011.0,4827,4840.0,0.9607237231802953
2006-04-10,SR0701,4718,4735,4637,4644,35298.0,1650534480.0,0,0,0,0,17501.0,4676,4816.0,0.9607237231802953
2006-04-11,SR0701,4620,4676,4618,4670,33805.0,1571594450.0,0,0,0,0,16593.0,4649,4644.0,0.9607237231802953
2006-04-12,SR0701,4668,4750,4653,4737,38796.0,1826903640.0,0,0,0,0,17324.0,4709,4670.0,0.9607237231802953
2006-04-13,SR0701,4698,4698,4574,4586,48055.0,2216777150.0,0,0,0,0,17801.0,4613,4737.0,0.9607237231802953
2006-04-14,SR0701,4555,4571,4511,4518,43730.0,1984467400.0,0,0,0,0,16882.0,4538,4586.0,0.9607237231802953
2006-04-17,SR0701,4495,4585,4428,4571,63289.0,2858764130.0,0,0,0,0,18517.0,4517,4518.0,0.9607237231802953
2006-04-18,SR0701,4615,4698,4568,4698,43871.0,2037369240.0,0,0,0,0,19283.0,4644,4571.0,0.9607237231802953
2006-04-19,SR0701,4897,4900,4820,4875,44894.0,2184093100.0,0,0,0,0,18640.0,4865,4698.0,0.9607237231802953
2006-04-20,SR0701,4811,4826,4755,4760,43982.0,2103219240.0,0,0,0,0,19284.0,4782,4875.0,0.9607237231802953
2006-04-21,SR0701,4660,4680,4595,4617,42382.0,1970339180.0,0,0,0,0,20077.0,4649,4760.0,0.9607237231802953
2006-04-24,SR0701,4672,4835,4672,4769,81082.0,3865989760.0,0,0,0,0,23038.0,4768,4617.0,0.9607237231802953
2006-04-25,SR0701,4667,4766,4650,4702,86567.0,4084231060.0,0,0,0,0,22927.0,4718,4769.0,0.9607237231802953
