time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2019-09-26,SS.SHF,14851.443971161207,15204.481829775383,14837.131625541713,14985.025863609815,53364.0,4193076300.0,15700,52,15705,13,9684.0,SS2002
2019-09-27,SS.SHF,14994.567427356144,15075.670719199941,14865.7563167807,15004.108991102472,14167.0,1110338625.0,15720,1,15725,2,7952.0,SS2002
2019-09-30,SS.SHF,15013.650554848802,15066.129155453611,14918.234917385511,14980.25508173665,7757.0,608730575.0,15690,5,15695,7,7295.0,SS2002
2019-10-08,SS.SHF,14913.464135512346,15075.670719199941,14832.360843668548,14956.401172370826,3700.0,289432500.0,15660,1,15675,10,7307.0,SS2002
2019-10-09,SS.SHF,14913.464135512346,14975.484299863485,14913.464135512346,14956.401172370826,2449.0,191817925.0,15655,1,15670,2,7250.0,SS2002
2019-10-10,SS.SHF,14965.942736117157,15166.315574790067,14884.839444273359,15042.27524608779,5783.0,453676350.0,15765,1,15770,26,7643.0,SS2002
2019-10-11,SS.SHF,15075.670719199941,15075.670719199941,14985.025863609815,15023.19211859513,3957.0,311514825.0,15730,1,15745,4,7327.0,SS2002
2019-10-14,SS.SHF,15051.816809834118,15104.295410438928,15013.650554848802,15042.27524608779,4921.0,388143875.0,15765,26,15770,3,7387.0,SS2002
2019-10-15,SS.SHF,15013.650554848802,15094.753846692598,14469.781421308044,14732.174424332094,11535.0,895692750.0,15435,8,15445,1,7385.0,SS2002
2019-10-16,SS.SHF,14698.778951219942,14870.527098653865,14698.778951219942,14779.88224306374,4900.0,379750000.0,15480,1,15490,6,7031.0,SS2002
2019-10-17,SS.SHF,14756.028333697916,14798.965370556398,14422.073602576398,14484.093766927537,10988.0,839208500.0,15170,1,15180,3,7433.0,SS2002
2019-10-18,SS.SHF,14479.322985054374,14546.113931278676,14111.972780820704,14331.428746986272,13475.0,1012646250.0,15015,2,15020,66,8084.0,SS2002
2019-10-21,SS.SHF,14484.093766927537,14503.176894420196,14007.015579611083,14169.222163298678,12463.0,928493500.0,14850,1,14855,1,8806.0,SS2002
2019-10-22,SS.SHF,14169.222163298678,14293.262492000957,14092.889653328046,14212.159200157159,5152.0,382664800.0,14885,2,14895,1,9094.0,SS2002
2019-10-23,SS.SHF,14255.09623701564,14455.46907568855,14159.68059955235,14288.491710127792,8766.0,655477650.0,14975,19,14985,1,8653.0,SS2002
2019-10-24,SS.SHF,14288.491710127792,14436.385948195892,14255.09623701564,14317.116401366779,5898.0,443824500.0,15000,36,15010,1,8500.0,SS2002
2019-10-25,SS.SHF,14369.59500197159,14388.678129464248,14135.826690186526,14274.179364508298,6797.0,507396050.0,14960,1,14965,14,8562.0,SS2002
2019-10-28,SS.SHF,14274.179364508298,14374.365783844753,14173.992945171844,14317.116401366779,4796.0,358381100.0,14995,15,15010,1,8201.0,SS2002
2019-10-29,SS.SHF,14374.365783844753,14527.030803786018,14278.950146381463,14336.199528859437,6973.0,525764200.0,15020,6,15030,3,7953.0,SS2002
2019-10-30,SS.SHF,14331.428746986272,14374.365783844753,14278.950146381463,14374.365783844753,2732.0,205173200.0,15050,2,15065,1,7869.0,SS2002
2019-10-31,SS.SHF,14422.073602576398,14422.073602576398,14240.783891396146,14298.03327387412,3306.0,248197950.0,14985,2,15000,10,7992.0,SS2002
2019-11-01,SS.SHF,14302.804055747285,14312.345619493615,14169.222163298678,14312.345619493615,4185.0,312201000.0,14990,3,15000,11,8115.0,SS2002
2019-11-04,SS.SHF,14269.408582635133,14317.116401366779,14264.63780076197,14288.491710127792,2316.0,173352600.0,14970,1,14975,29,8083.0,SS2002
2019-11-05,SS.SHF,14274.179364508298,14312.345619493615,14193.0760726645,14226.471545776652,4086.0,304917750.0,14910,8,14920,1,8152.0,SS2002
2019-11-06,SS.SHF,14226.471545776652,14288.491710127792,14183.534508918172,14245.554673269311,4074.0,303920400.0,14930,4,14945,10,7982.0,SS2002
2019-11-07,SS.SHF,14269.408582635133,14278.950146381463,14169.222163298678,14236.013109522983,4067.0,303194850.0,14920,1,14930,1,7679.0,SS2002
2019-11-08,SS.SHF,14255.09623701564,14255.09623701564,14097.660435201211,14102.431217074374,3960.0,293931000.0,14775,8,14780,1,7522.0,SS2002
2019-11-11,SS.SHF,14088.11887145488,14102.431217074374,13549.020519787287,13558.562083533618,19583.0,1410465575.0,14210,2,14215,86,9674.0,SS2002
2019-11-12,SS.SHF,13553.791301660453,13763.705704079692,13520.3958285483,13725.539449094376,10780.0,769961500.0,14360,1,14390,7,9852.0,SS2002
2019-11-13,SS.SHF,13687.37319410906,13816.184304684502,13596.728338518933,13701.685539728553,5763.0,413783400.0,14345,2,14350,59,10191.0,SS2002
2019-11-14,SS.SHF,13692.143975982224,13768.476485952857,13615.811466011592,13711.227103474883,4621.0,331441225.0,14365,4,14385,1,9868.0,SS2002
2019-11-15,SS.SHF,13706.456321601718,13778.018049699185,13549.020519787287,13715.997885348048,7340.0,525177000.0,14365,3,14370,1,9774.0,SS2002
2019-11-18,SS.SHF,13715.997885348048,13744.622576587035,13467.917227943492,13644.436157250579,8986.0,639353900.0,14285,4,14300,2,10079.0,SS2002
2019-11-19,SS.SHF,13553.791301660453,13840.038214050324,13553.791301660453,13720.768667221211,8602.0,618483800.0,14380,17,14400,6,9460.0,SS2002
2019-11-20,SS.SHF,13720.768667221211,13820.955086557668,13677.83163036273,13754.164140333363,5624.0,405490400.0,14400,5,14415,20,8945.0,SS2002
2019-11-21,SS.SHF,13739.85179471387,13744.622576587035,13606.269902265263,13715.997885348048,6027.0,431985225.0,14365,17,14375,1,8402.0,SS2002
2019-11-22,SS.SHF,13758.934922206528,13911.599942147794,13658.748502870072,13863.892123416148,8678.0,628504150.0,14515,7,14530,3,8393.0,SS2002
2019-11-25,SS.SHF,13873.433687162476,13925.912287767287,13792.33039531868,13859.121341542983,4035.0,293243625.0,14515,13,14535,3,8431.0,SS2002
2019-11-26,SS.SHF,13887.74603278197,13897.2875965283,13696.91475785539,13711.227103474883,4936.0,356502600.0,14365,16,14375,3,7688.0,SS2002
2019-11-27,SS.SHF,13701.685539728553,13720.768667221211,13534.708174167794,13568.103647279946,7074.0,504729900.0,14210,15,14220,1,7915.0,SS2002
2019-11-28,SS.SHF,13568.103647279946,13606.269902265263,13448.834100450833,13463.146446070326,5331.0,377701350.0,14100,27,14120,2,8581.0,SS2002
