time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2019-09-26,SS2002,15565,15935,15550,15705,53364.0,4193076300.0,15700,52,15705,13,9684.0,15715,15575.0,1.0
2019-09-27,SS2002,15715,15800,15580,15725,14167.0,1110338625.0,15720,1,15725,2,7952.0,15675,15705.0,1.0
2019-09-30,SS2002,15735,15790,15635,15700,7757.0,608730575.0,15690,5,15695,7,7295.0,15695,15725.0,1.0
2019-10-08,SS2002,15630,15800,15545,15675,3700.0,289432500.0,15660,1,15675,10,7307.0,15645,15700.0,1.0
2019-10-09,SS2002,15630,15695,15630,15675,2449.0,191817925.0,15655,1,15670,2,7250.0,15665,15675.0,1.0
2019-10-10,SS2002,15685,15895,15600,15765,5783.0,453676350.0,15765,1,15770,26,7643.0,15690,15675.0,1.0
2019-10-11,SS2002,15800,15800,15705,15745,3957.0,311514825.0,15730,1,15745,4,7327.0,15745,15765.0,1.0
2019-10-14,SS2002,15775,15830,15735,15765,4921.0,388143875.0,15765,26,15770,3,7387.0,15775,15745.0,1.0
2019-10-15,SS2002,15735,15820,15165,15440,11535.0,895692750.0,15435,8,15445,1,7385.0,15530,15765.0,1.0
2019-10-16,SS2002,15405,15585,15405,15490,4900.0,379750000.0,15480,1,15490,6,7031.0,15500,15440.0,1.0
2019-10-17,SS2002,15465,15510,15115,15180,10988.0,839208500.0,15170,1,15180,3,7433.0,15275,15490.0,1.0
2019-10-18,SS2002,15175,15245,14790,15020,13475.0,1012646250.0,15015,2,15020,66,8084.0,15030,15180.0,1.0
2019-10-21,SS2002,15180,15200,14680,14850,12463.0,928493500.0,14850,1,14855,1,8806.0,14900,15020.0,1.0
2019-10-22,SS2002,14850,14980,14770,14895,5152.0,382664800.0,14885,2,14895,1,9094.0,14855,14850.0,1.0
2019-10-23,SS2002,14940,15150,14840,14975,8766.0,655477650.0,14975,19,14985,1,8653.0,14955,14895.0,1.0
2019-10-24,SS2002,14975,15130,14940,15005,5898.0,443824500.0,15000,36,15010,1,8500.0,15050,14975.0,1.0
2019-10-25,SS2002,15060,15080,14815,14960,6797.0,507396050.0,14960,1,14965,14,8562.0,14930,15005.0,1.0
2019-10-28,SS2002,14960,15065,14855,15005,4796.0,358381100.0,14995,15,15010,1,8201.0,14945,14960.0,1.0
2019-10-29,SS2002,15065,15225,14965,15025,6973.0,525764200.0,15020,6,15030,3,7953.0,15080,15005.0,1.0
2019-10-30,SS2002,15020,15065,14965,15065,2732.0,205173200.0,15050,2,15065,1,7869.0,15020,15025.0,1.0
2019-10-31,SS2002,15115,15115,14925,14985,3306.0,248197950.0,14985,2,15000,10,7992.0,15015,15065.0,1.0
2019-11-01,SS2002,14990,15000,14850,15000,4185.0,312201000.0,14990,3,15000,11,8115.0,14920,14985.0,1.0
2019-11-04,SS2002,14955,15005,14950,14975,2316.0,173352600.0,14970,1,14975,29,8083.0,14970,15000.0,1.0
