time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2015-03-23,T.CFE,88.02497874347812,88.02497874347812,87.79379928439592,87.95698478492453,1386,1343865600.0,96.94,1,97.02,1,1682,T1509
2015-03-24,T.CFE,88.06124218804004,88.1383020077341,87.82552979838759,87.86632617351974,1380,1337358000.0,96.92,4,96.93,1,2102,T1509
2015-03-25,T.CFE,87.95698478492453,87.96605064606501,87.72127239527208,87.80286514553639,1234,1195005600.0,96.845,3,96.85,2,2484,T1509
2015-03-26,T.CFE,87.78926635382567,87.8391285900983,87.36770381079342,87.36770381079342,1073,1034586600.0,96.37,8,96.39,1,3014,T1509
2015-03-27,T.CFE,87.30424278281006,87.49462586676012,87.01413522631475,87.47649414447915,1792,1727040000.0,96.48,14,96.49,2,3577,T1509
2015-03-30,T.CFE,87.0911950460088,87.39490139421486,87.0322669485957,87.17732072684335,1153,1107917700.0,96.1,4,96.165,1,3869,T1509
2015-03-31,T.CFE,86.85094972578612,86.94160833719091,86.63790198898486,86.71496180867895,2327,2227171700.0,95.58,1,95.675,2,4666,T1509
2015-04-01,T.CFE,86.72402766981942,87.11839262943025,86.71949473924919,87.11839262943025,673,646012700.0,96.05,1,96.095,1,4551,T1509
2015-04-02,T.CFE,87.30424278281006,87.41756604706605,87.21358417140527,87.322374505091,1011,973491900.0,96.32,1,96.33,34,4613,T1509
2015-04-03,T.CFE,87.31784157452077,87.37223674136365,87.03679987916594,87.04133280973618,1099,1056029100.0,96.005,1,96.06,1,5095,T1509
2015-04-07,T.CFE,87.03679987916594,87.31330864395053,86.85094972578612,86.96880592061235,831,797593800.0,95.93,2,95.94,1,5425,T1509
2015-04-08,T.CFE,87.0322669485957,87.12292556000048,86.24353702937404,86.27073461279548,2904,2765479200.0,95.17,1,95.195,1,6620,T1509
2015-04-09,T.CFE,86.39765666876218,86.48831528016699,86.30246512678715,86.36592615477052,1389,1322883599.9999998,95.265,1,95.27,4,7335,T1509
2015-04-10,T.CFE,86.44298597446458,86.50191407187769,86.27980047393596,86.29793219621692,1073,1021603300.0,95.18,10,95.185,1,7739,T1509
2015-04-13,T.CFE,86.28886633507645,86.74215939210039,86.28886633507645,86.69683008639798,1895,1811999000.0,95.61,2,95.625,5,8872,T1509
2015-04-14,T.CFE,86.76029111438135,87.0322669485957,86.6061714749932,86.6424349195551,1718,1644641400.0000002,95.54,5,95.565,1,9475,T1509
2015-04-15,T.CFE,86.94160833719091,87.29064399109934,86.82828507293493,87.16825486570288,2148,2062939200.0,96.1,2,96.165,4,9687,T1509
2015-04-16,T.CFE,87.69860774242089,87.69860774242089,86.90534489262899,87.19545244912432,1436,1381073000.0,96.165,11,96.195,1,10198,T1509
2015-04-17,T.CFE,87.20451831026479,87.48556000561963,87.07759625429809,87.30424278281006,1613,1553077049.9999998,96.27,1,96.31,3,10810,T1509
2015-04-20,T.CFE,88.02951167404835,88.18816424400674,87.63967964500777,88.16549959115554,3213,3123196650.0,97.25,1,97.255,1,11137,T1509
2015-04-21,T.CFE,88.2062959662877,88.80010987098905,88.17456545229602,88.29242164712224,4962,4836957600.0,97.39,3,97.4,24,12128,T1509
2015-04-22,T.CFE,88.30148750826272,88.49640352278301,88.21989475799842,88.31961923054368,2962,2886765199.9999995,97.405,1,97.44,2,12669,T1509
2015-04-23,T.CFE,88.26975699427103,88.35134974453536,87.88899082637093,88.24709234141984,2288,2225652000.0,97.32,2,97.345,1,13218,T1509
2015-04-24,T.CFE,88.1383020077341,88.17003252172577,87.77566756211495,87.96605064606501,2110,2046805500.0,97.01,1,97.03,8,13506,T1509
2015-04-27,T.CFE,88.0113799517674,88.70945125958426,88.0113799517674,88.62785850931996,3257,3184206050.0,97.735,1,97.76,1,14681,T1509
2015-04-28,T.CFE,88.48280473107229,88.70038539844379,88.46467300879134,88.609726787039,1621,1583879100.0,97.74,1,97.75,16,15058,T1509
2015-04-29,T.CFE,88.54626575905564,88.64145730103067,88.41027784194846,88.5643974813366,2235,2183595000.0,97.69,3,97.7,1,16039,T1509
2015-04-30,T.CFE,88.56893041190683,88.93609778809622,88.56893041190683,88.80464280155928,3925,3847481250.0,97.94,1,97.95,8,17454,T1509
2015-05-04,T.CFE,88.76384642642714,88.76384642642714,88.42840956422943,88.48280473107229,2688,2624025600.0,97.565,1,97.61,1,17952,T1509
2015-05-05,T.CFE,88.40121198080799,88.55079868962588,88.37854732795678,88.39667905023774,3812,3717653000.000001,97.5,6,97.505,5,19543,T1509
2015-05-06,T.CFE,88.31961923054368,88.36494853624608,87.99778116005668,88.079373910321,5874,5709234299.999999,97.15,7,97.175,4,21544,T1509
2015-05-07,T.CFE,88.07030804918051,88.27428992484128,88.02497874347812,88.12017028545314,3897,3787689150.0,97.2,5,97.205,1,22735,T1509
2015-05-08,T.CFE,88.21082889685793,88.49640352278301,88.20176303571746,88.34681681396512,3756,3662663400.000001,97.45,1,97.46,41,23303,T1509
2015-05-11,T.CFE,88.3105533694032,88.3921461196675,87.48556000561963,88.22896061913889,4854,4726097100.0,97.32,2,97.335,1,23226,T1509
2015-05-12,T.CFE,88.21989475799842,88.35588267510559,87.83006272895783,87.92978720150309,3199,3102550150.0,96.98,1,97.0,6,23315,T1509
2015-05-13,T.CFE,87.95698478492453,88.25615820256031,87.9071225486519,88.14283493830433,4272,4155588000.000001,97.22,4,97.23,10,24375,T1509
2015-05-14,T.CFE,88.31961923054368,88.41934370308894,87.94338599321381,88.02951167404835,3794,3684732800.000001,97.085,1,97.1,2,25138,T1509
2015-05-15,T.CFE,88.07484097975076,88.25162527199008,88.05217632689956,88.10657149374242,2400,2331840000.0,97.18,3,97.185,3,25022,T1509
2015-05-18,T.CFE,88.12017028545314,88.20176303571746,87.64421257557801,87.67141015899945,5051,4891640950.0,96.705,2,96.715,2,25123,T1509
2015-05-19,T.CFE,87.66234429785897,87.79379928439592,87.46289535276843,87.53995517246251,3680,3553224000.0,96.51,1,96.56,9,25012,T1509
2015-05-20,T.CFE,87.54448810303275,87.8617932429495,87.53088931132203,87.83006272895783,2667,2582989500.0,96.88,2,96.885,7,25631,T1509
2015-05-21,T.CFE,87.84819445123878,87.84819445123878,87.45836242219819,87.64421257557801,2358,2279950200.0,96.675,10,96.715,1,25389,T1509
2015-05-22,T.CFE,87.63967964500777,87.76660170097448,87.63967964500777,87.70314067299113,1866,1804608600.0,96.725,1,96.735,2,25892,T1509
2015-05-25,T.CFE,87.66687722842921,87.7802004926852,87.45382949162796,87.50369172790059,1849,1784377450.0,96.52,8,96.525,2,26330,T1509
2015-05-26,T.CFE,87.49009293618987,87.49009293618987,86.31606391849787,86.72402766981942,5483,5240103099.999999,95.66,15,95.675,1,25666,T1509
2015-05-27,T.CFE,86.7330935309599,87.00053643460403,86.65150078069559,86.85094972578612,3064,2934392799.9999995,95.775,6,95.8,4,25739,T1509
2015-05-28,T.CFE,86.71496180867895,86.79655455894324,85.95342947287874,86.12568083454782,4455,4236036750.0,94.98,1,95.045,1,25520,T1509
2015-05-29,T.CFE,86.19820772367166,86.25713582108476,85.97609412572992,86.053153945424,3040,2886328000.0,94.925,2,94.93,1,24946,T1509
2015-06-01,T.CFE,86.06675273713472,86.08941738998591,85.12843610909518,85.41401073502026,6745,6349743000.0,94.195,1,94.21,2,22577,T1509
2015-06-02,T.CFE,85.74491466664772,86.21633944595261,85.59532795782982,86.11661497340734,5862,5554831200.0,94.98,1,94.99,13,22162,T1509
2015-06-03,T.CFE,86.01689050086208,86.48831528016699,85.81290862520132,86.1800760013907,4222,4009211200.0,95.06,1,95.065,1,22179,T1509
2015-06-04,T.CFE,86.18914186253117,86.36592615477052,85.72225001379653,86.04408808428352,3583,3400983600.0,94.88,3,94.91,1,22014,T1509
2015-06-05,T.CFE,86.10754911226687,86.46111769674555,86.0984832511264,86.39765666876218,3191,3041342100.0,95.295,2,95.3,8,22584,T1509
2015-06-08,T.CFE,86.31153098792764,86.68776422525751,86.29793219621692,86.63336905841463,2907,2778074550.0,95.56,1,95.585,4,23195,T1509
2015-06-09,T.CFE,86.61523733613369,86.74215939210039,86.47018355788602,86.55630923872056,2655,2535259500.0,95.48,1,95.495,2,22881,T1509
2015-06-10,T.CFE,86.52004579415865,86.52004579415865,86.053153945424,86.10754911226687,3430,3260729500.0,94.98,4,94.99,1,22457,T1509
2015-06-11,T.CFE,86.10754911226687,86.17554307082047,85.92169895888706,85.97156119515968,2901,2753339099.9999995,94.825,1,94.835,4,22492,T1509
2015-06-12,T.CFE,85.9851599868704,86.17101014025022,85.68598656923461,85.78117811120964,3902,3692657700.0,94.62,1,94.63,1,21143,T1509
2015-06-15,T.CFE,85.71771708322628,85.78117811120964,85.40041194330954,85.40494487387977,2210,2082925000.0,94.2,3,94.22,3,20498,T1509
2015-06-16,T.CFE,85.48653762414408,86.24806995994429,85.4548071101524,86.24353702937404,5417,5146962550.0,95.12,4,95.135,4,21356,T1509
2015-06-17,T.CFE,86.21633944595261,86.3069980573574,85.85370500033346,86.08941738998591,2832,2688134400.0,94.935,2,94.96,4,21289,T1509
2015-06-18,T.CFE,86.12568083454782,86.49738114130746,86.04862101485377,86.3523273630598,2793,2660332500.0,95.25,6,95.285,2,21246,T1509
2015-06-19,T.CFE,86.3523273630598,86.46111769674555,85.96249533401921,86.14381255682878,2432,2310278400.0000005,95.02,1,95.05,5,21107,T1509
2015-06-23,T.CFE,86.0304892925728,86.15287841796926,85.74491466664772,86.04408808428352,2443,2319872800.0,94.905,1,94.935,4,21142,T1509
2015-06-24,T.CFE,86.03502222314305,86.10754911226687,85.8582379309037,86.02142343143232,1428,1354957800.0,94.88,1,94.885,2,21010,T1509
2015-06-25,T.CFE,85.9262318894573,86.40218959933243,85.85370500033346,85.94436361173825,3771,3573965250.0,94.8,9,94.815,1,20402,T1509
2015-06-26,T.CFE,85.94436361173825,86.07581859827519,85.79024397235011,85.86730379204418,3073,2910745600.0,94.715,3,94.735,3,19805,T1509
2015-06-29,T.CFE,86.1347466956883,86.17101014025022,85.56813037440838,85.70411829151556,4982,4706495400.0,94.52,1,94.55,4,18480,T1509
2015-06-30,T.CFE,85.76304638892867,86.08488445941568,85.7086512220858,85.9035672366061,2107,1996593200.0,94.75,4,94.785,2,18209,T1509
2015-07-01,T.CFE,85.96249533401921,86.00329170915136,85.75851345835844,85.80384276406083,1235,1169236250.0,94.635,1,94.66,1,18103,T1509
2015-07-02,T.CFE,85.80837569463108,85.84917206976321,85.54999865212743,85.77211225006916,1291,1221802400.0,94.63,1,94.645,17,17969,T1509
2015-07-03,T.CFE,85.85370500033346,86.37045908534074,85.80837569463108,86.32512977963836,3612,3438443399.9999995,95.195,1,95.22,4,18851,T1509
2015-07-06,T.CFE,86.57897389157176,87.07759625429809,86.40672252990267,86.95974005947187,3811,3655320650.0,95.91,6,95.965,19,19690,T1509
2015-07-07,T.CFE,87.19545244912432,87.37676967193389,87.0096022957445,87.28611106052911,3236,3114164600.0,96.26,2,96.28,1,19465,T1509
2015-07-08,T.CFE,87.46742828333868,87.92072134036262,86.4339201133241,86.85094972578612,8839,8453177650.0,95.765,1,95.8,29,18139,T1509
2015-07-09,T.CFE,86.90534489262899,87.55808689474347,86.77842283666229,87.16825486570288,4365,4199566500.0,96.15,1,96.155,5,17427,T1509
2015-07-10,T.CFE,87.0322669485957,87.04133280973618,86.66963250297654,86.98693764289331,2668,2559145600.0,95.93,10,95.95,2,17428,T1509
2015-07-13,T.CFE,86.89627903148852,87.14559021285169,86.7330935309599,86.77842283666229,2941,2816301600.0000005,95.72,13,95.74,2,17861,T1509
2015-07-14,T.CFE,86.86454851749684,86.86454851749684,86.47018355788602,86.64696785012535,2819,2694682100.0,95.57,5,95.585,1,18158,T1509
2015-07-15,T.CFE,86.47018355788602,86.65150078069559,86.37952494648123,86.52911165529912,4830,4609269000.0,95.43,1,95.445,3,19208,T1509
2015-07-16,T.CFE,86.83281800350517,86.83281800350517,86.56084216929081,86.80562042008373,2096,2005872000.0,95.735,1,95.75,10,19842,T1509
2015-07-17,T.CFE,86.80562042008373,86.95067419833138,86.68323129468726,86.85094972578612,2088,1999782000.0,95.795,1,95.8,15,19896,T1509
2015-07-20,T.CFE,86.86001558692661,86.96880592061235,86.7330935309599,86.80562042008373,1501,1437432650.0000002,95.74,10,95.78,11,20025,T1509
2015-07-21,T.CFE,86.76029111438135,86.80562042008373,86.60163854442297,86.61523733613369,2456,2347444800.0,95.54,4,95.545,1,19369,T1509
2015-07-22,T.CFE,86.61523733613369,86.78748869780277,86.47018355788602,86.69683008639798,1755,1678306500.0,95.63,6,95.65,3,19343,T1509
2015-07-23,T.CFE,86.82828507293493,87.00053643460403,86.76935697552182,86.95067419833138,2422,2322576900.0,95.91,2,95.915,3,19331,T1509
2015-07-24,T.CFE,87.01413522631475,87.17732072684335,86.87814730920756,86.90534489262899,2769,2655332550.0,95.86,2,95.875,1,18927,T1509
2015-07-27,T.CFE,86.93707540662066,87.06853039315762,86.65150078069559,87.06853039315762,1795,1722392250.0,96.0,25,96.045,1,18672,T1509
2015-07-28,T.CFE,87.0322669485957,87.15012314342192,86.9280095454802,87.05946453201713,2517,2417578500.0,96.025,6,96.03,2,18066,T1509
2015-07-29,T.CFE,87.07306332372785,87.19091951855407,86.99147057346354,87.13199142114097,1653,1588615650.0,96.11,3,96.12,16,18072,T1509
2015-07-30,T.CFE,87.15012314342192,87.18638658798383,86.83281800350517,87.01413522631475,1750,1680000000.0,95.97,1,95.98,3,17760,T1509
2015-07-31,T.CFE,87.12292556000048,87.12292556000048,86.53364458586937,86.61977026670392,3591,3431020950.0000005,95.545,4,95.57,2,17400,T1509
2015-08-03,T.CFE,86.44751890503483,86.77388990609205,86.44751890503483,86.6288361278444,2937,2806156650.0,95.55,26,95.58,8,15898,T1509
2015-08-04,T.CFE,86.6288361278444,86.88721317034805,86.6288361278444,86.76935697552182,2411,2307085900.0,95.695,3,95.725,4,15646,T1509
2015-08-05,T.CFE,86.78295576723252,86.84641679521589,86.6424349195551,86.67416543354679,2097,2004627150.0,95.6,9,95.635,5,15258,T1509
2015-08-06,T.CFE,86.61977026670392,86.9280095454802,86.57897389157176,86.91894368433971,1949,1866362400.0,95.82,18,95.88,4,14831,T1509
2015-08-07,T.CFE,86.85548265635637,86.97787178175282,86.76029111438135,86.95520712890163,2397,2296925250.0,95.88,23,95.915,10,14093,T1509
2015-08-10,T.CFE,86.96880592061235,87.01413522631475,86.66963250297654,86.73762646153014,2362,2259371100.0,95.665,3,95.68,5,12881,T1509
2015-08-11,T.CFE,86.67416543354679,86.76029111438135,86.27073461279548,86.29793219621692,3576,3405424800.0000005,95.18,7,95.195,5,12149,T1509
2015-08-12,T.CFE,86.23447116823357,86.43845304389434,85.94436361173825,86.42485425218362,3719,3543091300.0,95.33,3,95.355,1,10852,T1509
2015-08-13,T.CFE,86.42485425218362,86.47908728314249,86.27571341704677,86.33898528649877,1843,1760157150.0,95.51,1,95.52,1,12563,T1512
2015-08-14,T.CFE,86.35254354423849,86.4926455408822,86.2711939978002,86.44745134841648,2725,2605508750.0,95.635,2,95.64,1,13987,T1512
2015-08-17,T.CFE,85.97291232752649,86.27571341704677,85.97291232752649,86.15820851663592,2941,2804243500.0,95.305,12,95.33,4,14943,T1512
2015-08-18,T.CFE,86.2531163208139,86.31186877101933,86.09945606643049,86.30734935177277,3399,3243665700.0,95.485,1,95.49,38,15246,T1512
2015-08-19,T.CFE,86.33898528649877,86.33898528649877,86.08137838944421,86.20340270910164,3266,3114457600.0,95.365,1,95.38,3,15588,T1512
2015-08-20,T.CFE,86.17176677437563,86.28023283629334,86.12657258190991,86.27571341704677,1669,1592726700.0000002,95.43,6,95.445,1,15292,T1512
2015-08-21,T.CFE,86.32090760951249,86.48360670238905,86.26667457855363,86.33898528649877,2469,2358512250.0,95.51,3,95.52,3,15402,T1512
2015-08-24,T.CFE,86.3661018019782,86.61015044129304,86.3661018019782,86.57851450656705,3501,3352207500.0,95.76,2,95.78,4,15032,T1512
2015-08-25,T.CFE,86.72765534170391,86.75477185718334,86.53783973334791,86.59207276430676,3124,2992011000.0000005,95.785,5,95.8,9,14683,T1512
2015-08-26,T.CFE,86.72765534170391,86.8090048881422,86.59659218355335,86.77736895341619,4123,3957255400.000001,95.975,1,96.005,18,14457,T1512
2015-08-27,T.CFE,86.84967966136134,87.17507784711447,86.77736895341619,87.13440307389533,3555,3424353750.0,96.395,10,96.4,17,14133,T1512
2015-08-28,T.CFE,87.02593701197762,87.17959726636104,86.90391269232018,87.00333991574475,4111,3957454150.0,96.23,11,96.25,1,14218,T1512
2015-08-31,T.CFE,86.96266514252561,87.55018964457989,86.94458746553933,87.45980125964847,4998,4835814900.0,96.76,4,96.775,1,14445,T1512
