time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2015-03-23,T1509,97.095,97.095,96.84,97.02,1386,1343865600.0,96.94,1,97.02,1,1682,96.96,97.09,1.0
2015-03-24,T1509,97.135,97.22,96.875,96.92,1380,1337358000.0,96.92,4,96.93,1,2102,96.91,97.02,1.0
2015-03-25,T1509,97.02,97.03,96.76,96.85,1234,1195005600.0,96.845,3,96.85,2,2484,96.84,96.92,1.0
2015-03-26,T1509,96.835,96.89,96.37,96.37,1073,1034586600.0,96.37,8,96.39,1,3014,96.42,96.85,1.0
2015-03-27,T1509,96.3,96.51,95.98,96.49,1792,1727040000.0,96.48,14,96.49,2,3577,96.375,96.37,1.0
2015-03-30,T1509,96.065,96.4,96.0,96.16,1153,1107917700.0,96.1,4,96.165,1,3869,96.09,96.49,1.0
2015-03-31,T1509,95.8,95.9,95.565,95.65,2327,2227171700.0,95.58,1,95.675,2,4666,95.71,96.16,1.0
2015-04-01,T1509,95.66,96.095,95.655,96.095,673,646012700.0,96.05,1,96.095,1,4551,95.99,95.65,1.0
2015-04-02,T1509,96.3,96.425,96.2,96.32,1011,973491900.0,96.32,1,96.33,34,4613,96.29,96.095,1.0
2015-04-03,T1509,96.315,96.375,96.005,96.01,1099,1056029100.0,96.005,1,96.06,1,5095,96.09,96.32,1.0
2015-04-07,T1509,96.005,96.31,95.8,95.93,831,797593800.0,95.93,2,95.94,1,5425,95.98,96.01,1.0
2015-04-08,T1509,96.0,96.1,95.13,95.16,2904,2765479200.0,95.17,1,95.195,1,6620,95.23,95.93,1.0
2015-04-09,T1509,95.3,95.4,95.195,95.265,1389,1322883599.9999998,95.265,1,95.27,4,7335,95.24,95.16,1.0
2015-04-10,T1509,95.35,95.415,95.17,95.19,1073,1021603300.0,95.18,10,95.185,1,7739,95.21,95.265,1.0
2015-04-13,T1509,95.18,95.68,95.18,95.63,1895,1811999000.0,95.61,2,95.625,5,8872,95.62,95.19,1.0
2015-04-14,T1509,95.7,96.0,95.53,95.57,1718,1644641400.0000002,95.54,5,95.565,1,9475,95.73,95.63,1.0
2015-04-15,T1509,95.9,96.285,95.775,96.15,2148,2062939200.0,96.1,2,96.165,4,9687,96.04,95.57,1.0
2015-04-16,T1509,96.735,96.735,95.86,96.18,1436,1381073000.0,96.165,11,96.195,1,10198,96.175,96.15,1.0
2015-04-17,T1509,96.19,96.5,96.05,96.3,1613,1553077049.9999998,96.27,1,96.31,3,10810,96.285,96.18,1.0
2015-04-20,T1509,97.1,97.275,96.67,97.25,3213,3123196650.0,97.25,1,97.255,1,11137,97.205,96.3,1.0
2015-04-21,T1509,97.295,97.95,97.26,97.39,4962,4836957600.0,97.39,3,97.4,24,12128,97.48,97.25,1.0
2015-04-22,T1509,97.4,97.615,97.31,97.42,2962,2886765199.9999995,97.405,1,97.44,2,12669,97.46,97.39,1.0
2015-04-23,T1509,97.365,97.455,96.945,97.34,2288,2225652000.0,97.32,2,97.345,1,13218,97.275,97.42,1.0
2015-04-24,T1509,97.22,97.255,96.82,97.03,2110,2046805500.0,97.01,1,97.03,8,13506,97.005,97.34,1.0
2015-04-27,T1509,97.08,97.85,97.08,97.76,3257,3184206050.0,97.735,1,97.76,1,14681,97.765,97.03,1.0
2015-04-28,T1509,97.6,97.84,97.58,97.74,1621,1583879100.0,97.74,1,97.75,16,15058,97.71,97.76,1.0
2015-04-29,T1509,97.67,97.775,97.52,97.69,2235,2183595000.0,97.69,3,97.7,1,16039,97.7,97.74,1.0
2015-04-30,T1509,97.695,98.1,97.695,97.955,3925,3847481250.0,97.94,1,97.95,8,17454,98.025,97.69,1.0
2015-05-04,T1509,97.91,97.91,97.54,97.6,2688,2624025600.0,97.565,1,97.61,1,17952,97.62,97.955,1.0
2015-05-05,T1509,97.51,97.675,97.485,97.505,3812,3717653000.000001,97.5,6,97.505,5,19543,97.525,97.6,1.0
2015-05-06,T1509,97.42,97.47,97.065,97.155,5874,5709234299.999999,97.15,7,97.175,4,21544,97.195,97.505,1.0
2015-05-07,T1509,97.145,97.37,97.095,97.2,3897,3787689150.0,97.2,5,97.205,1,22735,97.195,97.155,1.0
2015-05-08,T1509,97.3,97.615,97.29,97.45,3756,3662663400.000001,97.45,1,97.46,41,23303,97.515,97.2,1.0
2015-05-11,T1509,97.41,97.5,96.5,97.32,4854,4726097100.0,97.32,2,97.335,1,23226,97.365,97.45,1.0
2015-05-12,T1509,97.31,97.46,96.88,96.99,3199,3102550150.0,96.98,1,97.0,6,23315,96.985,97.32,1.0
2015-05-13,T1509,97.02,97.35,96.965,97.225,4272,4155588000.000001,97.22,4,97.23,10,24375,97.275,96.99,1.0
2015-05-14,T1509,97.42,97.53,97.005,97.1,3794,3684732800.000001,97.085,1,97.1,2,25138,97.12,97.225,1.0
2015-05-15,T1509,97.15,97.345,97.125,97.185,2400,2331840000.0,97.18,3,97.185,3,25022,97.16,97.1,1.0
2015-05-18,T1509,97.2,97.29,96.675,96.705,5051,4891640950.0,96.705,2,96.715,2,25123,96.845,97.185,1.0
2015-05-19,T1509,96.695,96.84,96.475,96.56,3680,3553224000.0,96.51,1,96.56,9,25012,96.555,96.705,1.0
2015-05-20,T1509,96.565,96.915,96.55,96.88,2667,2582989500.0,96.88,2,96.885,7,25631,96.85,96.56,1.0
2015-05-21,T1509,96.9,96.9,96.47,96.675,2358,2279950200.0,96.675,10,96.715,1,25389,96.69,96.88,1.0
2015-05-22,T1509,96.67,96.81,96.67,96.74,1866,1804608600.0,96.725,1,96.735,2,25892,96.71,96.675,1.0
2015-05-25,T1509,96.7,96.825,96.465,96.52,1849,1784377450.0,96.52,8,96.525,2,26330,96.505,96.74,1.0
2015-05-26,T1509,96.505,96.505,95.21,95.66,5483,5240103099.999999,95.66,15,95.675,1,25666,95.57,96.52,1.0
2015-05-27,T1509,95.67,95.965,95.58,95.8,3064,2934392799.9999995,95.775,6,95.8,4,25739,95.77,95.66,1.0
2015-05-28,T1509,95.65,95.74,94.81,95.0,4455,4236036750.0,94.98,1,95.045,1,25520,95.085,95.8,1.0
2015-05-29,T1509,95.08,95.145,94.835,94.92,3040,2886328000.0,94.925,2,94.93,1,24946,94.945,95.0,1.0
2015-06-01,T1509,94.935,94.96,93.9,94.215,6745,6349743000.0,94.195,1,94.21,2,22577,94.14,94.92,1.0
2015-06-02,T1509,94.58,95.1,94.415,94.99,5862,5554831200.0,94.98,1,94.99,13,22162,94.76,94.215,1.0
2015-06-03,T1509,94.88,95.4,94.655,95.06,4222,4009211200.0,95.06,1,95.065,1,22179,94.96,94.99,1.0
2015-06-04,T1509,95.07,95.265,94.555,94.91,3583,3400983600.0,94.88,3,94.91,1,22014,94.92,95.06,1.0
2015-06-05,T1509,94.98,95.37,94.97,95.3,3191,3041342100.0,95.295,2,95.3,8,22584,95.31,94.91,1.0
2015-06-08,T1509,95.205,95.62,95.19,95.56,2907,2778074550.0,95.56,1,95.585,4,23195,95.565,95.3,1.0
2015-06-09,T1509,95.54,95.68,95.38,95.475,2655,2535259500.0,95.48,1,95.495,2,22881,95.49,95.56,1.0
2015-06-10,T1509,95.435,95.435,94.92,94.98,3430,3260729500.0,94.98,4,94.99,1,22457,95.065,95.475,1.0
2015-06-11,T1509,94.98,95.055,94.775,94.83,2901,2753339099.9999995,94.825,1,94.835,4,22492,94.91,94.98,1.0
2015-06-12,T1509,94.845,95.05,94.515,94.62,3902,3692657700.0,94.62,1,94.63,1,21143,94.635,94.83,1.0
2015-06-15,T1509,94.55,94.62,94.2,94.205,2210,2082925000.0,94.2,3,94.22,3,20498,94.25,94.62,1.0
2015-06-16,T1509,94.295,95.135,94.26,95.13,5417,5146962550.0,95.12,4,95.135,4,21356,95.015,94.205,1.0
2015-06-17,T1509,95.1,95.2,94.7,94.96,2832,2688134400.0,94.935,2,94.96,4,21289,94.92,95.13,1.0
2015-06-18,T1509,95.0,95.41,94.915,95.25,2793,2660332500.0,95.25,6,95.285,2,21246,95.25,94.96,1.0
2015-06-19,T1509,95.25,95.37,94.82,95.02,2432,2310278400.0000005,95.02,1,95.05,5,21107,94.995,95.25,1.0
2015-06-23,T1509,94.895,95.03,94.58,94.91,2443,2319872800.0,94.905,1,94.935,4,21142,94.96,95.02,1.0
2015-06-24,T1509,94.9,94.98,94.705,94.885,1428,1354957800.0,94.88,1,94.885,2,21010,94.885,94.91,1.0
2015-06-25,T1509,94.78,95.305,94.7,94.8,3771,3573965250.0,94.8,9,94.815,1,20402,94.775,94.885,1.0
2015-06-26,T1509,94.8,94.945,94.63,94.715,3073,2910745600.0,94.715,3,94.735,3,19805,94.72,94.8,1.0
2015-06-29,T1509,95.01,95.05,94.385,94.535,4982,4706495400.0,94.52,1,94.55,4,18480,94.47,94.715,1.0
2015-06-30,T1509,94.6,94.955,94.54,94.755,2107,1996593200.0,94.75,4,94.785,2,18209,94.76,94.535,1.0
2015-07-01,T1509,94.82,94.865,94.595,94.645,1235,1169236250.0,94.635,1,94.66,1,18103,94.675,94.755,1.0
2015-07-02,T1509,94.65,94.695,94.365,94.61,1291,1221802400.0,94.63,1,94.645,17,17969,94.64,94.645,1.0
2015-07-03,T1509,94.7,95.27,94.65,95.22,3612,3438443399.9999995,95.195,1,95.22,4,18851,95.195,94.61,1.0
2015-07-06,T1509,95.5,96.05,95.31,95.92,3811,3655320650.0,95.91,6,95.965,19,19690,95.915,95.22,1.0
2015-07-07,T1509,96.18,96.38,95.975,96.28,3236,3114164600.0,96.26,2,96.28,1,19465,96.235,95.92,1.0
2015-07-08,T1509,96.48,96.98,95.34,95.8,8839,8453177650.0,95.765,1,95.8,29,18139,95.635,96.28,1.0
2015-07-09,T1509,95.86,96.58,95.72,96.15,4365,4199566500.0,96.15,1,96.155,5,17427,96.21,95.8,1.0
2015-07-10,T1509,96.0,96.01,95.6,95.95,2668,2559145600.0,95.93,10,95.95,2,17428,95.92,96.15,1.0
2015-07-13,T1509,95.85,96.125,95.67,95.72,2941,2816301600.0000005,95.72,13,95.74,2,17861,95.76,95.95,1.0
2015-07-14,T1509,95.815,95.815,95.38,95.575,2819,2694682100.0,95.57,5,95.585,1,18158,95.59,95.72,1.0
2015-07-15,T1509,95.38,95.58,95.28,95.445,4830,4609269000.0,95.43,1,95.445,3,19208,95.43,95.575,1.0
2015-07-16,T1509,95.78,95.78,95.48,95.75,2096,2005872000.0,95.735,1,95.75,10,19842,95.7,95.445,1.0
2015-07-17,T1509,95.75,95.91,95.615,95.8,2088,1999782000.0,95.795,1,95.8,15,19896,95.775,95.75,1.0
2015-07-20,T1509,95.81,95.93,95.67,95.75,1501,1437432650.0000002,95.74,10,95.78,11,20025,95.765,95.8,1.0
2015-07-21,T1509,95.7,95.75,95.525,95.54,2456,2347444800.0,95.54,4,95.545,1,19369,95.58,95.75,1.0
2015-07-22,T1509,95.54,95.73,95.38,95.63,1755,1678306500.0,95.63,6,95.65,3,19343,95.63,95.54,1.0
2015-07-23,T1509,95.775,95.965,95.71,95.91,2422,2322576900.0,95.91,2,95.915,3,19331,95.895,95.63,1.0
2015-07-24,T1509,95.98,96.16,95.83,95.86,2769,2655332550.0,95.86,2,95.875,1,18927,95.895,95.91,1.0
2015-07-27,T1509,95.895,96.04,95.58,96.04,1795,1722392250.0,96.0,25,96.045,1,18672,95.955,95.86,1.0
2015-07-28,T1509,96.0,96.13,95.885,96.03,2517,2417578500.0,96.025,6,96.03,2,18066,96.05,96.04,1.0
2015-07-29,T1509,96.045,96.175,95.955,96.11,1653,1588615650.0,96.11,3,96.12,16,18072,96.105,96.03,1.0
2015-07-30,T1509,96.13,96.17,95.78,95.98,1750,1680000000.0,95.97,1,95.98,3,17760,96.0,96.11,1.0
2015-07-31,T1509,96.1,96.1,95.45,95.545,3591,3431020950.0000005,95.545,4,95.57,2,17400,95.545,95.98,1.0
2015-08-03,T1509,95.355,95.715,95.355,95.555,2937,2806156650.0,95.55,26,95.58,8,15898,95.545,95.545,1.0
2015-08-04,T1509,95.555,95.84,95.555,95.71,2411,2307085900.0,95.695,3,95.725,4,15646,95.69,95.555,1.0
2015-08-05,T1509,95.725,95.795,95.57,95.605,2097,2004627150.0,95.6,9,95.635,5,15258,95.595,95.71,1.0
2015-08-06,T1509,95.545,95.885,95.5,95.875,1949,1866362400.0,95.82,18,95.88,4,14831,95.76,95.605,1.0
2015-08-07,T1509,95.805,95.94,95.7,95.915,2397,2296925250.0,95.88,23,95.915,10,14093,95.825,95.875,1.0
