time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2006-12-19,TA.CZC,9581.509883425637,9687.490466786327,9523.11241912485,9631.255871533716,24535.0,1092052850.0,0,0,0,0,3744.0,TA0705
2006-12-20,TA.CZC,9672.350383449086,9700.46768107539,9631.255871533716,9687.490466786327,12793.0,572358820.0,0,0,0,0,4441.0,TA0705
2006-12-21,TA.CZC,9668.02464535273,9676.67612154544,9607.464312003765,9637.744478678247,9707.0,432640990.0,0,0,0,0,4040.0,TA0705
2006-12-22,TA.CZC,9629.093002485539,9655.047431063667,9542.578240558445,9650.721692967312,4977.0,221128110.0,0,0,0,0,3778.0,TA0705
2006-12-25,TA.CZC,9644.23308582278,9884.311550170465,9637.744478678247,9838.89130015874,17395.0,789211150.0,0,0,0,0,6201.0,TA0705
2006-12-26,TA.CZC,9862.682859688692,9912.428847796771,9799.959657291549,9903.777371604061,18623.0,848091420.0,0,0,0,0,6413.0,TA0705
2006-12-27,TA.CZC,9821.588347773322,9869.171466833224,9741.562192990761,9750.21366918347,17840.0,808152000.0,0,0,0,0,7181.0,TA0705
2006-12-28,TA.CZC,9732.910716798051,9739.399323942584,9570.69553818475,9577.184145329282,15991.0,712239140.0,0,0,0,0,7393.0,TA0705
2006-12-29,TA.CZC,9570.69553818475,9661.536038208198,9494.995121498543,9622.604395341006,16016.0,710950240.0,0,0,0,0,5615.0,TA0705
2007-01-04,TA.CZC,9397.666014330562,9486.343645305833,9224.636490476374,9445.249133390464,17006.0,740611300.0,0,0,0,0,6045.0,TA0705
2007-01-05,TA.CZC,9365.222978607902,9520.949550076672,9313.314121451645,9497.15799054672,19836.0,867825000.0,0,0,0,0,7090.0,TA0705
2007-01-08,TA.CZC,9523.11241912485,9557.718323895686,9449.574871486819,9458.226347679529,18056.0,792658400.0,0,0,0,0,6580.0,TA0705
2007-01-09,TA.CZC,9436.597657197755,9538.25250246209,9423.62044290869,9490.669383402188,15515.0,680643050.0,0,0,0,0,7274.0,TA0705
2007-01-10,TA.CZC,9505.809466739429,9531.763895317557,9451.737740534996,9456.063478631351,15395.0,676302350.0,0,0,0,0,6817.0,TA0705
2007-01-11,TA.CZC,9397.666014330562,9497.15799054672,9397.666014330562,9440.923395294109,11096.0,485560960.0,0,0,0,0,6067.0,TA0705
2007-01-12,TA.CZC,9430.109050053223,9464.71495482406,9350.082895270662,9376.037323848788,9015.0,391611600.0,0,0,0,0,6063.0,TA0705
2007-01-15,TA.CZC,9430.109050053223,9484.180776257655,9386.851669089676,9404.154621475094,7895.0,344300950.0,0,0,0,0,6132.0,TA0705
2007-01-16,TA.CZC,9408.48035957145,9451.737740534996,9317.639859548,9328.454204788888,9491.0,412004310.0,0,0,0,0,6419.0,TA0705
2007-01-17,TA.CZC,9283.033954777164,9339.268550029774,9161.913288079231,9181.379109512827,12178.0,519391700.0,0,0,0,0,7889.0,TA0705
2007-01-18,TA.CZC,9224.636490476374,9224.636490476374,9036.466883284946,9058.09557376672,15573.0,657492060.0,0,0,0,0,8903.0,TA0705
2007-01-19,TA.CZC,9023.489668995882,9064.584180911252,8926.1605618279,9019.163930899527,23217.0,968148900.0,0,0,0,0,8038.0,TA0705
2007-01-22,TA.CZC,9051.606966622187,9068.909919007607,8761.782514166423,8792.062680840905,30250.0,1240855000.0,0,0,0,0,11532.0,TA0705
2007-01-23,TA.CZC,8716.362264154699,8852.623014189872,8712.036526058344,8826.668585611744,29629.0,1205011430.0,0,0,0,0,9937.0,TA0705
2007-01-24,TA.CZC,8889.391788008887,8988.883764225044,8846.13440704534,8926.1605618279,27382.0,1131971880.0,0,0,0,0,8017.0,TA0705
2007-01-25,TA.CZC,8930.486299924256,8967.25507374327,8882.903180864354,8932.649168972433,17144.0,708218640.0,0,0,0,0,8360.0,TA0705
2007-01-26,TA.CZC,8923.997692779723,8965.092204695093,8902.36900229795,8956.440728502384,10360.0,428178800.0,0,0,0,0,7950.0,TA0705
2007-01-29,TA.CZC,8982.395157080513,9014.838192803172,8867.763097527113,8882.903180864354,15107.0,625883010.0,0,0,0,0,8949.0,TA0705
2007-01-30,TA.CZC,8835.320061804452,8885.066049912532,8772.59685940731,8850.460145141695,14812.0,605662680.0,0,0,0,0,9616.0,TA0705
2007-01-31,TA.CZC,8954.277859454207,8991.046633273221,8908.857609442482,8945.626383261497,14294.0,591485720.0,0,0,0,0,9756.0,TA0705
2007-02-01,TA.CZC,8954.277859454207,8995.372371369576,8939.137776116966,8975.90654993598,12839.0,532561720.0,0,0,0,0,9762.0,TA0705
2007-02-02,TA.CZC,8954.277859454207,9029.978276140413,8865.600228478936,8869.92596657529,20192.0,836352640.0,0,0,0,0,9083.0,TA0705
2007-02-05,TA.CZC,8921.834823731546,8941.300645165144,8820.179978467211,8854.78588323805,16628.0,681748000.0,0,0,0,0,9347.0,TA0705
2007-02-06,TA.CZC,8846.13440704534,8919.67195468337,8846.13440704534,8900.206133249772,11886.0,488514600.0,0,0,0,0,9334.0,TA0705
2007-02-07,TA.CZC,8919.67195468337,8973.743680887803,8893.717526105242,8958.603597550562,13177.0,545000720.0,0,0,0,0,9018.0,TA0705
2007-02-08,TA.CZC,8917.509085635193,8969.417942791448,8887.228918960709,8934.812038020611,13838.0,571509400.0,0,0,0,0,9583.0,TA0705
2007-02-09,TA.CZC,8975.90654993598,9062.421311863074,8967.25507374327,8995.372371369576,21284.0,887329960.0,0,0,0,0,10535.0,TA0705
2007-02-12,TA.CZC,8956.440728502384,9034.304014236768,8954.277859454207,9027.815407092237,13263.0,552536580.0,0,0,0,0,8607.0,TA0705
2007-02-13,TA.CZC,8978.069418984158,9094.864347585733,8978.069418984158,9077.561395200315,11692.0,488374840.0,0,0,0,0,9278.0,TA0705
2007-02-14,TA.CZC,9105.678692826621,9148.936073790168,9064.584180911252,9133.795990452927,22835.0,962038550.0,0,0,0,0,12080.0,TA0705
2007-02-15,TA.CZC,9105.678692826621,9133.795990452927,9081.88713329667,9107.841561874799,10197.0,429293700.0,0,0,0,0,11101.0,TA0705
2007-02-16,TA.CZC,9105.678692826621,9127.307383308394,9086.212871393025,9125.144514260217,4127.0,173911780.0,0,0,0,0,10193.0,TA0705
2007-02-26,TA.CZC,9192.193454753715,9246.265180958148,9105.678692826621,9118.655907115684,13638.0,576887400.0,0,0,0,0,10879.0,TA0705
2007-02-27,TA.CZC,9099.190085682088,9131.63312140475,9066.74704995943,9101.352954730266,7380.0,310624200.0,0,0,0,0,10476.0,TA0705
2007-02-28,TA.CZC,9053.769835670364,9118.655907115684,9021.326799947705,9107.841561874799,6424.0,269679520.0,0,0,0,0,9899.0,TA0705
2007-03-01,TA.CZC,9140.284597597458,9174.890502368296,9101.352954730266,9170.564764271941,7548.0,318978480.0,0,0,0,0,9236.0,TA0705
2007-03-02,TA.CZC,9159.750419031054,9235.450835717262,9151.098942838345,9231.125097620907,10104.0,429824160.0,0,0,0,0,10141.0,TA0705
2007-03-05,TA.CZC,9192.193454753715,9224.636490476374,9142.447466645635,9168.401895223764,7445.0,316338050.0,0,0,0,0,9265.0,TA0705
2007-03-06,TA.CZC,9155.4246809347,9190.030585705537,9127.307383308394,9190.030585705537,4224.0,178970880.0,0,0,0,0,8563.0,TA0705
2007-03-07,TA.CZC,9192.193454753715,9224.636490476374,9174.890502368296,9196.51919285007,4904.0,208665200.0,0,0,0,0,9067.0,TA0705
2007-03-08,TA.CZC,9224.636490476374,9224.636490476374,9170.564764271941,9190.030585705537,4668.0,198483360.0,0,0,0,0,9159.0,TA0705
