time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-12-19,TA0705,8860,8958,8806,8906,24535.0,1092052850.0,0,0,0,0,3744.0,8902,8880.0,1.0
2006-12-20,TA0705,8944,8970,8906,8958,12793.0,572358820.0,0,0,0,0,4441.0,8948,8906.0,1.0
2006-12-21,TA0705,8940,8948,8884,8912,9707.0,432640990.0,0,0,0,0,4040.0,8914,8958.0,1.0
2006-12-22,TA0705,8904,8928,8824,8924,4977.0,221128110.0,0,0,0,0,3778.0,8886,8912.0,1.0
2006-12-25,TA0705,8918,9140,8912,9098,17395.0,789211150.0,0,0,0,0,6201.0,9074,8924.0,1.0
2006-12-26,TA0705,9120,9166,9062,9158,18623.0,848091420.0,0,0,0,0,6413.0,9108,9098.0,1.0
2006-12-27,TA0705,9082,9126,9008,9016,17840.0,808152000.0,0,0,0,0,7181.0,9060,9158.0,1.0
2006-12-28,TA0705,9000,9006,8850,8856,15991.0,712239140.0,0,0,0,0,7393.0,8908,9016.0,1.0
2006-12-29,TA0705,8850,8934,8780,8898,16016.0,710950240.0,0,0,0,0,5615.0,8878,8856.0,1.0
2007-01-04,TA0705,8690,8772,8530,8734,17006.0,740611300.0,0,0,0,0,6045.0,8710,8898.0,1.0
2007-01-05,TA0705,8660,8804,8612,8782,19836.0,867825000.0,0,0,0,0,7090.0,8750,8734.0,1.0
2007-01-08,TA0705,8806,8838,8738,8746,18056.0,792658400.0,0,0,0,0,6580.0,8780,8782.0,1.0
2007-01-09,TA0705,8726,8820,8714,8776,15515.0,680643050.0,0,0,0,0,7274.0,8774,8746.0,1.0
2007-01-10,TA0705,8790,8814,8740,8744,15395.0,676302350.0,0,0,0,0,6817.0,8786,8776.0,1.0
2007-01-11,TA0705,8690,8782,8690,8730,11096.0,485560960.0,0,0,0,0,6067.0,8752,8744.0,1.0
2007-01-12,TA0705,8720,8752,8646,8670,9015.0,391611600.0,0,0,0,0,6063.0,8688,8730.0,1.0
2007-01-15,TA0705,8720,8770,8680,8696,7895.0,344300950.0,0,0,0,0,6132.0,8722,8670.0,1.0
2007-01-16,TA0705,8700,8740,8616,8626,9491.0,412004310.0,0,0,0,0,6419.0,8682,8696.0,1.0
2007-01-17,TA0705,8584,8636,8472,8490,12178.0,519391700.0,0,0,0,0,7889.0,8530,8626.0,1.0
2007-01-18,TA0705,8530,8530,8356,8376,15573.0,657492060.0,0,0,0,0,8903.0,8444,8490.0,1.0
2007-01-19,TA0705,8344,8382,8254,8340,23217.0,968148900.0,0,0,0,0,8038.0,8340,8376.0,1.0
2007-01-22,TA0705,8370,8386,8102,8130,30250.0,1240855000.0,0,0,0,0,11532.0,8204,8340.0,1.0
2007-01-23,TA0705,8060,8186,8056,8162,29629.0,1205011430.0,0,0,0,0,9937.0,8134,8130.0,1.0
2007-01-24,TA0705,8220,8312,8180,8254,27382.0,1131971880.0,0,0,0,0,8017.0,8268,8162.0,1.0
2007-01-25,TA0705,8258,8292,8214,8260,17144.0,708218640.0,0,0,0,0,8360.0,8262,8254.0,1.0
2007-01-26,TA0705,8252,8290,8232,8282,10360.0,428178800.0,0,0,0,0,7950.0,8266,8260.0,1.0
2007-01-29,TA0705,8306,8336,8200,8214,15107.0,625883010.0,0,0,0,0,8949.0,8286,8282.0,1.0
2007-01-30,TA0705,8170,8216,8112,8184,14812.0,605662680.0,0,0,0,0,9616.0,8178,8214.0,1.0
2007-01-31,TA0705,8280,8314,8238,8272,14294.0,591485720.0,0,0,0,0,9756.0,8276,8184.0,1.0
2007-02-01,TA0705,8280,8318,8266,8300,12839.0,532561720.0,0,0,0,0,9762.0,8296,8272.0,1.0
2007-02-02,TA0705,8280,8350,8198,8202,20192.0,836352640.0,0,0,0,0,9083.0,8284,8300.0,1.0
2007-02-05,TA0705,8250,8268,8156,8188,16628.0,681748000.0,0,0,0,0,9347.0,8200,8202.0,1.0
2007-02-06,TA0705,8180,8248,8180,8230,11886.0,488514600.0,0,0,0,0,9334.0,8220,8188.0,1.0
2007-02-07,TA0705,8248,8298,8224,8284,13177.0,545000720.0,0,0,0,0,9018.0,8272,8230.0,1.0
2007-02-08,TA0705,8246,8294,8218,8262,13838.0,571509400.0,0,0,0,0,9583.0,8260,8284.0,1.0
2007-02-09,TA0705,8300,8380,8292,8318,21284.0,887329960.0,0,0,0,0,10535.0,8338,8262.0,1.0
2007-02-12,TA0705,8282,8354,8280,8348,13263.0,552536580.0,0,0,0,0,8607.0,8332,8318.0,1.0
2007-02-13,TA0705,8302,8410,8302,8394,11692.0,488374840.0,0,0,0,0,9278.0,8354,8348.0,1.0
2007-02-14,TA0705,8420,8460,8382,8446,22835.0,962038550.0,0,0,0,0,12080.0,8426,8394.0,1.0
2007-02-15,TA0705,8420,8446,8398,8422,10197.0,429293700.0,0,0,0,0,11101.0,8420,8446.0,1.0
2007-02-16,TA0705,8420,8440,8402,8438,4127.0,173911780.0,0,0,0,0,10193.0,8428,8422.0,1.0
2007-02-26,TA0705,8500,8550,8420,8432,13638.0,576887400.0,0,0,0,0,10879.0,8460,8438.0,1.0
2007-02-27,TA0705,8414,8444,8384,8416,7380.0,310624200.0,0,0,0,0,10476.0,8418,8432.0,1.0
2007-02-28,TA0705,8372,8432,8342,8422,6424.0,269679520.0,0,0,0,0,9899.0,8396,8416.0,1.0
2007-03-01,TA0705,8452,8484,8416,8480,7548.0,318978480.0,0,0,0,0,9236.0,8452,8422.0,1.0
