time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2013-09-09,TF.CFE,93.78508335789165,93.78508335789165,93.48825729433064,93.53606820389751,11831,11111201960.0,93.906,2,93.908,1,2797,TF1312
2013-09-10,TF.CFE,93.50021002172235,93.54602881005727,93.43646214229985,93.472320324475,5375,5044222500.0,93.84,2,93.844,5,2708,TF1312
2013-09-11,TF.CFE,93.3488088080939,93.41056456628445,93.12569123011515,93.22928153417672,8830,8260994800.0,93.596,2,93.6,1,3293,TF1312
2013-09-12,TF.CFE,93.2213130492489,93.46036759708328,93.2213130492489,93.35876941425367,8379,7855480079.999999,93.72,9,93.724,1,2871,TF1312
2013-09-13,TF.CFE,93.33087971700633,93.47630456693891,93.30896638345484,93.39462759642882,6901,6470929680.0,93.764,2,93.77,3,3000,TF1312
2013-09-16,TF.CFE,93.39462759642882,93.56794214360876,93.37072214164539,93.48427305186672,3850,3613610000.0,93.85,3,93.856,2,3189,TF1312
2013-09-17,TF.CFE,93.50021002172235,94.18549972551425,93.472320324475,93.86277608593782,22275,20992851000.0,94.232,1,94.24,4,5022,TF1312
2013-09-18,TF.CFE,93.87871305579345,94.00620881463846,93.72930396339696,93.83488638869048,10692,10073788560.0,94.206,8,94.256,1,4465,TF1312
2013-09-23,TF.CFE,94.17753124058642,94.21936578645744,93.89863426811299,93.97831911739111,7345,6930742000.0,94.344,7,94.35,2,4527,TF1312
2013-09-24,TF.CFE,93.940468813984,94.02812214818995,93.87074457086564,93.96835851123134,5063,4775927900.0,94.334,2,94.338,3,4493,TF1312
2013-09-25,TF.CFE,93.97831911739111,94.17753124058642,93.97831911739111,94.04804336050947,8207,7749870100.0,94.418,2,94.426,2,4731,TF1312
2013-09-26,TF.CFE,94.07593305775681,94.24127912000894,94.07593305775681,94.19944457413791,5405,5111616600.0,94.572,2,94.582,1,4752,TF1312
2013-09-27,TF.CFE,94.17753124058642,94.17952336181838,93.92851608659228,93.97433487492721,4453,4201939860.0,94.342,24,94.346,2,4109,TF1312
2013-09-30,TF.CFE,93.97433487492721,94.12772820978759,93.83090214622658,94.0898779063805,3515,3319706600.0000005,94.45,1,94.462,6,4094,TF1312
2013-10-08,TF.CFE,94.14764942210712,94.17354699812253,94.03011426942189,94.04007487558167,2399,2265183780.0,94.408,1,94.412,10,3955,TF1312
2013-10-09,TF.CFE,93.95839790507158,94.02812214818995,93.9105869955047,93.99027184478282,1869,1763326740.0,94.358,2,94.362,3,3802,TF1312
2013-10-10,TF.CFE,93.99027184478282,94.07394093652486,93.90859487427275,93.97831911739111,1506,1420609800.0,94.338,1,94.36,1,3777,TF1312
2013-10-11,TF.CFE,93.97831911739111,93.97831911739111,93.84883123731416,93.91855548043252,1730,1631286200.0,94.282,1,94.29,6,3691,TF1312
2013-10-14,TF.CFE,93.9066027530408,93.90859487427275,93.61176881071172,93.74723305448454,2493,2345514120.0,94.11,1,94.118,1,3663,TF1312
2013-10-15,TF.CFE,93.72133547846914,93.74524093325259,93.48028880940281,93.57790274976851,2242,2106179640.0,93.942,1,93.948,2,3742,TF1312
2013-10-16,TF.CFE,93.48626517309867,93.72930396339696,93.47032820324306,93.64165062919102,3253,3057820000.0,94.002,5,94.014,1,4026,TF1312
2013-10-17,TF.CFE,93.6296979017993,93.66954032643838,93.52809971896968,93.55598941621703,1616,1517908800.0,93.926,2,93.928,5,4071,TF1312
2013-10-18,TF.CFE,93.5539972949851,93.57591062853656,93.4424385059957,93.51614699157797,1002,940577400.0,93.88,24,93.886,2,4101,TF1312
2013-10-21,TF.CFE,93.51614699157797,93.57790274976851,93.44443062722765,93.48825729433064,1068,1002488880.0,93.856,10,93.868,1,3920,TF1312
2013-10-22,TF.CFE,93.48228093063477,93.50021002172235,93.34681668686194,93.40259608135665,2021,1894808760.0,93.762,1,93.77,1,3656,TF1312
2013-10-23,TF.CFE,93.39064335396493,93.48028880940281,93.31693486838266,93.4424385059957,1846,1731658760.0,93.804,1,93.812,4,3621,TF1312
2013-10-24,TF.CFE,93.43048577860398,93.45040699092351,93.1874469883057,93.23127365540866,2129,1992871740.0,93.6,6,93.604,1,3818,TF1312
2013-10-25,TF.CFE,93.23127365540866,93.31892698961461,93.13764395750687,93.31892698961461,2209,2068286700.0,93.686,1,93.688,1,3661,TF1312
2013-10-28,TF.CFE,93.30099789852703,93.38865123273297,93.27310820127968,93.30099789852703,1640,1536188000.0,93.67,7,93.676,2,3648,TF1312
2013-10-29,TF.CFE,93.28904517113531,93.39861183889273,93.13565183627492,93.13565183627492,2602,2433858760.0,93.502,8,93.514,1,3829,TF1312
2013-10-30,TF.CFE,93.1575651698264,93.20338395816133,93.08385668424413,93.17151001845008,1873,1751741980.0,93.542,1,93.552,4,3774,TF1312
2013-10-31,TF.CFE,93.16951789721811,93.38665911150102,93.15158880613053,93.37072214164539,2171,2034617780.0,93.732,1,93.74,1,3545,TF1312
2013-11-01,TF.CFE,93.39661971766078,93.55001305252118,93.39661971766078,93.46634396077914,1713,1606896779.9999998,93.828,2,93.838,4,3433,TF1312
2013-11-04,TF.CFE,93.48028880940281,93.49024941556259,93.17549426091398,93.26314759511992,2025,1896453000.0,93.632,3,93.664,1,3242,TF1312
2013-11-05,TF.CFE,93.27310820127968,93.27310820127968,93.02010880482163,93.10577001779562,2428,2269548720.0,93.476,3,93.482,1,2526,TF1312
2013-11-06,TF.CFE,93.11573062395537,93.14561244243468,92.97030577402279,92.99421122880624,1932,1803522000.0,93.362,1,93.364,8,2836,TF1312
2013-11-07,TF.CFE,92.94241607677546,93.06991183562046,92.45235425371497,92.46231485987475,4139,3843309840.0,92.826,15,92.828,2,3275,TF1312
2013-11-08,TF.CFE,92.43442516262739,92.43442516262739,91.35668757614073,91.92842636971129,3139,2900938239.9999995,92.292,3,92.298,1,2694,TF1312
2013-11-11,TF.CFE,92.026040310077,92.026040310077,91.25508939331111,91.36864030353246,3901,3579011460.0,91.722,3,91.74,1,2717,TF1312
2013-11-12,TF.CFE,91.4084827281715,92.01010334022136,91.4084827281715,91.73319848897988,5568,5129241600.0,92.09,2,92.102,22,2180,TF1312
2013-11-13,TF.CFE,91.73519061021183,91.73718273144378,91.20927060497618,91.45828575897033,3586,3292808640.0,91.834,1,91.842,1,2373,TF1312
2013-11-14,TF.CFE,91.4383645466508,91.54394697194434,91.04591666395604,91.26903424193479,3516,3222624960.0000005,91.61,3,91.632,1,2586,TF1312
