time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2013-09-09,TF1312,94.156,94.156,93.858,93.906,11831,11111201960.0,93.906,2,93.908,1,2797,93.916,94.17,1.0
2013-09-10,TF1312,93.87,93.916,93.806,93.842,5375,5044222500.0,93.84,2,93.844,5,2708,93.846,93.906,1.0
2013-09-11,TF1312,93.718,93.78,93.494,93.598,8830,8260994800.0,93.596,2,93.6,1,3293,93.556,93.842,1.0
2013-09-12,TF1312,93.59,93.83,93.59,93.728,8379,7855480079.999999,93.72,9,93.724,1,2871,93.752,93.598,1.0
2013-09-13,TF1312,93.7,93.846,93.678,93.764,6901,6470929680.0,93.764,2,93.77,3,3000,93.768,93.728,1.0
2013-09-16,TF1312,93.764,93.938,93.74,93.854,3850,3613610000.0,93.85,3,93.856,2,3189,93.86,93.764,1.0
2013-09-17,TF1312,93.87,94.558,93.842,94.234,22275,20992851000.0,94.232,1,94.24,4,5022,94.244,93.854,1.0
2013-09-18,TF1312,94.25,94.378,94.1,94.206,10692,10073788560.0,94.206,8,94.256,1,4465,94.218,94.234,1.0
2013-09-23,TF1312,94.55,94.592,94.27,94.35,7345,6930742000.0,94.344,7,94.35,2,4527,94.36,94.206,1.0
2013-09-24,TF1312,94.312,94.4,94.242,94.34,5063,4775927900.0,94.334,2,94.338,3,4493,94.33,94.35,1.0
2013-09-25,TF1312,94.35,94.55,94.35,94.42,8207,7749870100.0,94.418,2,94.426,2,4731,94.43,94.34,1.0
2013-09-26,TF1312,94.448,94.614,94.448,94.572,5405,5111616600.0,94.572,2,94.582,1,4752,94.572,94.42,1.0
2013-09-27,TF1312,94.55,94.552,94.3,94.346,4453,4201939860.0,94.342,24,94.346,2,4109,94.362,94.572,1.0
2013-09-30,TF1312,94.346,94.5,94.202,94.462,3515,3319706600.0000005,94.45,1,94.462,6,4094,94.444,94.346,1.0
2013-10-08,TF1312,94.52,94.546,94.402,94.412,2399,2265183780.0,94.408,1,94.412,10,3955,94.422,94.462,1.0
2013-10-09,TF1312,94.33,94.4,94.282,94.362,1869,1763326740.0,94.358,2,94.362,3,3802,94.346,94.412,1.0
2013-10-10,TF1312,94.362,94.446,94.28,94.35,1506,1420609800.0,94.338,1,94.36,1,3777,94.33,94.362,1.0
2013-10-11,TF1312,94.35,94.35,94.22,94.29,1730,1631286200.0,94.282,1,94.29,6,3691,94.294,94.35,1.0
2013-10-14,TF1312,94.278,94.28,93.982,94.118,2493,2345514120.0,94.11,1,94.118,1,3663,94.084,94.29,1.0
2013-10-15,TF1312,94.092,94.116,93.85,93.948,2242,2106179640.0,93.942,1,93.948,2,3742,93.942,94.118,1.0
2013-10-16,TF1312,93.856,94.1,93.84,94.012,3253,3057820000.0,94.002,5,94.014,1,4026,94.0,93.948,1.0
2013-10-17,TF1312,94.0,94.04,93.898,93.926,1616,1517908800.0,93.926,2,93.928,5,4071,93.93,94.012,1.0
2013-10-18,TF1312,93.924,93.946,93.812,93.886,1002,940577400.0,93.88,24,93.886,2,4101,93.87,93.926,1.0
2013-10-21,TF1312,93.886,93.948,93.814,93.858,1068,1002488880.0,93.856,10,93.868,1,3920,93.866,93.886,1.0
2013-10-22,TF1312,93.852,93.87,93.716,93.772,2021,1894808760.0,93.762,1,93.77,1,3656,93.756,93.858,1.0
2013-10-23,TF1312,93.76,93.85,93.686,93.812,1846,1731658760.0,93.804,1,93.812,4,3621,93.806,93.772,1.0
2013-10-24,TF1312,93.8,93.82,93.556,93.6,2129,1992871740.0,93.6,6,93.604,1,3818,93.606,93.812,1.0
2013-10-25,TF1312,93.6,93.688,93.506,93.688,2209,2068286700.0,93.686,1,93.688,1,3661,93.63,93.6,1.0
2013-10-28,TF1312,93.67,93.758,93.642,93.67,1640,1536188000.0,93.67,7,93.676,2,3648,93.67,93.688,1.0
2013-10-29,TF1312,93.658,93.768,93.504,93.504,2602,2433858760.0,93.502,8,93.514,1,3829,93.538,93.67,1.0
2013-10-30,TF1312,93.526,93.572,93.452,93.54,1873,1751741980.0,93.542,1,93.552,4,3774,93.526,93.504,1.0
2013-10-31,TF1312,93.538,93.756,93.52,93.74,2171,2034617780.0,93.732,1,93.74,1,3545,93.718,93.54,1.0
2013-11-01,TF1312,93.766,93.92,93.766,93.836,1713,1606896779.9999998,93.828,2,93.838,4,3433,93.806,93.74,1.0
2013-11-04,TF1312,93.85,93.86,93.544,93.632,2025,1896453000.0,93.632,3,93.664,1,3242,93.652,93.836,1.0
2013-11-05,TF1312,93.642,93.642,93.388,93.474,2428,2269548720.0,93.476,3,93.482,1,2526,93.474,93.632,1.0
2013-11-06,TF1312,93.484,93.514,93.338,93.362,1932,1803522000.0,93.362,1,93.364,8,2836,93.35,93.474,1.0
