time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2018-08-20,TS.CFE,96.938702651867,97.09521317078021,96.938702651867,97.05119458733587,1865,3700533000.0,99.215,1,99.22,16,3172,TS1812
2018-08-21,TS.CFE,97.02184886503964,97.07075840220001,96.95826646673116,97.02184886503964,1339,2656442099.9999995,99.185,9,99.2,1,3265,TS1812
2018-08-22,TS.CFE,97.07075840220001,97.12455889307644,97.02673981875567,97.03652172618776,1225,2430277499.9999995,99.2,18,99.205,1,3554,TS1812
2018-08-23,TS.CFE,97.11477698564435,97.11477698564435,97.06097649476794,97.10988603192833,819,1625633100.0,99.27,2,99.28,5,3480,TS1812
2018-08-24,TS.CFE,97.13923175422455,97.21259605996511,97.12455889307644,97.14412270794058,464,921736000.0,99.31,10,99.34,2,3359,TS1812
2018-08-27,TS.CFE,97.10499507821228,97.13434080050851,97.04141267990379,97.10499507821228,671,1332270500.0000002,99.275,5,99.295,2,3559,TS1812
2018-08-28,TS.CFE,97.05119458733587,97.14901366165662,97.02184886503964,97.10988603192833,574,1139849200.0000002,99.27,3,99.285,1,3537,TS1812
2018-08-29,TS.CFE,97.10499507821228,97.15390461537265,97.06097649476794,97.14412270794058,210,417102000.00000006,99.305,2,99.31,2,3525,TS1812
2018-08-30,TS.CFE,97.16857747652077,97.26639655084153,97.13434080050851,97.197923198817,533,1059017700.0,99.36,1,99.375,4,3425,TS1812
2018-08-31,TS.CFE,97.19303224510097,97.23215987482926,97.14901366165662,97.20770510624908,239,475060300.0,99.37,2,99.375,5,3338,TS1812
2018-09-03,TS.CFE,97.18325033766888,97.197923198817,97.14412270794058,97.16368652280474,108,214520400.0,99.315,10,99.335,1,3310,TS1812
2018-09-04,TS.CFE,97.14901366165662,97.14901366165662,97.10010412449624,97.11477698564435,90,178695000.0,99.28,17,99.285,1,3307,TS1812
2018-09-05,TS.CFE,97.12455889307644,97.14901366165662,97.10988603192833,97.10988603192833,109,216430400.0,99.27,5,99.28,2,3311,TS1812
