time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2009-05-26,V0909,6485,6540,6445,6460,19145.0,620298000.0,0,0,0,0,5281.0,6480,6490.0,1.0
2009-05-27,V0909,6500,6535,6460,6485,17001.0,552107475.0,0,0,0,0,5173.0,6495,6460.0,1.0
2009-06-01,V0909,6555,6595,6520,6570,13089.0,428991975.0,0,0,0,0,5176.0,6555,6485.0,1.0
2009-06-02,V0909,6590,6590,6545,6555,6748.0,221334400.0,0,0,0,0,4694.0,6560,6570.0,1.0
2009-06-03,V0909,6565,6595,6550,6580,7340.0,240935500.0,0,0,0,0,4726.0,6565,6555.0,1.0
2009-06-04,V0909,6545,6570,6530,6555,4266.0,139711500.0,0,0,0,0,4390.0,6550,6580.0,1.0
2009-06-05,V0909,6590,6695,6575,6655,9932.0,329742400.0,0,0,0,0,5098.0,6640,6555.0,1.0
2009-06-08,V0909,6650,6970,6620,6970,53674.0,1857120400.0,0,0,0,0,17486.0,6920,6655.0,1.0
2009-06-09,V0909,7020,7160,6910,7040,177433.0,6236769950.0,0,0,0,0,23976.0,7030,6970.0,1.0
2009-06-10,V0909,7120,7130,6955,6990,106076.0,3725919500.0,0,0,0,0,19206.0,7025,7040.0,1.0
2009-06-11,V0909,7025,7050,6930,6930,52459.0,1830819100.0,0,0,0,0,19142.0,6980,6990.0,1.0
2009-06-12,V0909,6955,6970,6790,6820,71327.0,2457215150.0,0,0,0,0,19673.0,6890,6930.0,1.0
2009-06-15,V0909,6800,6910,6755,6855,54975.0,1880145000.0,0,0,0,0,20662.0,6840,6820.0,1.0
2009-06-16,V0909,6805,6890,6800,6850,31603.0,1082402750.0,0,0,0,0,19485.0,6850,6855.0,1.0
2009-06-17,V0909,6830,6990,6800,6940,101671.0,3525441925.0,0,0,0,0,24056.0,6935,6850.0,1.0
2009-06-18,V0909,6965,7085,6910,6945,110258.0,3861786450.0,0,0,0,0,25965.0,7005,6940.0,1.0
2009-06-19,V0909,6970,7015,6890,6915,56215.0,1950660500.0,0,0,0,0,24544.0,6940,6945.0,1.0
2009-06-22,V0909,6850,6930,6815,6815,48718.0,1672245350.0,0,0,0,0,24338.0,6865,6915.0,1.0
2009-06-23,V0909,6755,6810,6715,6770,43952.0,1483380000.0,0,0,0,0,22250.0,6750,6815.0,1.0
2009-06-24,V0909,6795,6795,6715,6770,24420.0,824785500.0,0,0,0,0,21293.0,6755,6770.0,1.0
2009-06-25,V0909,6770,6865,6750,6830,35475.0,1209697500.0,0,0,0,0,22472.0,6820,6770.0,1.0
2009-06-26,V0909,6880,6920,6825,6885,27506.0,943455800.0,0,0,0,0,20853.0,6860,6830.0,1.0
2009-06-29,V0909,6865,6865,6770,6775,18948.0,645653100.0,0,0,0,0,20755.0,6815,6885.0,1.0
2009-06-30,V0909,6820,6915,6800,6885,34925.0,1197927500.0,0,0,0,0,22904.0,6860,6775.0,1.0
2009-07-01,V0909,6855,6905,6820,6855,23045.0,788715125.0,0,0,0,0,22066.0,6845,6885.0,1.0
2009-07-02,V0909,6830,6895,6815,6830,22940.0,785695000.0,0,0,0,0,20812.0,6850,6855.0,1.0
2009-07-03,V0909,6800,6880,6770,6855,29958.0,1023814650.0,0,0,0,0,20196.0,6835,6830.0,1.0
2009-07-06,V0909,6850,6955,6840,6870,43933.0,1515688500.0,0,0,0,0,20251.0,6900,6855.0,1.0
2009-07-07,V0909,6890,6930,6880,6925,19973.0,689567825.0,0,0,0,0,20823.0,6905,6870.0,1.0
2009-07-08,V0909,6890,6905,6845,6870,13964.0,480012500.0,0,0,0,0,17859.0,6875,6925.0,1.0
2009-07-09,V0909,6840,6870,6815,6865,13606.0,465325200.0,0,0,0,0,18230.0,6840,6870.0,1.0
2009-07-10,V0909,6880,6985,6865,6880,43494.0,1505979750.0,0,0,0,0,19211.0,6925,6865.0,1.0
2009-07-13,V0909,6905,6910,6840,6845,20243.0,695853125.0,0,0,0,0,18454.0,6875,6880.0,1.0
2009-07-14,V0909,6870,6880,6840,6860,11451.0,392483025.0,0,0,0,0,19231.0,6855,6845.0,1.0
2009-07-15,V0909,6870,6950,6850,6930,29360.0,1014388000.0,0,0,0,0,23212.0,6910,6860.0,1.0
2009-07-16,V0909,6955,7000,6890,6930,27790.0,965007750.0,0,0,0,0,23580.0,6945,6930.0,1.0
2009-07-17,V0909,6945,7030,6930,7000,52675.0,1838357500.0,0,0,0,0,30493.0,6980,6930.0,1.0
2009-07-20,V0909,7030,7075,6990,7005,36948.0,1296874800.0,0,0,0,0,31182.0,7020,7000.0,1.0
2009-07-21,V0909,7010,7010,6860,6905,27824.0,964101600.0,0,0,0,0,27839.0,6930,7005.0,1.0
2009-07-22,V0909,6905,6945,6865,6875,19105.0,659600125.0,0,0,0,0,25523.0,6905,6905.0,1.0
2009-07-23,V0909,6900,6915,6845,6895,15807.0,543760800.0,0,0,0,0,25367.0,6880,6875.0,1.0
2009-07-24,V0909,6900,6935,6880,6905,13982.0,482728550.0,0,0,0,0,24704.0,6905,6895.0,1.0
2009-07-27,V0909,6910,7045,6910,7035,26617.0,928267875.0,0,0,0,0,26824.0,6975,6905.0,1.0
2009-07-28,V0911,7245,7340,7195,7270,55158.0,2006372250.0,0,0,0,0,36301.0,7275,7245.0,0.9710144927536232
2009-07-29,V0911,7250,7360,7155,7220,61718.0,2238820450.0,0,0,0,0,32806.0,7255,7270.0,0.9710144927536232
2009-07-30,V0911,7200,7495,7185,7490,184132.0,6822090600.0,0,0,0,0,63404.0,7410,7220.0,0.9710144927536232
