time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2006-02-06,Y.DCE,7228.491490789238,7281.33540703587,7161.741280793493,7231.272749539061,33650.0,1754511000.0,0,0,0,0,21228.0,Y0609
2006-02-07,Y.DCE,7161.741280793493,7197.897644541188,7106.116105797039,7181.210092042253,31623.0,1629849420.0,0,0,0,0,18951.0,Y0609
2006-02-08,Y.DCE,7092.209812047925,7100.553588297394,6911.4279933094485,7042.147154551117,34311.0,1741626360.0,0,0,0,0,17228.0,Y0609
2006-02-09,Y.DCE,7064.397224549698,7100.553588297394,7019.897084552535,7033.803378301648,30129.0,1527841590.0,0,0,0,0,17875.0,Y0609
2006-02-10,Y.DCE,7122.803658295975,7122.803658295975,7036.584637051471,7064.397224549698,25958.0,1321262200.0,0,0,0,0,18217.0,Y0609
2006-02-13,Y.DCE,7075.5222595489895,7075.5222595489895,7028.240860802003,7050.4909308005845,23462.0,1188350300.0,0,0,0,0,18215.0,Y0609
2006-02-14,Y.DCE,7050.4909308005845,7072.741000799167,7042.147154551117,7061.615965799875,29484.0,1496902680.0,0,0,0,0,18019.0,Y0609
2006-02-15,Y.DCE,7039.365895801294,7061.615965799875,7025.45960205218,7047.709672050762,31443.0,1593531240.0,0,0,0,0,17788.0,Y0609
2006-02-16,Y.DCE,7039.365895801294,7092.209812047925,7039.365895801294,7075.5222595489895,32032.0,1626905280.0,0,0,0,0,17951.0,Y0609
2006-02-17,Y.DCE,7092.209812047925,7175.647574542607,7086.64729454828,7153.397504544025,36733.0,1883668240.0,0,0,0,0,19947.0,Y0609
2006-02-20,Y.DCE,7225.710232039416,7225.710232039416,7158.9600220436705,7161.741280793493,28605.0,1478020350.0,0,0,0,0,19607.0,Y0609
2006-02-21,Y.DCE,7161.741280793493,7192.335127041543,7122.803658295975,7122.803658295975,24518.0,1261451100.0,0,0,0,0,19323.0,Y0609
2006-02-22,Y.DCE,7106.116105797039,7153.397504544025,7094.991070797748,7142.272469544734,24677.0,1266423640.0,0,0,0,0,19347.0,Y0609
2006-02-23,Y.DCE,7078.3035182988115,7133.928693295266,7072.741000799167,7097.772329547571,26691.0,1364977740.0,0,0,0,0,18273.0,Y0609
2006-02-24,Y.DCE,7108.897364546861,7281.33540703587,7108.897364546861,7234.054008288884,34894.0,1808207080.0,0,0,0,0,21198.0,Y0609
2006-02-27,Y.DCE,7203.460162040834,7222.928973289593,7142.272469544734,7161.741280793493,29903.0,1542097710.0,0,0,0,0,20365.0,Y0609
2006-02-28,Y.DCE,7206.241420790657,7259.085337037288,7183.991350792075,7195.116385791366,29546.0,1534323780.0,0,0,0,0,20999.0,Y0609
2006-03-01,Y.DCE,7272.991630786402,7356.429393281083,7225.710232039416,7325.835547033033,61563.0,3233904390.0,0,0,0,0,26062.0,Y0609
2006-03-02,Y.DCE,7348.085617031616,7381.460722029487,7303.585477034452,7325.835547033033,48389.0,2553971420.0,0,0,0,0,26805.0,Y0609
2006-03-03,Y.DCE,7395.367015778602,7434.3046382761195,7348.085617031616,7364.773169530552,45442.0,2411606940.0,0,0,0,0,25349.0,Y0609
2006-03-06,Y.DCE,7342.52309953197,7345.304358281793,7284.116665785693,7284.116665785693,34854.0,1832971860.0,0,0,0,0,24492.0,Y0609
2006-03-07,Y.DCE,7300.804218284629,7339.741840782147,7267.429113286757,7284.116665785693,43518.0,2285565360.0,0,0,0,0,24637.0,Y0609
2006-03-08,Y.DCE,7236.835267038707,7270.210372036579,7225.710232039416,7259.085337037288,38823.0,2024231220.0,0,0,0,0,22809.0,Y0609
2006-03-09,Y.DCE,7231.272749539061,7281.33540703587,7220.14771453977,7281.33540703587,32872.0,1715589680.0,0,0,0,0,23438.0,Y0609
2006-03-10,Y.DCE,7270.210372036579,7303.585477034452,7236.835267038707,7239.6165257885295,37303.0,1947962660.0,0,0,0,0,21390.0,Y0609
2006-03-13,Y.DCE,7247.960302037997,7295.241700784984,7236.835267038707,7275.772889536224,42587.0,2227725970.0,0,0,0,0,26945.0,Y0609
2006-03-14,Y.DCE,7239.6165257885295,7272.991630786402,7234.054008288884,7253.522819537643,48083.0,2508490110.0,0,0,0,0,27414.0,Y0609
2006-03-15,Y.DCE,7270.210372036579,7286.897924535516,7256.304078287466,7261.866595787111,52556.0,2748153240.0,0,0,0,0,26972.0,Y0609
2006-03-16,Y.DCE,7259.085337037288,7259.085337037288,7231.272749539061,7245.179043288174,51997.0,2708523730.0,0,0,0,0,27192.0,Y0609
2006-03-17,Y.DCE,7225.710232039416,7234.054008288884,7189.55386829172,7192.335127041543,47385.0,2455490700.0,0,0,0,0,26252.0,Y0609
2006-03-20,Y.DCE,7192.335127041543,7217.366455789947,7189.55386829172,7211.8039382903025,46018.0,2382812040.0,0,0,0,0,25858.0,Y0609
2006-03-21,Y.DCE,7183.991350792075,7192.335127041543,7147.83498704438,7161.741280793493,39515.0,2037788550.0,0,0,0,0,24034.0,Y0609
2006-03-22,Y.DCE,7161.741280793493,7192.335127041543,7158.9600220436705,7178.42883329243,42865.0,2212691300.0,0,0,0,0,23627.0,Y0609
2006-03-23,Y.DCE,7161.741280793493,7170.085057042961,7150.616245794203,7167.303798293139,53847.0,2774197440.0,0,0,0,0,22425.0,Y0609
2006-03-24,Y.DCE,7178.42883329243,7209.02267954048,7178.42883329243,7186.7726095418975,46720.0,2415891200.0,0,0,0,0,22875.0,Y0609
2006-03-27,Y.DCE,7158.9600220436705,7195.116385791366,7158.9600220436705,7183.991350792075,45212.0,2335199800.0,0,0,0,0,24685.0,Y0609
2006-03-28,Y.DCE,7183.991350792075,7186.7726095418975,7156.178763293848,7158.9600220436705,49312.0,2543512960.0,0,0,0,0,24799.0,Y0609
2006-03-29,Y.DCE,7181.210092042253,7183.991350792075,7161.741280793493,7167.303798293139,45807.0,2362266990.0,0,0,0,0,25365.0,Y0609
2006-03-30,Y.DCE,7175.647574542607,7175.647574542607,7136.709952045089,7161.741280793493,51727.0,2662905960.0,0,0,0,0,24176.0,Y0609
2006-03-31,Y.DCE,7189.55386829172,7203.460162040834,7158.9600220436705,7170.085057042961,62271.0,3216297150.0,0,0,0,0,24284.0,Y0609
2006-04-03,Y.DCE,7103.3348470472165,7117.24114079633,7056.05344830023,7108.897364546861,57239.0,2920906170.0,0,0,0,0,25384.0,Y0609
2006-04-04,Y.DCE,7072.741000799167,7106.116105797039,7072.741000799167,7081.084777048634,48059.0,2452931360.0,0,0,0,0,24760.0,Y0609
2006-04-05,Y.DCE,7072.741000799167,7089.428553298103,7061.615965799875,7081.084777048634,52382.0,2665196160.0,0,0,0,0,24792.0,Y0609
