time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2006-02-06,Y0609,5198,5236,5150,5200,33650.0,1754511000.0,0,0,0,0,21228.0,5214,5050.0,1.0
2006-02-07,Y0609,5150,5176,5110,5164,31623.0,1629849420.0,0,0,0,0,18951.0,5154,5200.0,1.0
2006-02-08,Y0609,5100,5106,4970,5064,34311.0,1741626360.0,0,0,0,0,17228.0,5076,5164.0,1.0
2006-02-09,Y0609,5080,5106,5048,5058,30129.0,1527841590.0,0,0,0,0,17875.0,5071,5064.0,1.0
2006-02-10,Y0609,5122,5122,5060,5080,25958.0,1321262200.0,0,0,0,0,18217.0,5090,5058.0,1.0
2006-02-13,Y0609,5088,5088,5054,5070,23462.0,1188350300.0,0,0,0,0,18215.0,5065,5080.0,1.0
2006-02-14,Y0609,5070,5086,5064,5078,29484.0,1496902680.0,0,0,0,0,18019.0,5077,5070.0,1.0
2006-02-15,Y0609,5062,5078,5052,5068,31443.0,1593531240.0,0,0,0,0,17788.0,5068,5078.0,1.0
2006-02-16,Y0609,5062,5100,5062,5088,32032.0,1626905280.0,0,0,0,0,17951.0,5079,5068.0,1.0
2006-02-17,Y0609,5100,5160,5096,5144,36733.0,1883668240.0,0,0,0,0,19947.0,5128,5088.0,1.0
2006-02-20,Y0609,5196,5196,5148,5150,28605.0,1478020350.0,0,0,0,0,19607.0,5167,5144.0,1.0
2006-02-21,Y0609,5150,5172,5122,5122,24518.0,1261451100.0,0,0,0,0,19323.0,5145,5150.0,1.0
2006-02-22,Y0609,5110,5144,5102,5136,24677.0,1266423640.0,0,0,0,0,19347.0,5132,5122.0,1.0
2006-02-23,Y0609,5090,5130,5086,5104,26691.0,1364977740.0,0,0,0,0,18273.0,5114,5136.0,1.0
2006-02-24,Y0609,5112,5236,5112,5202,34894.0,1808207080.0,0,0,0,0,21198.0,5182,5104.0,1.0
2006-02-27,Y0609,5180,5194,5136,5150,29903.0,1542097710.0,0,0,0,0,20365.0,5157,5202.0,1.0
2006-02-28,Y0609,5182,5220,5166,5174,29546.0,1534323780.0,0,0,0,0,20999.0,5193,5150.0,1.0
2006-03-01,Y0609,5230,5290,5196,5268,61563.0,3233904390.0,0,0,0,0,26062.0,5253,5174.0,1.0
2006-03-02,Y0609,5284,5308,5252,5268,48389.0,2553971420.0,0,0,0,0,26805.0,5278,5268.0,1.0
2006-03-03,Y0609,5318,5346,5284,5296,45442.0,2411606940.0,0,0,0,0,25349.0,5307,5268.0,1.0
2006-03-06,Y0609,5280,5282,5238,5238,34854.0,1832971860.0,0,0,0,0,24492.0,5259,5296.0,1.0
2006-03-07,Y0609,5250,5278,5226,5238,43518.0,2285565360.0,0,0,0,0,24637.0,5252,5238.0,1.0
2006-03-08,Y0609,5204,5228,5196,5220,38823.0,2024231220.0,0,0,0,0,22809.0,5214,5238.0,1.0
2006-03-09,Y0609,5200,5236,5192,5236,32872.0,1715589680.0,0,0,0,0,23438.0,5219,5220.0,1.0
2006-03-10,Y0609,5228,5252,5204,5206,37303.0,1947962660.0,0,0,0,0,21390.0,5222,5236.0,1.0
2006-03-13,Y0609,5212,5246,5204,5232,42587.0,2227725970.0,0,0,0,0,26945.0,5231,5206.0,1.0
2006-03-14,Y0609,5206,5230,5202,5216,48083.0,2508490110.0,0,0,0,0,27414.0,5217,5232.0,1.0
2006-03-15,Y0609,5228,5240,5218,5222,52556.0,2748153240.0,0,0,0,0,26972.0,5229,5216.0,1.0
2006-03-16,Y0609,5220,5220,5200,5210,51997.0,2708523730.0,0,0,0,0,27192.0,5209,5222.0,1.0
2006-03-17,Y0609,5196,5202,5170,5172,47385.0,2455490700.0,0,0,0,0,26252.0,5182,5210.0,1.0
2006-03-20,Y0609,5172,5190,5170,5186,46018.0,2382812040.0,0,0,0,0,25858.0,5178,5172.0,1.0
2006-03-21,Y0609,5166,5172,5140,5150,39515.0,2037788550.0,0,0,0,0,24034.0,5157,5186.0,1.0
2006-03-22,Y0609,5150,5172,5148,5162,42865.0,2212691300.0,0,0,0,0,23627.0,5162,5150.0,1.0
2006-03-23,Y0609,5150,5156,5142,5154,53847.0,2774197440.0,0,0,0,0,22425.0,5152,5162.0,1.0
2006-03-24,Y0609,5162,5184,5162,5168,46720.0,2415891200.0,0,0,0,0,22875.0,5171,5154.0,1.0
2006-03-27,Y0609,5148,5174,5148,5166,45212.0,2335199800.0,0,0,0,0,24685.0,5165,5168.0,1.0
2006-03-28,Y0609,5166,5168,5146,5148,49312.0,2543512960.0,0,0,0,0,24799.0,5158,5166.0,1.0
2006-03-29,Y0609,5164,5166,5150,5154,45807.0,2362266990.0,0,0,0,0,25365.0,5157,5148.0,1.0
2006-03-30,Y0609,5160,5160,5132,5150,51727.0,2662905960.0,0,0,0,0,24176.0,5148,5154.0,1.0
2006-03-31,Y0609,5170,5180,5148,5156,62271.0,3216297150.0,0,0,0,0,24284.0,5165,5150.0,1.0
2006-04-03,Y0609,5108,5118,5074,5112,57239.0,2920906170.0,0,0,0,0,25384.0,5103,5156.0,1.0
2006-04-04,Y0609,5086,5110,5086,5092,48059.0,2452931360.0,0,0,0,0,24760.0,5104,5112.0,1.0
2006-04-05,Y0609,5086,5098,5078,5092,52382.0,2665196160.0,0,0,0,0,24792.0,5088,5092.0,1.0
2006-04-06,Y0609,5096,5104,5076,5076,54533.0,2777911020.0,0,0,0,0,25069.0,5094,5092.0,1.0
2006-04-07,Y0609,5084,5084,5018,5036,49034.0,2471803940.0,0,0,0,0,24332.0,5041,5076.0,1.0
2006-04-10,Y0609,5022,5022,4994,4996,60441.0,3023863230.0,0,0,0,0,24084.0,5003,5036.0,1.0
2006-04-11,Y0609,5000,5046,4996,5028,67479.0,3389470170.0,0,0,0,0,24246.0,5023,4996.0,1.0
2006-04-12,Y0609,5040,5042,5026,5036,64010.0,3219062900.0,0,0,0,0,24573.0,5029,5028.0,1.0
2006-04-13,Y0609,5004,5028,5004,5020,63747.0,3201374340.0,0,0,0,0,23882.0,5022,5036.0,1.0
