time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2013-09-27,TC1401,535.8,550.6,533.2,546.6,215148.0,23451132000.0,546.4,15,546.6,296,19785.0,545.0,534.4,1.0
2013-09-30,TC1401,545.0,555.8,542.2,555.0,120028.0,13174273279.999998,555.0,44,555.2,52,22409.0,548.8,546.6,1.0
2013-10-08,TC1401,555.0,555.0,538.4,547.4,91564.0,9969488320.0,547.2,35,547.4,3,17690.0,544.4,555.0,1.0
2013-10-09,TC1401,546.4,549.6,541.6,547.0,95069.0,10404351360.0,546.8,131,547.0,13,17602.0,547.2,547.4,1.0
2013-10-10,TC1401,545.6,552.0,545.6,547.4,85068.0,9326855520.0,547.4,80,547.6,254,22889.0,548.2,547.0,1.0
2013-10-11,TC1401,549.2,550.8,546.8,547.2,44504.0,4882978880.0,547.2,28,547.4,37,21614.0,548.6,547.4,1.0
2013-10-14,TC1401,548.0,561.2,547.2,560.0,143103.0,15930225960.0,559.8,37,560.0,270,30975.0,556.6,547.2,1.0
2013-10-15,TC1401,561.0,567.0,559.2,563.4,127571.0,14364494600.0,563.4,30,563.6,15,34504.0,563.0,560.0,1.0
2013-10-16,TC1401,563.2,565.8,560.0,563.8,91037.0,10247124719.999998,563.6,165,563.8,30,34642.0,562.8,563.4,1.0
2013-10-17,TC1401,565.0,567.8,558.8,561.8,139065.0,15686532000.0,561.6,168,561.8,7,35170.0,564.0,563.8,1.0
2013-10-18,TC1401,562.0,563.2,557.4,562.4,71644.0,8035591039.999999,562.2,109,562.6,253,33306.0,560.8,561.8,1.0
2013-10-21,TC1401,563.0,564.2,558.0,559.0,64967.0,7286698719.999999,558.6,507,559.0,146,28324.0,560.8,562.4,1.0
2013-10-22,TC1401,558.2,560.8,555.6,560.2,65553.0,7315714800.0,560.0,1,560.2,79,24170.0,558.0,559.0,1.0
2013-10-23,TC1401,561.0,564.4,558.2,559.8,75620.0,8490613600.0,559.6,80,559.8,6,20850.0,561.4,560.2,1.0
2013-10-24,TC1401,560.2,560.4,552.2,553.2,58538.0,6500059520.0,553.2,103,553.4,103,22597.0,555.2,559.8,1.0
2013-10-25,TC1401,554.0,556.4,552.8,555.6,44250.0,4909979999.999999,555.8,7,556.0,6,19208.0,554.8,553.2,1.0
2013-10-28,TC1401,556.4,560.2,554.8,558.2,53035.0,5916584599.999999,558.0,9,558.2,41,21689.0,557.8,555.6,1.0
2013-10-29,TC1401,557.8,559.4,555.8,558.6,34182.0,3811976640.0,558.6,84,558.8,22,21624.0,557.6,558.2,1.0
2013-10-30,TC1401,559.0,562.0,554.4,556.8,63403.0,7063094200.0,556.8,60,557.0,89,21881.0,557.0,558.6,1.0
