time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2007-03-27,ZN0707,29550,29870,29500,29725,8023.0,1190813775.0,0,0,0,0,3173.0,29685,29220.0,1.0
2007-03-28,ZN0707,29495,29700,29420,29565,4253.0,628061775.0,0,0,0,0,3524.0,29535,29725.0,1.0
2007-03-29,ZN0707,29510,29560,29010,29030,4371.0,639914400.0,0,0,0,0,3994.0,29280,29565.0,1.0
2007-03-30,ZN0707,29430,29500,29180,29390,6879.0,1010009175.0,0,0,0,0,4589.0,29365,29030.0,1.0
2007-04-02,ZN0707,29390,29445,29250,29290,2951.0,432764150.0,0,0,0,0,4743.0,29330,29390.0,1.0
2007-04-03,ZN0707,28935,28980,28660,28780,5805.0,836210250.0,0,0,0,0,5184.0,28810,29290.0,1.0
2007-04-04,ZN0707,29250,29260,28980,28985,4424.0,643360200.0,0,0,0,0,5399.0,29085,28780.0,1.0
2007-04-05,ZN0707,29700,30245,29540,30245,9292.0,1390780100.0,0,0,0,0,6689.0,29935,28985.0,1.0
2007-04-06,ZN0707,30245,31515,30105,31385,30779.0,4764589200.0,0,0,0,0,8597.0,30960,30245.0,1.0
2007-04-09,ZN0707,31550,32195,31550,32195,16372.0,2615427000.0,0,0,0,0,9567.0,31950,31385.0,1.0
2007-04-10,ZN0707,32850,33865,31980,32745,64238.0,10600875950.0,0,0,0,0,12487.0,33005,32195.0,1.0
2007-04-11,ZN0707,32800,32990,32020,32395,58067.0,9431532475.0,0,0,0,0,13286.0,32485,32745.0,1.0
2007-04-12,ZN0707,32535,33220,32370,32955,56443.0,9280640275.0,0,0,0,0,15067.0,32885,32395.0,1.0
2007-04-13,ZN0707,32000,32265,31600,31720,29206.0,4659087150.0,0,0,0,0,13347.0,31905,32955.0,1.0
2007-04-16,ZN0707,32055,32360,31860,32245,28993.0,4662799225.0,0,0,0,0,14213.0,32165,31720.0,1.0
2007-04-17,ZN0707,32100,32640,31855,32160,37526.0,6060449000.0,0,0,0,0,14851.0,32300,32245.0,1.0
2007-04-18,ZN0707,33590,33590,33400,33590,11803.0,1980543400.0,0,0,0,0,13736.0,33560,32160.0,1.0
2007-04-19,ZN0707,33790,34030,31560,32790,71437.0,11804964250.0,0,0,0,0,14566.0,33050,33590.0,1.0
2007-04-20,ZN0707,33000,33100,31990,32960,63786.0,10417848450.0,0,0,0,0,14414.0,32665,32790.0,1.0
2007-04-23,ZN0707,33280,33660,32400,32840,54459.0,9037471050.0,0,0,0,0,15742.0,33190,32960.0,1.0
2007-04-24,ZN0707,33980,34100,33460,34065,50478.0,8526996150.0,0,0,0,0,17475.0,33785,32840.0,1.0
2007-04-25,ZN0707,33335,33480,32860,33070,62215.0,10310580875.0,0,0,0,0,16515.0,33145,34065.0,1.0
2007-04-26,ZN0707,33365,33500,33120,33305,33561.0,5592940650.0,0,0,0,0,17244.0,33330,33070.0,1.0
2007-04-27,ZN0707,32500,32700,32160,32270,36199.0,5867857900.0,0,0,0,0,15704.0,32420,33305.0,1.0
