,PB,RU,CU,FU,AP,PP,SF,SP,ZN,J,SN,SR,TF,JD,TS,CF,A,M,RM,Y,T,HC,EG,JM,AL,AG,L,FG,V,CY,ZC,CJ,IF,TA,SA,NR,SM,I,UR,OI,CS,P,B,LU,AU,NI,RR,SS,SC,EB,IC,MA,RB,C,PG,BU,IH
PB,0.0,35.658344548125925,20.120981458425195,16.141664669818834,13.491777877082177,12.057593992232821,17.521771890927464,12.350213922857709,19.81357634625747,21.16518295183325,14.280720649130087,22.60888949753843,27.802634463104624,13.922661782277126,28.440989160740866,19.35942717567327,18.051396694383826,18.50008093587308,13.845847131958859,18.647706502431607,22.813215505994748,15.327047062798727,11.450552066392252,18.849641221397565,17.151365202583765,16.14822739197308,20.515633852410353,14.884174142307955,14.288038425133085,12.559274866757107,15.077906744376703,11.864221464726208,19.60403766747681,22.946824168644543,12.874962599763604,13.931739733174345,16.547761055319533,23.30272788056514,11.51559113198588,18.324027707857617,14.285331806313266,19.044901042884405,26.63840257293405,14.192371824921405,16.595150713268104,18.347135687715678,12.65583213626593,11.559954242243629,18.845216983736446,13.039514474886488,16.2974982997404,18.811890505251576,17.554564783702972,17.119011875011807,19.061784828061846,21.732726814109704,14.00336606751916
RU,35.40969458124629,0.0,36.608246931208846,29.04116618901669,27.645137687180714,29.253143248611643,31.55772271437615,32.962147493585185,37.750218283876194,35.213929399899655,30.24553617585073,38.65920179727806,59.42325833591223,32.011820176180954,77.92231619121267,42.19289470938315,37.878238233311556,41.817347151268926,31.46340381952869,37.8592971467558,53.21179970474952,30.579008302910648,28.172095905350808,32.59030352085679,37.549895096613604,31.42367567563767,38.20161317944604,29.78919981842056,32.72432564496741,33.63625382055984,31.21139304406524,31.75710352134664,35.01718421534476,34.78729088623322,29.616701883981936,29.592417864964812,30.66421939933896,32.31425129203825,29.821247711812003,39.14648962358022,32.32315241171541,37.41194363160249,50.180856202111585,30.733956382236062,48.2920783644119,29.22354053611789,35.07467778247383,29.02916727526121,29.2648434654711,31.457900846083383,31.352859355067277,30.219180454440234,31.12498467555778,45.67106879829625,30.990013498395747,30.997411474553974,31.899993984933015
CU,20.346516764825175,36.02714434582564,0.0,27.58080633575502,21.613514087939155,18.325685331886763,22.463782929231396,18.55335410624823,22.174055064012283,28.273314846815044,17.595205006086196,20.15737335031456,31.72938463506951,20.73809944060511,40.8562046200801,23.247171940208855,20.791261617525866,21.681326305011055,21.341872825964234,20.051993325328038,28.51232395247932,21.154181997612522,21.823941968681314,25.29969055661379,19.745237794722534,21.50275518140782,23.131375716799504,21.048701769670153,18.964763335391197,18.501068719956255,21.01764068187558,19.065357564926757,22.80476690794955,24.050430379806237,20.09948897908837,21.592931341124125,22.861919791330617,33.51348806950979,19.74143730677247,21.40893731330371,17.2923623382331,23.078784389924472,30.31649011674327,22.626570404506303,22.69837310845098,25.288274512978347,19.79569906475805,20.460199018380184,23.649317320377417,21.826670430170346,26.468582027701196,26.29944715091191,23.9880189150149,20.994466549861567,25.969864266402148,30.388435399392556,19.67073850726618
FU,16.418418549119977,26.958539338083227,27.55283833287043,0.0,8.033248762878175,12.20235096211203,15.774724617308765,7.139890890395816,22.83238157195675,19.620542818449238,11.413782304661394,24.504651908311132,26.92958702030045,14.204700613976463,20.141216775635147,29.207146376037375,24.244897849714146,26.67357621463993,15.095221417088153,25.058104858249422,23.071915157667604,13.267390611187782,6.786843187772381,15.32646215611319,24.693533117149542,15.412277400575217,22.076044158539002,14.28960137131948,18.08241210533323,10.375685254665493,15.613382320222142,7.693464782459372,21.017174903739477,23.44199583034865,6.138291712229742,6.065366378263545,15.320479738002765,14.81743311951055,6.555943200335952,21.845939377050648,13.02235653637384,20.243098238930063,33.04069560215155,5.282852216393366,22.499907776849124,11.701265175417774,8.74965259475111,6.650561961576201,6.030927052131334,6.424588865279898,14.119496103349686,16.18605888269195,18.58954970041885,24.70854467125725,5.776926435748736,14.008532103660023,12.591424475020677
AP,13.44814221782783,27.205791721520928,21.741431108947488,7.913240532544598,0.0,9.88472492025105,12.559452310417157,6.3715183467911665,18.518877447577676,19.16061204664797,8.417511660834844,21.373678651315014,20.55487330467625,11.27225156072463,17.672763263535465,21.21863423402105,20.463648646649585,17.885657755609664,12.4067087709762,17.76320998274131,18.11656806095664,12.334327644536488,5.956161683379505,15.63734802658068,19.703775661284368,13.606529083211901,17.27014573297553,12.817833895818037,14.650887252868603,8.069083905499356,10.90532975185674,6.008516869529329,17.711377762301897,18.680921966083613,5.818442060020661,5.820729471838179,12.348407461812416,17.809163925125528,6.6352116059149004,17.703783911007086,8.699996000188246,16.388957498002977,25.890606540287408,6.117819667911413,16.517578841110936,9.636433193607914,7.530040175694493,5.562549280939508,7.961642203614575,6.696636973337869,12.17151031888914,14.962298267857488,17.62925238845957,17.830302349941718,7.52711389791252,14.927483092204351,10.410516989684718
PP,11.791561693232275,29.226363741095653,18.368982155949894,12.170307196482762,9.890358637018785,0.0,15.012195565349218,9.506331156220776,19.285370848901692,20.55319380009232,9.562282527889112,19.240591783317228,27.938852105328777,10.683054991736,26.960581982858386,19.0388412811436,17.517062044858864,16.611604225117905,10.991419352284995,16.7338845614892,22.034443898352755,12.376384674040871,9.401212639562786,16.75404665504727,17.16500134717198,15.302425544745054,16.52447101523111,12.14516198804347,14.623783351808617,10.067566381229193,12.460161786724992,9.140808252147924,17.50314108697823,19.531070224353716,9.844149110933358,10.029668761556614,13.634629612582126,19.03262691700187,8.873516853764208,16.828776631128605,9.669199228645647,18.33324320164924,25.570600117481458,10.530144048469598,16.048850947647498,12.4952907063293,10.568252208977912,8.755419996576107,11.232112227457298,10.009954891862058,17.708782621603408,14.916375527077,17.547317801370042,22.41774541218212,12.419348854033652,17.17872493373478,13.848613278015648
SF,16.316387064546603,31.90423377766244,22.207529351219335,15.751218489036031,13.006936852701791,14.84149313902837,0.0,13.69120138513704,22.738433420747697,23.08616139603419,13.500573089626863,24.07740137863447,27.79929176693842,17.744996420935045,27.560300686143037,23.467457692565237,21.97948958882508,21.89854500778647,16.007261248602386,22.102825087199562,24.49231540739783,15.921253513155841,12.112271881965118,19.010852554040113,22.459052455701137,16.561314062899015,21.768941253117585,16.553631551398492,21.552659755541477,14.007816147261522,14.470393315031869,13.428440424927695,20.968449802939997,25.386211246001533,13.771873243465734,14.637147595069331,12.627551929566467,21.962823136715624,13.286112917349858,20.759051740506543,13.447996645782466,21.81604193567067,28.342319875990846,15.059499584500587,20.0188888615577,16.0086980621872,15.573508556941915,13.012367989317026,14.143667096598092,13.304139158524341,22.25384585334212,21.128095480313785,22.7316459575241,25.485651185509315,17.727712461681737,20.076286478393893,17.319433953072682
SP,12.289208581320223,32.9684113829606,18.597163921607617,7.295078834723172,6.727590242359106,9.865250936550968,13.684033195201234,0.0,19.63414938943013,20.60273133780949,7.328726683061645,16.69861604467494,9.947028946543766,10.341462495945827,10.085947602918237,18.06805371367779,15.878851700596014,16.968457683751563,11.384021311660751,16.203779403422836,9.008068138842601,12.10383234430381,5.361669838625589,16.8682987990618,15.032003461931263,11.404916356818223,18.354177732071054,11.971045231557477,13.139836277567142,5.666761601539286,10.119083019669448,3.852899201217542,17.29523405329864,19.38200565509872,3.674699827498308,3.9303828131094964,13.200620084135553,19.84385980115069,3.6159281036480753,15.816106879763574,6.967121866010563,17.05045475268908,23.205267229936876,3.46309895822428,11.559311023030647,11.722029412912159,4.636913530275033,3.5797778776447555,7.865066933713602,4.636960243052001,12.882554140206292,15.561929482167184,14.833504415982778,12.576908146404625,5.025360159337857,17.032176250987817,10.051973665283969
ZN,19.80044604554225,32.95175393638086,22.207157110811806,22.750206495184916,18.453783441704367,18.568906627685553,23.44763679738932,19.536121871939084,0.0,27.065085128485997,17.76149476915962,25.554795576844754,41.73199749147778,20.943213761856207,47.68420452928013,23.77955574038279,24.070299599126045,23.083056925423364,21.94916012628495,24.24535695155212,36.65658458681484,22.947074658965338,18.750672976643035,23.83418199823333,22.0537370359966,21.38158685368672,21.316413370883186,21.541920067889915,20.0830167326411,20.106523325850606,21.837133581280852,17.82146463965677,22.515438198561238,23.707595414196668,21.511799691202732,21.750822484973884,30.51466263647259,29.09368674589176,18.971058681969264,21.87141522879331,18.320676775979596,22.475513667762293,31.04326770689751,21.47271547029498,24.99823577151682,21.088060968761926,22.20660284732027,19.41851350326949,22.666273621195305,21.00315868199887,21.550959533672938,24.73540457817783,23.743944749185562,23.732314349229906,25.753404358935082,30.595520610284236,18.6061676028978
J,21.2467322503441,34.861758390886386,28.24534154889563,20.42144017267908,19.222057103498873,20.715157299234594,23.174497858945827,20.56608776438657,27.06978156479034,0.0,20.397858935513323,32.86540433783985,48.14185113615287,20.197977501551954,50.79269242575796,29.46666033707461,28.210430080165327,27.694092240780012,20.66443789585901,28.227943278178195,42.60180552768831,18.595530533968024,17.33733999191851,16.11267252902948,30.598995718606467,20.566383014752212,25.882163048689268,20.381019869053794,24.104621375601273,19.825700639909037,21.280483091213487,19.43934894022501,25.008958011152874,26.61623756151946,18.014852342918118,18.087896798247762,21.465722884714157,20.469167916574126,18.038949632475273,28.12455677513102,21.5374821501646,26.297336110727827,35.499205350866376,19.50064576658329,35.54132152026872,20.750871628055314,22.173502721297147,18.776907321892253,21.301586331773784,17.8725864505517,27.22286391424167,21.53023800733687,21.72032083927484,32.739320050356106,20.81542534918812,22.118714022646884,23.689054169160325
